Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,1459.30,1459.30,,,,,,
Crab,159.07,0.59,9.5,66.7,11.1,57.1,79.4,46.0
Value,159.07,0.00,9.5,66.7,11.1,57.1,79.4,46.0
Hunter,6.50,-0.95,15.9,40.0,15.9,50.0,68.3,51.2
Value,6.50,0.00,15.9,40.0,15.9,50.0,68.3,51.2
Recall,230.37,1.30,14.3,77.8,20.6,38.5,65.1,46.3
Value,230.37,0.00,14.3,77.8,20.6,38.5,65.1,46.3
Recall Hunter,401.43,1.92,7.9,60.0,14.3,44.4,77.8,49.0
Value,401.43,0.00,7.9,60.0,14.3,44.4,77.8,49.0
Scorpion,56.56,0.13,4.8,66.7,14.3,55.6,81.0,47.1
Value,56.56,0.00,4.8,66.7,14.3,55.6,81.0,47.1
Beetle,183.85,0.34,19.0,50.0,15.9,60.0,65.1,46.3
Value,183.85,0.00,19.0,50.0,15.9,60.0,65.1,46.3
Blink,63.62,-0.36,19.0,66.7,9.5,50.0,71.4,44.4
Value,63.62,0.00,19.0,66.7,9.5,50.0,71.4,44.4
Blink Hunter,95.79,-0.30,17.5,36.4,17.5,54.5,65.1,51.2
Value,95.79,0.00,17.5,36.4,17.5,54.5,65.1,51.2
Gunbot,9.82,-0.80,20.6,23.1,7.9,20.0,71.4,60.0
Value,9.82,0.00,20.6,23.1,7.9,20.0,71.4,60.0
Missilebot,112.94,-0.18,9.5,16.7,9.5,50.0,81.0,52.9
Value,112.94,0.00,9.5,16.7,9.5,50.0,81.0,52.9
Wasp,-24.05,-1.96,7.9,80.0,25.4,37.5,66.7,50.0
Value,-24.05,0.00,7.9,80.0,25.4,37.5,66.7,50.0
Hornet,51.84,-0.62,11.1,57.1,9.5,66.7,79.4,46.0
Value,51.84,0.00,11.1,57.1,9.5,66.7,79.4,46.0
Knight,346.08,0.73,11.1,57.1,9.5,83.3,79.4,44.0
Value,346.08,0.00,11.1,57.1,9.5,83.3,79.4,44.0
Crossbow,244.87,-0.30,19.0,50.0,9.5,66.7,71.4,46.7
Value,244.87,0.00,19.0,50.0,9.5,66.7,71.4,46.7
Ballista,814.85,0.86,3.2,0.0,11.1,57.1,85.7,50.0
Value,814.85,0.00,3.2,0.0,11.1,57.1,85.7,50.0
King Crab,746.24,0.71,4.8,66.7,11.1,42.9,84.1,49.1
Value,746.24,0.00,4.8,66.7,11.1,42.9,84.1,49.1
Crusader,315.37,-0.28,6.3,100.0,6.3,75.0,87.3,43.6
Value,315.37,0.00,6.3,100.0,6.3,75.0,87.3,43.6
Bomber,216.12,0.23,46.0,55.2,54.0,44.1,0.0,0.0
Value,216.12,0.00,46.0,55.2,54.0,44.1,0.0,0.0
Shocker,419.76,-0.04,1.6,100.0,6.3,75.0,92.1,46.6
Value,419.76,0.00,1.6,100.0,6.3,75.0,92.1,46.6
Recall Shocker,956.30,1.19,6.3,100.0,6.3,25.0,87.3,47.3
Value,956.30,0.00,6.3,100.0,6.3,25.0,87.3,47.3
Mortar,-218.91,-1.50,7.9,40.0,4.8,100.0,87.3,47.3
Value,-218.91,0.00,7.9,40.0,4.8,100.0,87.3,47.3
Swift Shocker,162.73,-0.63,9.5,16.7,7.9,60.0,82.5,51.9
Value,162.73,0.00,9.5,16.7,7.9,60.0,82.5,51.9
Heavy Hunter,2027.93,3.64,3.2,100.0,0.0,0.0,96.8,47.5
Value,2027.93,0.00,3.2,100.0,0.0,0.0,96.8,47.5
Destroyer,4302.24,8.83,0.0,0.0,6.3,50.0,93.7,49.2
Value,4302.24,0.00,0.0,0.0,6.3,50.0,93.7,49.2
Raider,-52.89,-1.12,9.5,33.3,1.6,100.0,88.9,50.0
Value,-52.89,0.00,9.5,33.3,1.6,100.0,88.9,50.0
Turret,406.27,0.81,4.8,66.7,4.8,33.3,90.5,49.1
Value,406.27,0.00,4.8,66.7,4.8,33.3,90.5,49.1
Heavy Ballista,3147.95,2.60,4.8,33.3,1.6,100.0,93.7,49.2
Value,3147.95,0.00,4.8,33.3,1.6,100.0,93.7,49.2
Predator,-563.97,-2.29,3.2,50.0,1.6,0.0,95.2,50.0
Value,-563.97,0.00,3.2,50.0,1.6,0.0,95.2,50.0
Sniper,639.12,0.46,1.6,100.0,3.2,50.0,95.2,48.3
Value,639.12,0.00,1.6,100.0,3.2,50.0,95.2,48.3
Advanced Blink,1363.97,6.79,4.8,66.7,3.2,0.0,92.1,50.0
Value,1363.97,0.00,4.8,66.7,3.2,0.0,92.1,50.0
Assaultbot,41.69,-0.17,9.5,50.0,3.2,50.0,87.3,49.1
Value,41.69,0.00,9.5,50.0,3.2,50.0,87.3,49.1
