Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,-107.75,-107.75,,,,,,
Crab,70.29,-0.30,13.7,50.4,13.1,51.0,73.3,49.0
Value,70.29,0.00,13.7,50.4,13.1,51.0,73.3,49.0
Hunter,59.91,-0.56,13.2,49.4,12.6,46.9,74.3,49.8
Value,59.91,0.00,13.2,49.4,12.6,46.9,74.3,49.8
Recall,46.15,-0.54,12.7,44.8,12.4,54.1,74.9,49.4
Value,46.15,0.00,12.7,44.8,12.4,54.1,74.9,49.4
Recall Hunter,78.86,-0.43,13.7,53.9,13.8,44.9,72.5,49.4
Value,78.86,0.00,13.7,53.9,13.8,44.9,72.5,49.4
Scorpion,34.04,-0.32,13.2,53.1,14.1,47.2,72.7,49.2
Value,34.04,0.00,13.2,53.1,14.1,47.2,72.7,49.2
Beetle,104.99,-0.24,13.1,56.5,13.6,44.3,73.3,49.1
Value,104.99,0.00,13.1,56.5,13.6,44.3,73.3,49.1
Blink,47.78,-0.52,13.2,46.4,12.9,49.9,73.9,49.9
Value,47.78,0.00,13.2,46.4,12.9,49.9,73.9,49.9
Blink Hunter,77.19,-0.44,12.2,51.6,13.5,43.4,74.3,50.1
Value,77.19,0.00,12.2,51.6,13.5,43.4,74.3,50.1
Gunbot,12.69,-0.75,13.8,46.1,12.7,55.4,73.4,49.0
Value,12.69,0.00,13.8,46.1,12.7,55.4,73.4,49.0
Missilebot,84.28,-0.39,13.3,53.4,13.6,41.9,73.2,50.1
Value,84.28,0.00,13.3,53.4,13.6,41.9,73.2,50.1
Wasp,3.01,-0.88,13.3,43.2,12.5,55.5,74.3,49.5
Value,3.01,0.00,13.3,43.2,12.5,55.5,74.3,49.5
Hornet,46.12,-0.66,13.7,48.3,12.9,54.1,73.4,48.8
Value,46.12,0.00,13.7,48.3,12.9,54.1,73.4,48.8
Knight,14.80,-0.93,12.8,43.7,14.0,54.6,73.2,49.4
Value,14.80,0.00,12.8,43.7,14.0,54.6,73.2,49.4
Crossbow,52.96,-0.85,12.8,46.4,13.3,55.0,73.9,48.9
Value,52.96,0.00,12.8,46.4,13.3,55.0,73.9,48.9
Ballista,-10.34,-1.02,3.3,42.5,3.9,62.4,92.8,49.1
Value,-10.34,0.00,3.3,42.5,3.9,62.4,92.8,49.1
King Crab,141.77,-0.68,3.6,44.4,3.9,55.1,92.5,49.4
Value,141.77,0.00,3.6,44.4,3.9,55.1,92.5,49.4
Crusader,308.10,-0.30,3.5,48.9,3.7,46.9,92.9,49.5
Value,308.10,0.00,3.5,48.9,3.7,46.9,92.9,49.5
Bomber,120.93,-0.31,3.8,47.7,3.5,54.7,92.7,49.3
Value,120.93,0.00,3.8,47.7,3.5,54.7,92.7,49.3
Shocker,151.57,-0.65,3.5,46.8,3.6,56.2,92.9,49.2
Value,151.57,0.00,3.5,46.8,3.6,56.2,92.9,49.2
Recall Shocker,-30.58,-1.07,3.9,37.2,3.6,61.1,92.5,49.5
Value,-30.58,0.00,3.9,37.2,3.6,61.1,92.5,49.5
Mortar,201.53,-0.54,3.2,52.3,3.4,47.1,93.4,49.4
