Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,-798.62,-798.62,,,,,,
Crab,78.23,-0.22,14.0,53.8,6.5,66.7,79.6,52.7
Value,78.23,0.00,14.0,53.8,6.5,66.7,79.6,52.7
Hunter,89.79,-0.35,10.8,80.0,16.1,40.0,73.1,52.9
Value,89.79,0.00,10.8,80.0,16.1,40.0,73.1,52.9
Recall,64.64,-0.35,12.9,50.0,16.1,66.7,71.0,51.5
Value,64.64,0.00,12.9,50.0,16.1,66.7,71.0,51.5
Recall Hunter,98.21,-0.29,18.3,70.6,7.5,42.9,74.2,50.7
Value,98.21,0.00,18.3,70.6,7.5,42.9,74.2,50.7
Scorpion,53.66,0.07,17.2,62.5,12.9,41.7,69.9,53.8
Value,53.66,0.00,17.2,62.5,12.9,41.7,69.9,53.8
Beetle,27.51,-0.80,17.2,62.5,18.3,64.7,64.5,48.3
Value,27.51,0.00,17.2,62.5,18.3,64.7,64.5,48.3
Blink,105.57,0.06,7.5,71.4,10.8,40.0,81.7,53.9
Value,105.57,0.00,7.5,71.4,10.8,40.0,81.7,53.9
Blink Hunter,-8.41,-1.06,15.1,21.4,21.5,65.0,63.4,57.6
Value,-8.41,0.00,15.1,21.4,21.5,65.0,63.4,57.6
Gunbot,55.61,0.11,17.2,50.0,15.1,35.7,67.7,58.7
Value,55.61,0.00,17.2,50.0,15.1,35.7,67.7,58.7
Missilebot,25.62,-0.81,11.8,36.4,14.0,61.5,74.2,55.1
Value,25.62,0.00,11.8,36.4,14.0,61.5,74.2,55.1
Wasp,25.35,0.01,15.1,64.3,18.3,52.9,66.7,51.6
Value,25.35,0.00,15.1,64.3,18.3,52.9,66.7,51.6
Hornet,5.30,-0.96,14.0,30.8,5.4,40.0,80.6,58.7
Value,5.30,0.00,14.0,30.8,5.4,40.0,80.6,58.7
Knight,23.62,-0.88,7.5,71.4,14.0,53.8,78.5,52.1
Value,23.62,0.00,7.5,71.4,14.0,53.8,78.5,52.1
Crossbow,134.05,-0.62,12.9,58.3,7.5,57.1,79.6,52.7
Value,134.05,0.00,12.9,58.3,7.5,57.1,79.6,52.7
Ballista,466.25,0.07,2.2,100.0,4.3,50.0,93.5,52.9
Value,466.25,0.00,2.2,100.0,4.3,50.0,93.5,52.9
King Crab,-660.80,-2.51,1.1,0.0,2.2,100.0,96.8,53.3
Value,-660.80,0.00,1.1,0.0,2.2,100.0,96.8,53.3
Crusader,460.22,0.05,8.6,75.0,1.1,100.0,90.3,51.2
Value,460.22,0.00,8.6,75.0,1.1,100.0,90.3,51.2
Bomber,18.31,-0.90,5.4,60.0,7.5,57.1,87.1,53.1
Value,18.31,0.00,5.4,60.0,7.5,57.1,87.1,53.1
Shocker,-79.03,-1.18,2.2,50.0,7.5,71.4,90.3,52.4
Value,-79.03,0.00,2.2,50.0,7.5,71.4,90.3,52.4
Recall Shocker,86.90,-0.80,4.3,75.0,2.2,100.0,93.5,51.7
Value,86.90,0.00,4.3,75.0,2.2,100.0,93.5,51.7
Mortar,1212.42,1.77,3.2,33.3,3.2,33.3,93.5,55.2
Value,1212.42,0.00,3.2,33.3,3.2,33.3,93.5,55.2
Swift Shocker,157.30,-0.64,5.4,20.0,3.2,66.7,91.4,55.3
Value,157.30,0.00,5.4,20.0,3.2,66.7,91.4,55.3
Heavy Hunter,-796.25,-2.82,2.2,0.0,4.3,100.0,93.5,52.9
Value,-796.25,0.00,2.2,0.0,4.3,100.0,93.5,52.9
Destroyer,764.79,0.75,1.1,100.0,5.4,60.0,93.5,52.9
Value,764.79,0.00,1.1,100.0,5.4,60.0,93.5,52.9
Raider,-205.25,-1.47,2.2,0.0,4.3,100.0,93.5,52.9
Value,-205.25,0.00,2.2,0.0,4.3,100.0,93.5,52.9
Turret,205.53,-0.09,4.3,100.0,5.4,40.0,90.3,52.4
Value,205.53,0.00,4.3,100.0,5.4,40.0,90.3,52.4
Heavy Ballista,338.71,-0.61,2.2,50.0,3.2,33.3,94.6,54.5
Value,338.71,0.00,2.2,50.0,3.2,33.3,94.6,54.5
Predator,-22.11,-1.05,1.1,100.0,4.3,50.0,94.6,53.4
Value,-22.11,0.00,1.1,100.0,4.3,50.0,94.6,53.4
Sniper,1707.88,2.90,1.1,100.0,6.5,33.3,92.5,54.7
Value,1707.88,0.00,1.1,100.0,6.5,33.3,92.5,54.7
Advanced Blink,479.29,1.74,1.1,0.0,1.1,0.0,97.8,54.9
Value,479.29,0.00,1.1,0.0,1.1,0.0,97.8,54.9
Assaultbot,62.36,0.25,4.3,75.0,2.2,100.0,93.5,51.7
Value,62.36,0.00,4.3,75.0,2.2,100.0,93.5,51.7
Behemoth,-674.13,-3.70,2.2,50.0,1.1,100.0,96.8,53.3
Value,-674.13,0.00,2.2,50.0,1.1,100.0,96.8,53.3
Gargantua,4452.15,4.09,2.2,100.0,3.2,33.3,94.6,53.4
Value,4452.15,0.00,2.2,100.0,3.2,33.3,94.6,53.4
Butterfly,236.94,-0.46,51.6,50.0,48.4,57.8,0.0,0.0
Value,236.94,0.00,51.6,50.0,48.4,57.8,0.0,0.0
Dragonfly,-595.82,-2.36,6.5,33.3,9.7,55.6,83.9,55.1
Value,-595.82,0.00,6.5,33.3,9.7,55.6,83.9,55.1
Falcon,223.69,-0.49,6.5,66.7,4.3,75.0,89.2,51.8
Value,223.69,0.00,6.5,66.7,4.3,75.0,89.2,51.8
Airship,12.21,-0.97,8.6,75.0,7.5,100.0,83.9,47.4
Value,12.21,0.00,8.6,75.0,7.5,100.0,83.9,47.4
Advanced Recall,161.34,-0.08,3.2,33.3,9.7,44.4,87.1,55.6
Value,161.34,0.00,3.2,33.3,9.7,44.4,87.1,55.6
Mammoth,21.90,-0.95,3.2,33.3,11.8,54.5,84.9,54.4
Value,21.90,0.00,3.2,33.3,11.8,54.5,84.9,54.4
Stinger,600.64,0.37,7.5,71.4,2.2,0.0,90.3,53.6
Value,600.64,0.00,7.5,71.4,2.2,0.0,90.3,53.6
Flak Turret,645.98,0.44,4.3,25.0,4.3,50.0,91.4,55.3
Value,645.98,0.00,4.3,25.0,4.3,50.0,91.4,55.3
Bulwark,294.95,-0.66,7.5,57.1,2.2,100.0,90.3,52.4
Value,294.95,0.00,7.5,57.1,2.2,100.0,90.3,52.4
Katbus,722.65,-0.17,3.2,66.7,3.2,33.3,93.5,54.0
Value,722.65,0.00,3.2,66.7,3.2,33.3,93.5,54.0
Locust,332.53,0.90,2.2,100.0,2.2,0.0,95.7,53.9
Value,332.53,0.00,2.2,100.0,2.2,0.0,95.7,53.9
Kraken,15969.26,0.52,5.4,100.0,5.4,20.0,89.2,53.0
Value,15969.26,0.00,5.4,100.0,5.4,20.0,89.2,53.0
Valkyrie,1904.36,3.35,2.2,100.0,1.1,100.0,96.8,52.2
Value,1904.36,0.00,2.2,100.0,1.1,100.0,96.8,52.2
Artillery,-957.04,-3.19,0.0,0.0,8.6,62.5,91.4,52.9
Value,-957.04,0.00,0.0,0.0,8.6,62.5,91.4,52.9
Advancedbot,-16.19,-1.32,4.3,100.0,7.5,57.1,88.2,51.2
Value,-16.19,0.00,4.3,100.0,7.5,57.1,88.2,51.2
Advanced Destroyer,-279.87,-1.64,5.4,60.0,4.3,25.0,90.3,54.8
Value,-279.87,0.00,5.4,60.0,4.3,25.0,90.3,54.8
Skill,-0.13,-0.13,52.7,46.9,47.3,61.4,0.0,0.0
