Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,278.63,278.63,,,,,,
Crab,58.04,-0.42,48.8,57.7,51.2,48.1,0.0,0.0
Value,58.04,0.00,48.8,57.7,51.2,48.1,0.0,0.0
Hunter,2.94,-0.98,8.7,40.9,7.5,52.6,83.7,54.0
Value,2.94,0.00,8.7,40.9,7.5,52.6,83.7,54.0
Recall,51.86,-0.48,8.7,54.5,10.7,70.4,80.6,50.2
Value,51.86,0.00,8.7,54.5,10.7,70.4,80.6,50.2
Recall Hunter,84.68,-0.38,8.7,59.1,13.9,57.1,77.4,51.3
Value,84.68,0.00,8.7,59.1,13.9,57.1,77.4,51.3
Scorpion,39.39,-0.21,10.3,65.4,12.7,37.5,77.0,53.6
Value,39.39,0.00,10.3,65.4,12.7,37.5,77.0,53.6
Beetle,51.81,-0.62,11.5,58.6,11.5,44.8,77.0,53.1
Value,51.81,0.00,11.5,58.6,11.5,44.8,77.0,53.1
Blink,71.03,-0.29,12.7,71.9,9.1,43.5,78.2,50.8
Value,71.03,0.00,12.7,71.9,9.1,43.5,78.2,50.8
Blink Hunter,21.50,-0.84,9.9,52.0,8.7,63.6,81.3,51.7
Value,21.50,0.00,9.9,52.0,8.7,63.6,81.3,51.7
Gunbot,37.54,-0.25,7.1,66.7,10.3,46.2,82.5,52.4
Value,37.54,0.00,7.1,66.7,10.3,46.2,82.5,52.4
Missilebot,22.35,-0.84,11.5,44.8,6.3,56.2,82.1,53.6
Value,22.35,0.00,11.5,44.8,6.3,56.2,82.1,53.6
Wasp,12.39,-0.50,13.1,42.4,13.9,45.7,73.0,56.0
Value,12.39,0.00,13.1,42.4,13.9,45.7,73.0,56.0
Hornet,33.53,-0.76,10.7,40.7,11.9,63.3,77.4,52.8
Value,33.53,0.00,10.7,40.7,11.9,63.3,77.4,52.8
Knight,12.32,-0.94,11.9,50.0,9.1,56.5,79.0,52.8
Value,12.32,0.00,11.9,50.0,9.1,56.5,79.0,52.8
Crossbow,-125.29,-1.36,13.1,30.3,10.7,66.7,76.2,54.7
Value,-125.29,0.00,13.1,30.3,10.7,66.7,76.2,54.7
Ballista,-73.95,-1.17,1.6,25.0,3.6,55.6,94.8,53.1
Value,-73.95,0.00,1.6,25.0,3.6,55.6,94.8,53.1
King Crab,-31.73,-1.07,2.0,20.0,4.0,70.0,94.0,52.7
Value,-31.73,0.00,2.0,20.0,4.0,70.0,94.0,52.7
Crusader,-65.15,-1.15,1.6,25.0,2.8,71.4,95.6,52.7
Value,-65.15,0.00,1.6,25.0,2.8,71.4,95.6,52.7
Bomber,19.40,-0.89,2.0,40.0,3.2,75.0,94.8,52.3
Value,19.40,0.00,2.0,40.0,3.2,75.0,94.8,52.3
Shocker,132.87,-0.70,0.8,0.0,4.8,83.3,94.4,51.7
Value,132.87,0.00,0.8,0.0,4.8,83.3,94.4,51.7
Recall Shocker,-5.74,-1.01,0.8,50.0,4.8,50.0,94.4,52.9
Value,-5.74,0.00,0.8,50.0,4.8,50.0,94.4,52.9
Mortar,-99.76,-1.23,1.6,50.0,3.6,66.7,94.8,52.3
Value,-99.76,0.00,1.6,50.0,3.6,66.7,94.8,52.3
Swift Shocker,-197.42,-1.45,3.2,12.5,1.2,66.7,95.6,53.9
Value,-197.42,0.00,3.2,12.5,1.2,66.7,95.6,53.9
