Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,65.35,65.35,,,,,,
Crab,69.91,-0.30,10.5,61.2,10.1,38.4,79.4,50.2
Value,69.91,0.00,10.5,61.2,10.1,38.4,79.4,50.2
Hunter,40.75,-0.70,10.5,50.4,10.7,49.3,78.8,50.2
Value,40.75,0.00,10.5,50.4,10.7,49.3,78.8,50.2
Recall,63.27,-0.37,10.5,60.1,10.8,37.6,78.6,50.5
Value,63.27,0.00,10.5,60.1,10.8,37.6,78.6,50.5
Recall Hunter,56.12,-0.59,10.8,54.7,11.0,45.6,78.2,50.2
Value,56.12,0.00,10.8,54.7,11.0,45.6,78.2,50.2
Scorpion,40.85,-0.18,10.6,64.6,10.7,36.3,78.6,50.1
Value,40.85,0.00,10.6,64.6,10.7,36.3,78.6,50.1
Beetle,70.85,-0.48,10.8,57.4,10.5,44.2,78.7,49.9
Value,70.85,0.00,10.8,57.4,10.5,44.2,78.7,49.9
Blink,60.04,-0.40,10.9,58.6,10.8,42.5,78.3,50.0
Value,60.04,0.00,10.9,58.6,10.8,42.5,78.3,50.0
Blink Hunter,53.39,-0.61,10.6,54.5,10.9,45.7,78.5,50.2
Value,53.39,0.00,10.6,54.5,10.9,45.7,78.5,50.2
Gunbot,30.73,-0.39,10.5,61.7,10.7,39.9,78.7,50.0
Value,30.73,0.00,10.5,61.7,10.7,39.9,78.7,50.0
Missilebot,58.59,-0.57,10.6,56.0,10.8,44.4,78.6,50.2
Value,58.59,0.00,10.6,56.0,10.8,44.4,78.6,50.2
Wasp,17.02,-0.32,10.8,58.4,10.4,42.2,78.8,50.1
Value,17.02,0.00,10.8,58.4,10.4,42.2,78.8,50.1
Hornet,35.93,-0.74,10.7,50.4,10.8,50.3,78.5,50.1
Value,35.93,0.00,10.7,50.4,10.8,50.3,78.5,50.1
Knight,50.83,-0.75,10.7,53.7,10.5,45.2,78.8,50.3
Value,50.83,0.00,10.7,53.7,10.5,45.2,78.8,50.3
Crossbow,-46.63,-1.13,49.9,31.1,50.1,69.1,0.0,0.0
Value,-46.63,0.00,49.9,31.1,50.1,69.1,0.0,0.0
Ballista,74.86,-0.83,3.5,47.6,3.6,55.3,92.9,50.0
Value,74.86,0.00,3.5,47.6,3.6,55.3,92.9,50.0
King Crab,125.79,-0.71,3.3,48.7,3.3,52.4,93.4,50.1
Value,125.79,0.00,3.3,48.7,3.3,52.4,93.4,50.1
Crusader,323.29,-0.26,3.3,55.4,3.5,48.3,93.1,50.0
