Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,4237.36,4237.36,,,,,,
Crab,136.39,0.36,7.9,60.0,9.5,50.0,82.5,65.4
Value,136.39,0.00,7.9,60.0,9.5,50.0,82.5,65.4
Hunter,183.05,0.33,20.6,69.2,20.6,76.9,58.7,56.8
Value,183.05,0.00,20.6,69.2,20.6,76.9,58.7,56.8
Recall,259.54,1.60,19.0,83.3,9.5,50.0,71.4,60.0
Value,259.54,0.00,19.0,83.3,9.5,50.0,71.4,60.0
Recall Hunter,125.38,-0.09,20.6,46.2,9.5,50.0,69.8,70.5
Value,125.38,0.00,20.6,46.2,9.5,50.0,69.8,70.5
Scorpion,64.67,0.29,12.7,62.5,17.5,54.5,69.8,65.9
Value,64.67,0.00,12.7,62.5,17.5,54.5,69.8,65.9
Beetle,205.03,0.49,11.1,57.1,12.7,87.5,76.2,60.4
Value,205.03,0.00,11.1,57.1,12.7,87.5,76.2,60.4
Blink,278.86,1.79,4.8,100.0,12.7,25.0,82.5,67.3
Value,278.86,0.00,4.8,100.0,12.7,25.0,82.5,67.3
Blink Hunter,242.65,0.76,9.5,50.0,11.1,71.4,79.4,64.0
Value,242.65,0.00,9.5,50.0,11.1,71.4,79.4,64.0
Gunbot,62.22,0.24,11.1,85.7,20.6,46.2,68.3,65.1
Value,62.22,0.00,11.1,85.7,20.6,46.2,68.3,65.1
Missilebot,152.50,0.11,12.7,75.0,19.0,83.3,68.3,55.8
Value,152.50,0.00,12.7,75.0,19.0,83.3,68.3,55.8
Wasp,41.83,0.67,14.3,55.6,12.7,62.5,73.0,65.2
Value,41.83,0.00,14.3,55.6,12.7,62.5,73.0,65.2
Hornet,-594.49,-5.32,12.7,50.0,6.3,75.0,81.0,64.7
Value,-594.49,0.00,12.7,50.0,6.3,75.0,81.0,64.7
Knight,510.50,1.55,12.7,62.5,12.7,50.0,74.6,66.0
Value,510.50,0.00,12.7,62.5,12.7,50.0,74.6,66.0
Crossbow,609.20,0.74,15.9,70.0,9.5,83.3,74.6,59.6
Value,609.20,0.00,15.9,70.0,9.5,83.3,74.6,59.6
Ballista,1487.85,2.40,3.2,0.0,0.0,0.0,96.8,65.6
Value,1487.85,0.00,3.2,0.0,0.0,0.0,96.8,65.6
King Crab,857.68,0.96,6.3,25.0,7.9,40.0,85.7,68.5
Value,857.68,0.00,6.3,25.0,7.9,40.0,85.7,68.5
Crusader,790.73,0.81,57.1,58.3,42.9,70.4,0.0,0.0
Value,790.73,0.00,57.1,58.3,42.9,70.4,0.0,0.0
Bomber,286.50,0.64,7.9,80.0,4.8,100.0,87.3,60.0
Value,286.50,0.00,7.9,80.0,4.8,100.0,87.3,60.0
Shocker,889.12,1.03,3.2,0.0,9.5,66.7,87.3,65.5
Value,889.12,0.00,3.2,0.0,9.5,66.7,87.3,65.5
Recall Shocker,783.76,0.79,4.8,66.7,4.8,100.0,90.5,61.4
Value,783.76,0.00,4.8,66.7,4.8,100.0,90.5,61.4
Mortar,488.70,0.12,4.8,66.7,3.2,100.0,92.1,62.1
Value,488.70,0.00,4.8,66.7,3.2,100.0,92.1,62.1
Swift Shocker,1717.32,2.93,4.8,66.7,7.9,40.0,87.3,65.5
Value,1717.32,0.00,4.8,66.7,7.9,40.0,87.3,65.5
Heavy Hunter,209.58,-0.52,3.2,50.0,6.3,75.0,90.5,63.2
Value,209.58,0.00,3.2,50.0,6.3,75.0,90.5,63.2
Destroyer,2762.57,5.31,1.6,0.0,6.3,50.0,92.1,65.5
Value,2762.57,0.00,1.6,0.0,6.3,50.0,92.1,65.5
Raider,-372.52,-1.85,7.9,0.0,3.2,100.0,88.9,67.9
Value,-372.52,0.00,7.9,0.0,3.2,100.0,88.9,67.9
Turret,162.12,-0.28,7.9,100.0,3.2,100.0,88.9,58.9
Value,162.12,0.00,7.9,100.0,3.2,100.0,88.9,58.9
Heavy Ballista,2357.71,1.69,9.5,50.0,1.6,100.0,88.9,64.3
Value,2357.71,0.00,9.5,50.0,1.6,100.0,88.9,64.3
Predator,640.72,0.46,6.3,50.0,7.9,60.0,85.7,64.8
Value,640.72,0.00,6.3,50.0,7.9,60.0,85.7,64.8
Sniper,2879.77,5.58,1.6,0.0,3.2,100.0,95.2,63.3
Value,2879.77,0.00,1.6,0.0,3.2,100.0,95.2,63.3
Advanced Blink,624.90,2.57,3.2,100.0,1.6,100.0,95.2,61.7
