Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,-674.33,-674.33,,,,,,
Crab,14.47,-0.86,14.3,77.8,14.3,33.3,71.4,42.2
Value,14.47,0.00,14.3,77.8,14.3,33.3,71.4,42.2
Hunter,27.41,-0.80,9.5,50.0,6.3,75.0,84.1,43.4
Value,27.41,0.00,9.5,50.0,6.3,75.0,84.1,43.4
Recall,141.18,0.41,14.3,77.8,17.5,27.3,68.3,44.2
Value,141.18,0.00,14.3,77.8,17.5,27.3,68.3,44.2
Recall Hunter,-98.77,-1.72,9.5,50.0,12.7,25.0,77.8,49.0
Value,-98.77,0.00,9.5,50.0,12.7,25.0,77.8,49.0
Scorpion,-2.04,-1.04,14.3,77.8,12.7,12.5,73.0,45.7
Value,-2.04,0.00,14.3,77.8,12.7,12.5,73.0,45.7
Beetle,-14.12,-1.10,17.5,45.5,17.5,45.5,65.1,46.3
Value,-14.12,0.00,17.5,45.5,17.5,45.5,65.1,46.3
Blink,-49.73,-1.50,23.8,40.0,9.5,50.0,66.7,47.6
Value,-49.73,0.00,23.8,40.0,9.5,50.0,66.7,47.6
Blink Hunter,-13.64,-1.10,11.1,42.9,11.1,71.4,77.8,42.9
Value,-13.64,0.00,11.1,42.9,11.1,71.4,77.8,42.9
Gunbot,28.88,-0.42,12.7,50.0,19.0,50.0,68.3,44.2
Value,28.88,0.00,12.7,50.0,19.0,50.0,68.3,44.2
Missilebot,-279.62,-3.03,12.7,0.0,9.5,33.3,77.8,55.1
Value,-279.62,0.00,12.7,0.0,9.5,33.3,77.8,55.1
Wasp,-167.39,-7.70,14.3,44.4,12.7,75.0,73.0,41.3
Value,-167.39,0.00,14.3,44.4,12.7,75.0,73.0,41.3
Hornet,-70.29,-1.51,9.5,66.7,17.5,54.5,73.0,41.3
Value,-70.29,0.00,9.5,66.7,17.5,54.5,73.0,41.3
Knight,43.04,-0.78,3.2,0.0,15.9,60.0,81.0,45.1
Value,43.04,0.00,3.2,0.0,15.9,60.0,81.0,45.1
Crossbow,-748.79,-3.14,11.1,14.3,9.5,50.0,79.4,50.0
Value,-748.79,0.00,11.1,14.3,9.5,50.0,79.4,50.0
Ballista,176.54,-0.60,9.5,33.3,11.1,57.1,79.4,46.0
Value,176.54,0.00,9.5,33.3,11.1,57.1,79.4,46.0
King Crab,985.18,1.25,6.3,50.0,3.2,0.0,90.5,47.4
Value,985.18,0.00,6.3,50.0,3.2,0.0,90.5,47.4
Crusader,23.09,-0.95,4.8,33.3,3.2,50.0,92.1,46.6
Value,23.09,0.00,4.8,33.3,3.2,50.0,92.1,46.6
Bomber,-565.08,-4.23,0.0,0.0,6.3,50.0,93.7,45.8
Value,-565.08,0.00,0.0,0.0,6.3,50.0,93.7,45.8
Shocker,310.54,-0.29,3.2,50.0,11.1,85.7,85.7,40.7
Value,310.54,0.00,3.2,50.0,11.1,85.7,85.7,40.7
Recall Shocker,-2193.70,-6.01,7.9,40.0,6.3,75.0,85.7,44.4
Value,-2193.70,0.00,7.9,40.0,6.3,75.0,85.7,44.4
Mortar,331.21,-0.24,4.8,33.3,0.0,0.0,95.2,46.7
Value,331.21,0.00,4.8,33.3,0.0,0.0,95.2,46.7
Swift Shocker,-353.35,-1.81,6.3,50.0,3.2,50.0,90.5,45.6
Value,-353.35,0.00,6.3,50.0,3.2,50.0,90.5,45.6
Heavy Hunter,-312.22,-1.71,6.3,75.0,4.8,33.3,88.9,44.6
Value,-312.22,0.00,6.3,75.0,4.8,33.3,88.9,44.6
Destroyer,-64.02,-1.15,42.9,40.7,57.1,50.0,0.0,0.0
Value,-64.02,0.00,42.9,40.7,57.1,50.0,0.0,0.0
Raider,-2549.40,-6.83,4.8,33.3,3.2,100.0,92.1,44.8
Value,-2549.40,0.00,4.8,33.3,3.2,100.0,92.1,44.8
Turret,-409.45,-2.82,1.6,0.0,4.8,33.3,93.7,47.5
Value,-409.45,0.00,1.6,0.0,4.8,33.3,93.7,47.5
Heavy Ballista,1676.24,0.92,7.9,40.0,1.6,0.0,90.5,47.4
Value,1676.24,0.00,7.9,40.0,1.6,0.0,90.5,47.4
Predator,-344.30,-1.79,3.2,0.0,4.8,66.7,92.1,46.6
Value,-344.30,0.00,3.2,0.0,4.8,66.7,92.1,46.6
Sniper,-1271.13,-3.91,3.2,50.0,6.3,50.0,90.5,45.6
Value,-1271.13,0.00,3.2,50.0,6.3,50.0,90.5,45.6
Advanced Blink,310.55,0.77,3.2,50.0,0.0,0.0,96.8,45.9
Value,310.55,0.00,3.2,50.0,0.0,0.0,96.8,45.9
Assaultbot,735.85,13.72,4.8,33.3,6.3,50.0,88.9,46.4
Value,735.85,0.00,4.8,33.3,6.3,50.0,88.9,46.4
Behemoth,1061.99,3.25,3.2,100.0,0.0,0.0,96.8,44.3
Value,1061.99,0.00,3.2,100.0,0.0,0.0,96.8,44.3
Gargantua,-10004.60,-12.43,0.0,0.0,3.2,100.0,96.8,44.3
Value,-10004.60,0.00,0.0,0.0,3.2,100.0,96.8,44.3
Butterfly,352.65,-0.19,4.8,66.7,4.8,66.7,90.5,43.9
Value,352.65,0.00,4.8,66.7,4.8,66.7,90.5,43.9
Dragonfly,1067.71,1.44,4.8,33.3,7.9,40.0,87.3,47.3
Value,1067.71,0.00,4.8,33.3,7.9,40.0,87.3,47.3
Falcon,162.63,-0.63,6.3,50.0,6.3,25.0,87.3,47.3
Value,162.63,0.00,6.3,50.0,6.3,25.0,87.3,47.3
Airship,636.60,0.46,4.8,66.7,4.8,33.3,90.5,45.6
Value,636.60,0.00,4.8,66.7,4.8,33.3,90.5,45.6
Advanced Recall,-216.38,-2.24,7.9,60.0,3.2,50.0,88.9,44.6
Value,-216.38,0.00,7.9,60.0,3.2,50.0,88.9,44.6
Mammoth,-647.35,-2.48,4.8,0.0,1.6,100.0,93.7,47.5
