Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,-99.20,-99.20,,,,,,
Crab,30.11,-0.70,13.1,51.5,12.4,49.9,74.5,48.7
Value,30.11,0.00,13.1,51.5,12.4,49.9,74.5,48.7
Hunter,22.12,-0.84,13.1,51.5,13.1,50.1,73.8,48.6
Value,22.12,0.00,13.1,51.5,13.1,50.1,73.8,48.6
Recall,3.29,-0.97,12.2,42.2,13.7,50.8,74.1,50.1
Value,3.29,0.00,12.2,42.2,13.7,50.8,74.1,50.1
Recall Hunter,50.09,-0.64,13.9,56.4,13.6,42.5,72.5,49.1
Value,50.09,0.00,13.9,56.4,13.6,42.5,72.5,49.1
Scorpion,19.66,-0.61,13.1,53.7,13.6,47.2,73.3,48.8
Value,19.66,0.00,13.1,53.7,13.6,47.2,73.3,48.8
Beetle,49.73,-0.64,13.1,56.4,12.7,44.6,74.2,48.7
Value,49.73,0.00,13.1,56.4,12.7,44.6,74.2,48.7
Blink,6.89,-0.93,13.8,43.7,12.9,51.9,73.3,49.8
Value,6.89,0.00,13.8,43.7,12.9,51.9,73.3,49.8
Blink Hunter,38.67,-0.72,13.5,52.0,13.7,44.2,72.9,49.6
Value,38.67,0.00,13.5,52.0,13.7,44.2,72.9,49.6
Gunbot,3.20,-0.94,12.8,46.2,13.9,53.1,73.3,49.0
Value,3.20,0.00,12.8,46.2,13.9,53.1,73.3,49.0
Missilebot,39.87,-0.71,13.4,52.8,13.3,43.2,73.3,49.7
Value,39.87,0.00,13.4,52.8,13.3,43.2,73.3,49.7
Wasp,3.29,-0.87,13.4,44.3,13.1,53.5,73.5,49.3
Value,3.29,0.00,13.4,44.3,13.1,53.5,73.5,49.3
Hornet,26.13,-0.81,14.0,49.7,13.2,47.2,72.8,49.5
Value,26.13,0.00,14.0,49.7,13.2,47.2,72.8,49.5
Knight,-38.53,-1.19,13.0,42.8,12.7,55.9,74.3,49.2
Value,-38.53,0.00,13.0,42.8,12.7,55.9,74.3,49.2
Crossbow,-36.68,-1.10,12.4,46.0,13.1,52.7,74.5,49.2
Value,-36.68,0.00,12.4,46.0,13.1,52.7,74.5,49.2
Ballista,-144.03,-1.33,3.6,39.5,4.2,60.2,92.1,49.1
Value,-144.03,0.00,3.6,39.5,4.2,60.2,92.1,49.1
King Crab,12.82,-0.97,4.0,47.4,4.0,50.1,92.0,49.3
Value,12.82,0.00,4.0,47.4,4.0,50.1,92.0,49.3
Crusader,123.53,-0.72,4.3,50.0,4.6,49.7,91.1,49.2
Value,123.53,0.00,4.3,50.0,4.6,49.7,91.1,49.2
Bomber,5.53,-0.97,3.8,49.2,4.1,48.4,92.1,49.3
Value,5.53,0.00,3.8,49.2,4.1,48.4,92.1,49.3
Shocker,-2.15,-1.00,4.4,44.4,4.3,54.3,91.2,49.2
Value,-2.15,0.00,4.4,44.4,4.3,54.3,91.2,49.2
Recall Shocker,-176.78,-1.40,3.9,39.9,4.3,59.9,91.8,49.1
Value,-176.78,0.00,3.9,39.9,4.3,59.9,91.8,49.1
Mortar,155.28,-0.65,4.0,52.5,4.4,47.0,91.5,49.2
