Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,602.55,602.55,,,,,,
Crab,105.97,0.06,13.6,54.5,12.3,70.0,74.1,53.3
Value,105.97,0.00,13.6,54.5,12.3,70.0,74.1,53.3
Hunter,3.32,-0.98,9.9,37.5,13.6,45.5,76.5,59.7
Value,3.32,0.00,9.9,37.5,13.6,45.5,76.5,59.7
Recall,33.92,-0.66,9.9,75.0,11.1,77.8,79.0,50.0
Value,33.92,0.00,9.9,75.0,11.1,77.8,79.0,50.0
Recall Hunter,103.07,-0.25,13.6,45.5,12.3,50.0,74.1,58.3
Value,103.07,0.00,13.6,45.5,12.3,50.0,74.1,58.3
Scorpion,7.11,-0.86,14.8,75.0,12.3,60.0,72.8,50.8
Value,7.11,0.00,14.8,75.0,12.3,60.0,72.8,50.8
Beetle,60.10,-0.56,9.9,87.5,13.6,45.5,76.5,53.2
Value,60.10,0.00,9.9,87.5,13.6,45.5,76.5,53.2
Blink,66.14,-0.34,12.3,40.0,11.1,33.3,76.5,61.3
Value,66.14,0.00,12.3,40.0,11.1,33.3,76.5,61.3
Blink Hunter,180.83,0.32,13.6,54.5,17.3,50.0,69.1,57.1
Value,180.83,0.00,13.6,54.5,17.3,50.0,69.1,57.1
Gunbot,7.13,-0.86,16.0,46.2,7.4,50.0,76.5,58.1
Value,7.13,0.00,16.0,46.2,7.4,50.0,76.5,58.1
Missilebot,60.08,-0.56,11.1,55.6,16.0,76.9,72.8,50.8
Value,60.08,0.00,11.1,55.6,16.0,76.9,72.8,50.8
Wasp,15.94,-0.36,17.3,50.0,13.6,45.5,69.1,58.9
Value,15.94,0.00,17.3,50.0,13.6,45.5,69.1,58.9
Hornet,-51.25,-1.37,12.3,30.0,9.9,37.5,77.8,61.9
Value,-51.25,0.00,12.3,30.0,9.9,37.5,77.8,61.9
Knight,91.13,-0.54,12.3,50.0,13.6,54.5,74.1,56.7
Value,91.13,0.00,12.3,50.0,13.6,54.5,74.1,56.7
Crossbow,191.52,-0.45,18.5,73.3,12.3,70.0,69.1,48.2
Value,191.52,0.00,18.5,73.3,12.3,70.0,69.1,48.2
Ballista,1482.95,2.39,2.5,50.0,7.4,66.7,90.1,54.8
Value,1482.95,0.00,2.5,50.0,7.4,66.7,90.1,54.8
King Crab,-61.61,-1.14,6.2,60.0,2.5,50.0,91.4,55.4
Value,-61.61,0.00,6.2,60.0,2.5,50.0,91.4,55.4
Crusader,558.03,0.28,3.7,33.3,3.7,66.7,92.6,56.0
Value,558.03,0.00,3.7,33.3,3.7,66.7,92.6,56.0
Bomber,217.54,0.24,3.7,66.7,2.5,50.0,93.8,55.3
Value,217.54,0.00,3.7,66.7,2.5,50.0,93.8,55.3
Shocker,-302.28,-1.69,2.5,0.0,7.4,66.7,90.1,56.2
Value,-302.28,0.00,2.5,0.0,7.4,66.7,90.1,56.2
Recall Shocker,79.48,-0.82,2.5,100.0,1.2,100.0,96.3,53.8
Value,79.48,0.00,2.5,100.0,1.2,100.0,96.3,53.8
Mortar,98.08,-0.78,2.5,50.0,6.2,20.0,91.4,58.1
Value,98.08,0.00,2.5,50.0,6.2,20.0,91.4,58.1
Swift Shocker,2.19,-0.99,2.5,0.0,3.7,33.3,93.8,57.9
Value,2.19,0.00,2.5,0.0,3.7,33.3,93.8,57.9
Heavy Hunter,-458.83,-2.05,6.2,80.0,8.6,57.1,85.2,53.6
Value,-458.83,0.00,6.2,80.0,8.6,57.1,85.2,53.6
Destroyer,38.85,-0.91,3.7,33.3,6.2,40.0,90.1,57.5
Value,38.85,0.00,3.7,33.3,6.2,40.0,90.1,57.5
Raider,-145.10,-1.33,3.7,33.3,2.5,50.0,93.8,56.6
Value,-145.10,0.00,3.7,33.3,2.5,50.0,93.8,56.6
Turret,80.86,-0.64,4.9,25.0,2.5,0.0,92.6,58.7
Value,80.86,0.00,4.9,25.0,2.5,0.0,92.6,58.7
Heavy Ballista,2600.92,1.97,2.5,50.0,0.0,0.0,97.5,55.7
Value,2600.92,0.00,2.5,50.0,0.0,0.0,97.5,55.7
Predator,279.89,-0.36,1.2,0.0,3.7,33.3,95.1,57.1
Value,279.89,0.00,1.2,0.0,3.7,33.3,95.1,57.1
Sniper,-12199.51,-28.88,0.0,0.0,1.2,100.0,98.8,55.0
Value,-12199.51,0.00,0.0,0.0,1.2,100.0,98.8,55.0
Advanced Blink,6552.38,36.44,1.2,0.0,1.2,0.0,97.5,57.0
Value,6552.38,0.00,1.2,0.0,1.2,0.0,97.5,57.0
Assaultbot,10.57,-0.79,3.7,0.0,3.7,100.0,92.6,56.0
Value,10.57,0.00,3.7,0.0,3.7,100.0,92.6,56.0
Behemoth,1301.45,4.21,2.5,50.0,6.2,80.0,91.4,54.1
Value,1301.45,0.00,2.5,50.0,6.2,80.0,91.4,54.1
Gargantua,1587.11,0.81,2.5,100.0,3.7,33.3,93.8,55.3
Value,1587.11,0.00,2.5,100.0,3.7,33.3,93.8,55.3
Butterfly,735.89,0.68,4.9,75.0,7.4,66.7,87.7,53.5
Value,735.89,0.00,4.9,75.0,7.4,66.7,87.7,53.5
Dragonfly,81.96,-0.81,4.9,50.0,12.3,40.0,82.7,58.2
Value,81.96,0.00,4.9,50.0,12.3,40.0,82.7,58.2
Falcon,393.33,-0.10,44.4,66.7,55.6,46.7,0.0,0.0
Value,393.33,0.00,44.4,66.7,55.6,46.7,0.0,0.0
Airship,23.92,-0.95,2.5,0.0,1.2,0.0,96.3,57.7
Value,23.92,0.00,2.5,0.0,1.2,0.0,96.3,57.7
Advanced Recall,-24.69,-1.14,4.9,25.0,3.7,66.7,91.4,56.8
Value,-24.69,0.00,4.9,25.0,3.7,66.7,91.4,56.8
Mammoth,451.17,0.03,7.4,66.7,3.7,66.7,88.9,54.2
Value,451.17,0.00,7.4,66.7,3.7,66.7,88.9,54.2
Stinger,663.03,0.52,6.2,80.0,4.9,25.0,88.9,55.6
Value,663.03,0.00,6.2,80.0,4.9,25.0,88.9,55.6
Flak Turret,1019.42,1.27,8.6,85.7,12.3,10.0,79.0,59.4
Value,1019.42,0.00,8.6,85.7,12.3,10.0,79.0,59.4
Bulwark,2296.35,1.62,1.2,100.0,2.5,0.0,96.3,56.4
Value,2296.35,0.00,1.2,100.0,2.5,0.0,96.3,56.4
Katbus,-93.38,-1.11,1.2,0.0,4.9,100.0,93.8,53.9
Value,-93.38,0.00,1.2,0.0,4.9,100.0,93.8,53.9
Locust,222.43,0.27,9.9,87.5,4.9,100.0,85.2,49.3
Value,222.43,0.00,9.9,87.5,4.9,100.0,85.2,49.3
Kraken,15653.16,0.49,4.9,75.0,3.7,33.3,91.4,55.4
Value,15653.16,0.00,4.9,75.0,3.7,33.3,91.4,55.4
Valkyrie,773.69,0.77,3.7,66.7,7.4,50.0,88.9,55.6
Value,773.69,0.00,3.7,66.7,7.4,50.0,88.9,55.6
Artillery,519.10,0.19,6.2,40.0,2.5,50.0,91.4,56.8
Value,519.10,0.00,6.2,40.0,2.5,50.0,91.4,56.8
Advancedbot,261.17,4.22,1.2,100.0,2.5,50.0,96.3,55.1
Value,261.17,0.00,1.2,100.0,2.5,50.0,96.3,55.1
Advanced Destroyer,288.99,-0.34,4.9,50.0,1.2,100.0,93.8,55.3
Value,288.99,0.00,4.9,50.0,1.2,100.0,93.8,55.3
Skill,-0.16,-0.16,59.3,54.2,40.7,57.6,0.0,0.0
