Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,-149.17,-149.17,,,,,,
Crab,60.42,-0.40,13.0,52.3,12.7,46.6,74.3,49.5
Value,60.42,0.00,13.0,52.3,12.7,46.6,74.3,49.5
Hunter,44.05,-0.68,13.4,46.4,13.0,51.2,73.6,49.8
Value,44.05,0.00,13.4,46.4,13.0,51.2,73.6,49.8
Recall,58.96,-0.41,13.2,53.3,14.2,47.1,72.6,49.3
Value,58.96,0.00,13.2,53.3,14.2,47.1,72.6,49.3
Recall Hunter,55.07,-0.60,12.4,50.7,14.1,49.2,73.5,49.3
Value,55.07,0.00,12.4,50.7,14.1,49.2,73.5,49.3
Scorpion,39.60,-0.21,12.8,55.0,13.4,41.2,73.8,50.0
Value,39.60,0.00,12.8,55.0,13.4,41.2,73.8,50.0
Beetle,75.63,-0.45,13.4,53.2,13.5,47.5,73.1,49.2
Value,75.63,0.00,13.4,53.2,13.5,47.5,73.1,49.2
Blink,57.46,-0.43,14.1,52.9,12.8,46.5,73.1,49.3
Value,57.46,0.00,14.1,52.9,12.8,46.5,73.1,49.3
Blink Hunter,62.00,-0.55,13.9,49.2,13.5,48.8,72.6,49.7
Value,62.00,0.00,13.9,49.2,13.5,48.8,72.6,49.7
Gunbot,25.66,-0.49,13.5,51.6,12.7,49.1,73.8,49.2
Value,25.66,0.00,13.5,51.6,12.7,49.1,73.8,49.2
Missilebot,56.84,-0.59,13.0,49.6,13.2,48.5,73.9,49.7
Value,56.84,0.00,13.0,49.6,13.2,48.5,73.9,49.7
Wasp,11.60,-0.54,13.0,48.4,12.8,50.4,74.2,49.5
Value,11.60,0.00,13.0,48.4,12.8,50.4,74.2,49.5
Hornet,35.65,-0.74,13.2,43.4,13.1,54.5,73.7,49.7
Value,35.65,0.00,13.2,43.4,13.1,54.5,73.7,49.7
Knight,37.55,-0.81,13.0,44.4,13.2,51.8,73.8,50.0
Value,37.55,0.00,13.0,44.4,13.2,51.8,73.8,50.0
Crossbow,24.91,-0.93,13.0,40.6,13.2,59.8,73.8,49.2
Value,24.91,0.00,13.0,40.6,13.2,59.8,73.8,49.2
Ballista,73.72,-0.83,4.1,48.7,4.1,59.7,91.8,49.1
Value,73.72,0.00,4.1,48.7,4.1,59.7,91.8,49.1
King Crab,164.90,-0.62,4.0,45.7,4.5,51.3,91.6,49.6
Value,164.90,0.00,4.0,45.7,4.5,51.3,91.6,49.6
Crusader,355.81,-0.19,4.4,50.4,4.1,50.6,91.5,49.4
Value,355.81,0.00,4.4,50.4,4.1,50.6,91.5,49.4
Bomber,99.63,-0.43,4.1,55.3,4.0,46.7,91.9,49.4
Value,99.63,0.00,4.1,55.3,4.0,46.7,91.9,49.4
Shocker,146.84,-0.66,4.3,46.6,3.7,54.8,92.0,49.4
Value,146.84,0.00,4.3,46.6,3.7,54.8,92.0,49.4
Recall Shocker,39.83,-0.91,4.0,41.6,4.3,59.7,91.7,49.4
Value,39.83,0.00,4.0,41.6,4.3,59.7,91.7,49.4
Mortar,296.85,-0.32,3.8,55.3,4.0,43.6,92.1,49.5
Value,296.85,0.00,3.8,55.3,4.0,43.6,92.1,49.5
Swift Shocker,113.71,-0.74,4.1,40.5,4.1,58.2,91.8,49.5
Value,113.71,0.00,4.1,40.5,4.1,58.2,91.8,49.5
Heavy Hunter,108.64,-0.75,6.4,42.1,6.7,56.8,86.9,49.5
Value,108.64,0.00,6.4,42.1,6.7,56.8,86.9,49.5
Destroyer,305.75,-0.30,3.8,53.3,4.4,46.1,91.8,49.5
Value,305.75,0.00,3.8,53.3,4.4,46.1,91.8,49.5
Raider,-155.70,-1.36,4.2,32.1,4.1,60.7,91.8,49.8
Value,-155.70,0.00,4.2,32.1,4.1,60.7,91.8,49.8
Turret,97.23,-0.57,4.6,51.9,4.2,52.6,91.2,49.2
Value,97.23,0.00,4.6,51.9,4.2,52.6,91.2,49.2
Heavy Ballista,599.60,-0.31,2.4,53.3,2.4,39.0,95.2,49.7
