Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,-138.33,-138.33,,,,,,
Crab,79.14,-0.21,14.3,55.7,12.7,39.6,73.0,49.4
Value,79.14,0.00,14.3,55.7,12.7,39.6,73.0,49.4
Hunter,30.79,-0.78,13.1,40.6,13.4,53.6,73.5,49.7
Value,30.79,0.00,13.1,40.6,13.4,53.6,73.5,49.7
Recall,65.15,-0.35,13.5,50.7,13.6,44.7,73.0,49.6
Value,65.15,0.00,13.5,50.7,13.6,44.7,73.0,49.6
Recall Hunter,62.13,-0.55,14.0,49.2,13.2,51.6,72.9,48.6
Value,62.13,0.00,14.0,49.2,13.2,51.6,72.9,48.6
Scorpion,46.64,-0.07,12.8,58.3,13.2,45.4,74.0,48.1
Value,46.64,0.00,12.8,58.3,13.2,45.4,74.0,48.1
Beetle,57.33,-0.58,12.8,46.8,12.8,52.8,74.4,48.8
Value,57.33,0.00,12.8,46.8,12.8,52.8,74.4,48.8
Blink,53.75,-0.46,12.7,50.2,12.7,47.8,74.6,49.1
Value,53.75,0.00,12.7,50.2,12.7,47.8,74.6,49.1
Blink Hunter,52.10,-0.62,13.2,46.6,13.3,52.3,73.4,48.9
Value,52.10,0.00,13.2,46.6,13.3,52.3,73.4,48.9
Gunbot,34.37,-0.31,13.5,54.8,13.5,43.8,73.0,49.0
Value,34.37,0.00,13.5,54.8,13.5,43.8,73.0,49.0
Missilebot,59.34,-0.57,13.5,49.3,13.0,49.6,73.6,48.9
Value,59.34,0.00,13.5,49.3,13.0,49.6,73.6,48.9
Wasp,16.43,-0.34,13.0,52.5,12.6,45.7,74.3,49.0
Value,16.43,0.00,13.0,52.5,12.6,45.7,74.3,49.0
Hornet,34.51,-0.75,13.5,41.6,13.3,54.6,73.2,49.4
Value,34.51,0.00,13.5,41.6,13.3,54.6,73.2,49.4
Knight,48.17,-0.76,12.1,46.0,13.7,50.3,74.2,49.3
Value,48.17,0.00,12.1,46.0,13.7,50.3,74.2,49.3
Crossbow,48.94,-0.86,12.5,41.2,13.3,59.6,74.2,48.5
Value,48.94,0.00,12.5,41.2,13.3,59.6,74.2,48.5
Ballista,139.19,-0.68,6.2,46.2,6.3,49.5,87.5,49.2
Value,139.19,0.00,6.2,46.2,6.3,49.5,87.5,49.2
King Crab,164.75,-0.62,5.9,43.7,6.3,48.8,87.9,49.4
Value,164.75,0.00,5.9,43.7,6.3,48.8,87.9,49.4
Crusader,347.90,-0.20,6.7,55.1,6.4,45.3,86.9,48.9
Value,347.90,0.00,6.7,55.1,6.4,45.3,86.9,48.9
Bomber,119.68,-0.32,6.2,54.6,5.3,44.8,88.4,48.9
Value,119.68,0.00,6.2,54.6,5.3,44.8,88.4,48.9
Shocker,251.03,-0.43,6.2,53.4,5.7,46.5,88.1,48.9
Value,251.03,0.00,6.2,53.4,5.7,46.5,88.1,48.9
Recall Shocker,49.63,-0.89,5.7,47.5,6.1,54.8,88.2,48.8
Value,49.63,0.00,5.7,47.5,6.1,54.8,88.2,48.8
Mortar,397.55,-0.09,5.8,56.9,6.2,45.1,88.0,48.8
Value,397.55,0.00,5.8,56.9,6.2,45.1,88.0,48.8
Swift Shocker,54.13,-0.88,5.9,47.3,5.9,52.8,88.2,48.9
Value,54.13,0.00,5.9,47.3,5.9,52.8,88.2,48.9
Heavy Hunter,112.47,-0.74,4.3,34.4,4.9,54.1,90.8,49.5
Value,112.47,0.00,4.3,34.4,4.9,54.1,90.8,49.5
Destroyer,438.96,0.00,5.8,54.2,6.3,42.7,87.9,49.2
Value,438.96,0.00,5.8,54.2,6.3,42.7,87.9,49.2
Raider,-85.41,-1.20,6.3,36.7,6.1,59.1,87.6,49.3
Value,-85.41,0.00,6.3,36.7,6.1,59.1,87.6,49.3
Turret,18.43,-0.92,6.7,48.5,6.1,55.1,87.2,48.7
Value,18.43,0.00,6.7,48.5,6.1,55.1,87.2,48.7
Heavy Ballista,842.60,-0.04,7.9,55.8,7.4,40.4,84.7,49.2
Value,842.60,0.00,7.9,55.8,7.4,40.4,84.7,49.2
Predator,92.44,-0.79,8.2,37.8,8.0,53.2,83.8,49.8
Value,92.44,0.00,8.2,37.8,8.0,53.2,83.8,49.8
Sniper,571.40,0.31,8.0,58.7,6.9,39.2,85.1,49.0
Value,571.40,0.00,8.0,58.7,6.9,39.2,85.1,49.0
Advanced Blink,230.06,0.31,8.1,63.4,7.7,37.2,84.2,48.8
Value,230.06,0.00,8.1,63.4,7.7,37.2,84.2,48.8
Assaultbot,68.51,0.37,7.2,64.5,7.9,37.9,84.9,48.8
Value,68.51,0.00,7.2,64.5,7.9,37.9,84.9,48.8
Behemoth,298.48,0.19,7.4,58.4,8.2,38.9,84.3,49.2
Value,298.48,0.00,7.4,58.4,8.2,38.9,84.3,49.2
Gargantua,1252.71,0.43,50.4,59.8,49.6,38.2,0.0,0.0
Value,1252.71,0.00,50.4,59.8,49.6,38.2,0.0,0.0
Butterfly,141.08,-0.68,4.0,38.9,4.9,60.1,91.1,48.9
Value,141.08,0.00,4.0,38.9,4.9,60.1,91.1,48.9
Dragonfly,209.90,-0.52,4.4,40.7,4.0,55.2,91.5,49.2
Value,209.90,0.00,4.4,40.7,4.0,55.2,91.5,49.2
Falcon,340.14,-0.22,4.2,50.0,4.7,52.4,91.1,48.9
Value,340.14,0.00,4.2,50.0,4.7,52.4,91.1,48.9
Airship,210.92,-0.52,4.1,44.6,4.9,50.9,91.0,49.2
Value,210.92,0.00,4.1,44.6,4.9,50.9,91.0,49.2
Advanced Recall,139.19,-0.20,4.6,48.1,4.3,53.1,91.0,48.9
Value,139.19,0.00,4.6,48.1,4.3,53.1,91.0,48.9
Mammoth,313.31,-0.28,3.8,45.3,4.6,53.7,91.6,49.0
Value,313.31,0.00,3.8,45.3,4.6,53.7,91.6,49.0
Stinger,104.69,-0.76,4.0,28.3,4.2,59.4,91.8,49.5
Value,104.69,0.00,4.0,28.3,4.2,59.4,91.8,49.5
Flak Turret,-27.32,-1.06,4.7,40.8,4.4,62.4,90.9,48.8
Value,-27.32,0.00,4.7,40.8,4.4,62.4,90.9,48.8
Bulwark,763.18,-0.13,3.5,53.2,3.4,52.0,93.1,48.8
