Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,44.38,44.38,,,,,,
Crab,36.36,-0.64,10.5,51.1,10.7,49.2,78.9,50.3
Value,36.36,0.00,10.5,51.1,10.7,49.2,78.9,50.3
Hunter,25.66,-0.81,10.9,42.3,10.4,58.7,78.7,50.3
Value,25.66,0.00,10.9,42.3,10.4,58.7,78.7,50.3
Recall,38.42,-0.62,10.3,51.8,10.4,47.9,79.2,50.4
Value,38.42,0.00,10.3,51.8,10.4,47.9,79.2,50.4
Recall Hunter,42.21,-0.69,10.9,46.6,10.5,54.4,78.6,50.2
Value,42.21,0.00,10.9,46.6,10.5,54.4,78.6,50.2
Scorpion,30.23,-0.40,10.7,58.0,11.0,44.3,78.3,50.1
Value,30.23,0.00,10.7,58.0,11.0,44.3,78.3,50.1
Beetle,50.74,-0.63,11.1,48.0,10.2,52.1,78.7,50.4
Value,50.74,0.00,11.1,48.0,10.2,52.1,78.7,50.4
Blink,33.70,-0.66,10.8,50.7,10.6,51.0,78.5,50.1
Value,33.70,0.00,10.8,50.7,10.6,51.0,78.5,50.1
Blink Hunter,35.23,-0.74,10.5,43.0,10.6,55.2,78.9,50.6
Value,35.23,0.00,10.5,43.0,10.6,55.2,78.9,50.6
Gunbot,29.16,-0.42,49.4,60.5,50.6,40.3,0.0,0.0
Value,29.16,0.00,49.4,60.5,50.6,40.3,0.0,0.0
Missilebot,40.73,-0.70,10.8,47.4,10.7,52.6,78.5,50.4
Value,40.73,0.00,10.8,47.4,10.7,52.6,78.5,50.4
Wasp,11.18,-0.55,10.5,52.5,10.7,48.6,78.8,50.2
Value,11.18,0.00,10.5,52.5,10.7,48.6,78.8,50.2
Hornet,16.77,-0.88,11.0,40.7,10.8,60.4,78.2,50.2
Value,16.77,0.00,11.0,40.7,10.8,60.4,78.2,50.2
Knight,-13.76,-1.07,10.5,42.3,10.5,56.8,79.0,50.5
Value,-13.76,0.00,10.5,42.3,10.5,56.8,79.0,50.5
Crossbow,-46.45,-1.13,10.6,32.8,10.6,68.6,78.8,50.2
Value,-46.45,0.00,10.6,32.8,10.6,68.6,78.8,50.2
Ballista,61.69,-0.86,3.2,43.4,3.6,59.1,93.2,50.2
Value,61.69,0.00,3.2,43.4,3.6,59.1,93.2,50.2
King Crab,43.98,-0.90,3.4,42.3,3.4,62.4,93.2,50.1
Value,43.98,0.00,3.4,42.3,3.4,62.4,93.2,50.1
