Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,38.87,38.87,,,,,,
Crab,24.24,-0.76,13.1,53.3,13.9,48.7,73.0,48.9
Value,24.24,0.00,13.1,53.3,13.9,48.7,73.0,48.9
Hunter,-10.73,-1.08,12.2,46.3,13.2,50.5,74.6,49.8
Value,-10.73,0.00,12.2,46.3,13.2,50.5,74.6,49.8
Recall,23.46,-0.77,13.1,52.1,12.8,41.6,74.1,50.3
Value,23.46,0.00,13.1,52.1,12.8,41.6,74.1,50.3
Recall Hunter,10.82,-0.92,13.2,50.9,14.2,47.3,72.7,49.6
Value,10.82,0.00,13.2,50.9,14.2,47.3,72.7,49.6
Scorpion,15.26,-0.69,13.1,52.0,12.6,48.5,74.3,49.2
Value,15.26,0.00,13.1,52.0,12.6,48.5,74.3,49.2
Beetle,20.78,-0.85,12.9,52.0,12.6,47.0,74.5,49.4
Value,20.78,0.00,12.9,52.0,12.6,47.0,74.5,49.4
Blink,12.57,-0.87,13.1,49.4,13.2,45.1,73.7,50.2
Value,12.57,0.00,13.1,49.4,13.2,45.1,73.7,50.2
Blink Hunter,-2.81,-1.02,13.1,48.7,13.7,50.1,73.2,49.5
Value,-2.81,0.00,13.1,48.7,13.7,50.1,73.2,49.5
Gunbot,12.29,-0.75,13.7,55.8,13.8,46.7,72.5,48.8
Value,12.29,0.00,13.7,55.8,13.8,46.7,72.5,48.8
Missilebot,10.11,-0.93,13.5,48.9,12.9,48.3,73.6,49.7
Value,10.11,0.00,13.5,48.9,12.9,48.3,73.6,49.7
Wasp,-2.88,-1.12,13.6,48.1,13.1,51.5,73.2,49.3
Value,-2.88,0.00,13.6,48.1,13.1,51.5,73.2,49.3
Hornet,-21.74,-1.16,13.8,46.3,12.6,55.1,73.6,49.1
Value,-21.74,0.00,13.8,46.3,12.6,55.1,73.6,49.1
Knight,-13.26,-1.07,13.2,48.8,14.0,52.7,72.8,48.9
Value,-13.26,0.00,13.2,48.8,14.0,52.7,72.8,48.9
Crossbow,-115.49,-1.33,13.6,39.7,12.8,60.4,73.6,49.3
Value,-115.49,0.00,13.6,39.7,12.8,60.4,73.6,49.3
Ballista,-92.56,-1.21,6.0,44.5,6.3,59.1,87.7,49.1
Value,-92.56,0.00,6.0,44.5,6.3,59.1,87.7,49.1
King Crab,42.65,-0.90,6.3,44.6,6.0,50.4,87.6,49.7
Value,42.65,0.00,6.3,44.6,6.0,50.4,87.6,49.7
Crusader,220.51,-0.50,6.3,54.2,6.1,48.9,87.6,49.1
Value,220.51,0.00,6.3,54.2,6.1,48.9,87.6,49.1
Bomber,3.21,-0.98,6.2,48.2,6.3,45.1,87.5,49.8
Value,3.21,0.00,6.2,48.2,6.3,45.1,87.5,49.8
Shocker,-28.56,-1.07,6.0,47.1,5.8,51.9,88.2,49.5
Value,-28.56,0.00,6.0,47.1,5.8,51.9,88.2,49.5
Recall Shocker,-68.88,-1.16,6.0,42.4,5.7,51.3,88.2,49.8
Value,-68.88,0.00,6.0,42.4,5.7,51.3,88.2,49.8
Mortar,101.06,-0.77,6.0,51.8,6.2,48.4,87.8,49.4
Value,101.06,0.00,6.0,51.8,6.2,48.4,87.8,49.4
Swift Shocker,-48.02,-1.11,6.5,46.1,6.1,56.8,87.4,49.2
Value,-48.02,0.00,6.5,46.1,6.1,56.8,87.4,49.2
Heavy Hunter,70.96,-0.84,4.4,53.5,4.5,41.5,91.1,49.7
Value,70.96,0.00,4.4,53.5,4.5,41.5,91.1,49.7
Destroyer,217.05,-0.50,6.0,53.3,6.5,41.7,87.5,49.8
Value,217.05,0.00,6.0,53.3,6.5,41.7,87.5,49.8
Raider,-199.29,-1.46,6.6,35.1,6.1,58.8,87.3,49.9
Value,-199.29,0.00,6.6,35.1,6.1,58.8,87.3,49.9
Turret,18.54,-0.92,6.4,46.2,6.2,51.1,87.4,49.6
Value,18.54,0.00,6.4,46.2,6.2,51.1,87.4,49.6
Heavy Ballista,197.77,-0.77,50.0,48.4,50.0,50.5,0.0,0.0
Value,197.77,0.00,50.0,48.4,50.0,50.5,0.0,0.0
Predator,-156.66,-1.36,7.9,34.9,7.2,63.5,84.9,49.6
Value,-156.66,0.00,7.9,34.9,7.2,63.5,84.9,49.6
Sniper,307.35,-0.30,8.0,53.0,8.7,39.1,83.3,50.2
Value,307.35,0.00,8.0,53.0,8.7,39.1,83.3,50.2
Advanced Blink,174.30,-0.00,7.5,65.4,7.7,41.6,84.8,48.8
Value,174.30,0.00,7.5,65.4,7.7,41.6,84.8,48.8
Assaultbot,44.66,-0.11,7.5,59.8,8.4,38.0,84.1,49.7
Value,44.66,0.00,7.5,59.8,8.4,38.0,84.1,49.7
Behemoth,202.44,-0.19,7.4,54.3,7.5,42.2,85.0,49.7
Value,202.44,0.00,7.4,54.3,7.5,42.2,85.0,49.7
Gargantua,956.07,0.09,7.7,63.2,7.3,32.6,85.0,49.7
Value,956.07,0.00,7.7,63.2,7.3,32.6,85.0,49.7
Butterfly,-59.89,-1.14,4.8,49.5,4.2,55.4,91.0,49.2
Value,-59.89,0.00,4.8,49.5,4.2,55.4,91.0,49.2
Dragonfly,87.90,-0.80,5.0,54.2,4.8,43.6,90.2,49.5
Value,87.90,0.00,5.0,54.2,4.8,43.6,90.2,49.5
Falcon,226.71,-0.48,4.0,62.5,4.7,34.7,91.3,49.6
Value,226.71,0.00,4.0,62.5,4.7,34.7,91.3,49.6
Airship,219.76,-0.50,4.1,54.8,4.6,37.7,91.2,49.8
Value,219.76,0.00,4.1,54.8,4.6,37.7,91.2,49.8
Advanced Recall,79.48,-0.55,4.8,54.1,4.4,44.5,90.8,49.4
Value,79.48,0.00,4.8,54.1,4.4,44.5,90.8,49.4
Mammoth,283.50,-0.35,4.4,60.7,4.4,35.1,91.2,49.6
Value,283.50,0.00,4.4,60.7,4.4,35.1,91.2,49.6
Stinger,-113.04,-1.26,3.7,44.3,4.4,48.0,92.0,49.7
Value,-113.04,0.00,3.7,44.3,4.4,48.0,92.0,49.7
Flak Turret,-134.65,-1.30,4.5,43.0,4.2,49.5,91.3,49.8
Value,-134.65,0.00,4.5,43.0,4.2,49.5,91.3,49.8
Bulwark,482.59,-0.45,4.0,59.0,3.9,37.5,92.1,49.5
Value,482.59,0.00,4.0,59.0,3.9,37.5,92.1,49.5
Katbus,728.15,-0.17,4.1,64.0,3.6,35.6,92.4,49.3
Value,728.15,0.00,4.1,64.0,3.6,35.6,92.4,49.3
Locust,66.93,-0.62,3.6,53.6,3.9,45.0,92.4,49.5
Value,66.93,0.00,3.6,53.6,3.9,45.0,92.4,49.5
Kraken,9833.74,-0.06,3.8,82.6,3.7,16.4,92.5,49.4
Value,9833.74,0.00,3.8,82.6,3.7,16.4,92.5,49.4
Valkyrie,187.62,-0.57,3.9,50.6,3.8,42.2,92.4,49.7
Value,187.62,0.00,3.9,50.6,3.8,42.2,92.4,49.7
Artillery,114.66,-0.74,4.0,51.9,3.2,43.9,92.7,49.5
Value,114.66,0.00,4.0,51.9,3.2,43.9,92.7,49.5
Advancedbot,44.55,-0.11,3.9,65.2,4.0,40.7,92.1,49.2
Value,44.55,0.00,3.9,65.2,4.0,40.7,92.1,49.2
Advanced Destroyer,209.76,-0.52,4.1,50.5,3.5,40.5,92.4,49.7
