Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,-26.37,-26.37,,,,,,
Crab,73.38,-0.27,12.2,54.5,13.4,45.2,74.5,49.7
Value,73.38,0.00,12.2,54.5,13.4,45.2,74.5,49.7
Hunter,56.75,-0.59,13.1,48.3,13.1,53.6,73.8,49.3
Value,56.75,0.00,13.1,48.3,13.1,53.6,73.8,49.3
Recall,68.21,-0.32,13.4,51.5,12.6,44.6,73.9,50.3
Value,68.21,0.00,13.4,51.5,12.6,44.6,73.9,50.3
Recall Hunter,70.96,-0.48,14.1,52.0,13.1,48.2,72.8,49.5
Value,70.96,0.00,14.1,52.0,13.1,48.2,72.8,49.5
Scorpion,46.71,-0.07,13.5,57.2,12.8,42.4,73.7,49.6
Value,46.71,0.00,13.5,57.2,12.8,42.4,73.7,49.6
Beetle,92.16,-0.33,12.9,54.5,13.5,46.3,73.6,49.5
Value,92.16,0.00,12.9,54.5,13.5,46.3,73.6,49.5
Blink,64.61,-0.35,13.7,49.9,12.7,47.0,73.7,50.2
Value,64.61,0.00,13.7,49.9,12.7,47.0,73.7,50.2
Blink Hunter,61.27,-0.55,13.1,50.4,13.7,51.7,73.2,49.2
Value,61.27,0.00,13.1,50.4,13.7,51.7,73.2,49.2
Gunbot,33.24,-0.34,13.8,52.0,13.3,46.4,73.0,49.9
Value,33.24,0.00,13.8,52.0,13.3,46.4,73.0,49.9
Missilebot,72.07,-0.48,12.7,52.3,13.4,48.6,74.0,49.5
Value,72.07,0.00,12.7,52.3,13.4,48.6,74.0,49.5
Wasp,16.12,-0.36,13.4,47.8,13.4,51.0,73.2,49.8
Value,16.12,0.00,13.4,47.8,13.4,51.0,73.2,49.8
Hornet,41.65,-0.70,12.9,45.7,13.4,53.8,73.7,49.7
Value,41.65,0.00,12.9,45.7,13.4,53.8,73.7,49.7
Knight,52.76,-0.74,13.0,43.8,13.4,52.0,73.7,50.3
Value,52.76,0.00,13.0,43.8,13.4,52.0,73.7,50.3
Crossbow,-3.80,-1.01,13.4,41.0,13.3,59.6,73.4,49.5
Value,-3.80,0.00,13.4,41.0,13.3,59.6,73.4,49.5
Ballista,68.99,-0.84,4.2,42.3,4.3,50.8,91.5,50.0
Value,68.99,0.00,4.2,42.3,4.3,50.8,91.5,50.0
King Crab,202.36,-0.54,4.2,46.6,4.3,47.1,91.5,50.0
Value,202.36,0.00,4.2,46.6,4.3,47.1,91.5,50.0
Crusader,403.47,-0.08,4.1,58.5,3.9,47.3,92.0,49.4
Value,403.47,0.00,4.1,58.5,3.9,47.3,92.0,49.4
Bomber,117.35,-0.33,4.4,57.5,4.2,40.6,91.5,49.8
Value,117.35,0.00,4.4,57.5,4.2,40.6,91.5,49.8
Shocker,132.32,-0.70,4.4,49.5,4.3,50.7,91.3,49.7
Value,132.32,0.00,4.4,49.5,4.3,50.7,91.3,49.7
Recall Shocker,40.11,-0.91,4.0,43.7,4.0,56.9,92.0,49.7
Value,40.11,0.00,4.0,43.7,4.0,56.9,92.0,49.7
Mortar,246.32,-0.44,4.1,52.9,4.0,50.0,91.9,49.6
Value,246.32,0.00,4.1,52.9,4.0,50.0,91.9,49.6
Swift Shocker,23.22,-0.95,3.9,40.2,3.9,53.9,92.2,49.9
Value,23.22,0.00,3.9,40.2,3.9,53.9,92.2,49.9
Heavy Hunter,59.10,-0.86,49.4,43.1,50.6,56.1,0.0,0.0
Value,59.10,0.00,49.4,43.1,50.6,56.1,0.0,0.0
Destroyer,263.54,-0.40,4.1,48.4,4.0,49.1,91.9,49.8
Value,263.54,0.00,4.1,48.4,4.0,49.1,91.9,49.8
Raider,-182.78,-1.42,4.2,35.3,4.2,63.2,91.6,49.8
Value,-182.78,0.00,4.2,35.3,4.2,63.2,91.6,49.8
Turret,35.56,-0.84,4.3,44.3,4.2,49.9,91.5,50.0
Value,35.56,0.00,4.3,44.3,4.2,49.9,91.5,50.0
Heavy Ballista,291.30,-0.67,2.4,51.5,2.5,43.4,95.1,49.8
Value,291.30,0.00,2.4,51.5,2.5,43.4,95.1,49.8
Predator,0.93,-1.00,2.5,47.8,2.5,54.9,95.1,49.6
Value,0.93,0.00,2.5,47.8,2.5,54.9,95.1,49.6
Sniper,329.17,-0.25,2.5,56.3,2.6,38.1,94.9,49.9
Value,329.17,0.00,2.5,56.3,2.6,38.1,94.9,49.9
Advanced Blink,224.81,0.28,2.8,62.4,2.3,34.5,94.8,49.7
Value,224.81,0.00,2.8,62.4,2.3,34.5,94.8,49.7
Assaultbot,60.03,0.20,2.2,62.2,2.7,44.0,95.1,49.6
Value,60.03,0.00,2.2,62.2,2.7,44.0,95.1,49.6
Behemoth,290.49,0.16,2.5,61.2,2.2,41.2,95.3,49.6
Value,290.49,0.00,2.5,61.2,2.2,41.2,95.3,49.6
Gargantua,1218.68,0.39,2.7,58.5,2.3,28.8,95.0,50.0
Value,1218.68,0.00,2.7,58.5,2.3,28.8,95.0,50.0
Butterfly,43.02,-0.90,6.8,40.4,7.0,56.6,86.3,49.9
Value,43.02,0.00,6.8,40.4,7.0,56.6,86.3,49.9
Dragonfly,102.80,-0.77,6.6,45.7,6.5,50.2,86.9,50.0
Value,102.80,0.00,6.6,45.7,6.5,50.2,86.9,50.0
Falcon,265.07,-0.39,6.9,54.1,7.0,44.0,86.0,49.8
Value,265.07,0.00,6.9,54.1,7.0,44.0,86.0,49.8
Airship,166.00,-0.62,6.6,47.7,6.7,50.7,86.7,49.8
Value,166.00,0.00,6.6,47.7,6.7,50.7,86.7,49.8
