Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,274.43,274.43,,,,,,
Crab,73.00,-0.27,10.4,65.4,12.4,41.9,77.1,53.1
Value,73.00,0.00,10.4,65.4,12.4,41.9,77.1,53.1
Hunter,33.93,-0.75,8.8,59.1,12.0,60.0,79.1,51.3
Value,33.93,0.00,8.8,59.1,12.0,60.0,79.1,51.3
Recall,63.53,-0.36,6.8,70.6,10.0,44.0,83.1,52.7
Value,63.53,0.00,6.8,70.6,10.0,44.0,83.1,52.7
Recall Hunter,90.18,-0.34,8.8,59.1,10.4,53.8,80.7,52.2
Value,90.18,0.00,8.8,59.1,10.4,53.8,80.7,52.2
Scorpion,52.25,0.04,12.4,51.6,11.6,20.7,75.9,58.2
Value,52.25,0.00,12.4,51.6,11.6,20.7,75.9,58.2
Beetle,61.62,-0.55,11.6,65.5,12.0,50.0,76.3,51.6
Value,61.62,0.00,11.6,65.5,12.0,50.0,76.3,51.6
Blink,34.01,-0.66,10.8,51.9,13.3,45.5,75.9,54.5
Value,34.01,0.00,10.8,51.9,13.3,45.5,75.9,54.5
Blink Hunter,68.96,-0.50,12.0,46.7,7.2,50.0,80.7,54.2
Value,68.96,0.00,12.0,46.7,7.2,50.0,80.7,54.2
Gunbot,36.07,-0.28,7.6,57.9,10.4,42.3,81.9,53.9
Value,36.07,0.00,7.6,57.9,10.4,42.3,81.9,53.9
Missilebot,35.08,-0.74,8.8,36.4,11.2,67.9,79.9,52.8
Value,35.08,0.00,8.8,36.4,11.2,67.9,79.9,52.8
Wasp,23.45,-0.06,11.2,67.9,11.6,44.8,77.1,52.1
Value,23.45,0.00,11.2,67.9,11.6,44.8,77.1,52.1
Hornet,33.13,-0.76,53.0,42.4,47.0,65.0,0.0,0.0
Value,33.13,0.00,53.0,42.4,47.0,65.0,0.0,0.0
Knight,164.30,-0.18,13.7,52.9,9.6,37.5,76.7,55.0
Value,164.30,0.00,13.7,52.9,9.6,37.5,76.7,55.0
Crossbow,-139.35,-1.40,8.4,47.6,11.6,79.3,79.9,49.7
Value,-139.35,0.00,8.4,47.6,11.6,79.3,79.9,49.7
Ballista,171.80,-0.61,2.4,50.0,3.6,77.8,94.0,52.1
Value,171.80,0.00,2.4,50.0,3.6,77.8,94.0,52.1
King Crab,119.23,-0.73,3.2,37.5,3.2,37.5,93.6,54.1
Value,119.23,0.00,3.2,37.5,3.2,37.5,93.6,54.1
Crusader,91.83,-0.79,2.0,80.0,2.8,42.9,95.2,52.7
Value,91.83,0.00,2.0,80.0,2.8,42.9,95.2,52.7
