Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,160.34,160.34,,,,,,
Crab,22.83,-0.77,7.0,55.6,9.0,39.1,84.0,53.0
Value,22.83,0.00,7.0,55.6,9.0,39.1,84.0,53.0
Hunter,-69.37,-1.50,48.4,42.7,51.6,60.6,0.0,0.0
Value,-69.37,0.00,48.4,42.7,51.6,60.6,0.0,0.0
Recall,-8.66,-1.09,12.1,64.5,11.7,53.3,76.2,49.7
Value,-8.66,0.00,12.1,64.5,11.7,53.3,76.2,49.7
Recall Hunter,-73.02,-1.53,13.7,40.0,9.8,28.0,76.6,57.1
Value,-73.02,0.00,13.7,40.0,9.8,28.0,76.6,57.1
Scorpion,9.99,-0.80,10.2,61.5,12.5,37.5,77.3,53.0
Value,9.99,0.00,10.2,61.5,12.5,37.5,77.3,53.0
Beetle,-17.92,-1.13,9.4,58.3,12.9,51.5,77.7,51.3
Value,-17.92,0.00,9.4,58.3,12.9,51.5,77.7,51.3
Blink,-25.05,-1.25,8.2,47.6,9.8,40.0,82.0,53.8
Value,-25.05,0.00,8.2,47.6,9.8,40.0,82.0,53.8
Blink Hunter,-14.18,-1.10,10.9,39.3,9.8,56.0,79.3,53.2
Value,-14.18,0.00,10.9,39.3,9.8,56.0,79.3,53.2
Gunbot,0.68,-0.99,11.3,65.5,10.2,38.5,78.5,51.7
Value,0.68,0.00,11.3,65.5,10.2,38.5,78.5,51.7
Missilebot,-23.02,-1.17,10.5,55.6,10.9,60.7,78.5,50.2
Value,-23.02,0.00,10.5,55.6,10.9,60.7,78.5,50.2
Wasp,15.14,-0.39,9.0,73.9,11.7,30.0,79.3,52.7
Value,15.14,0.00,9.0,73.9,11.7,30.0,79.3,52.7
Hornet,-85.91,-1.62,11.3,51.7,9.0,69.6,79.7,50.0
Value,-85.91,0.00,11.3,51.7,9.0,69.6,79.7,50.0
Knight,-96.70,-1.48,12.5,62.5,10.2,53.8,77.3,50.0
Value,-96.70,0.00,12.5,62.5,10.2,53.8,77.3,50.0
Crossbow,-224.78,-1.64,14.5,45.9,7.8,85.0,77.7,49.7
Value,-224.78,0.00,14.5,45.9,7.8,85.0,77.7,49.7
Ballista,-257.75,-1.59,3.5,55.6,1.6,50.0,94.9,51.9
Value,-257.75,0.00,3.5,55.6,1.6,50.0,94.9,51.9
King Crab,-181.61,-1.42,2.7,28.6,3.5,33.3,93.8,53.3
Value,-181.61,0.00,2.7,28.6,3.5,33.3,93.8,53.3
Crusader,73.98,-0.83,7.0,66.7,3.1,87.5,89.8,49.6
Value,73.98,0.00,7.0,66.7,3.1,87.5,89.8,49.6
Bomber,90.05,-0.49,2.7,71.4,5.1,30.8,92.2,52.5
Value,90.05,0.00,2.7,71.4,5.1,30.8,92.2,52.5
Shocker,-308.84,-1.71,2.7,14.3,4.7,66.7,92.6,52.3
Value,-308.84,0.00,2.7,14.3,4.7,66.7,92.6,52.3
Recall Shocker,-450.71,-2.03,3.1,62.5,3.1,75.0,93.8,50.8
Value,-450.71,0.00,3.1,62.5,3.1,75.0,93.8,50.8
Mortar,-220.32,-1.50,2.0,60.0,3.5,55.6,94.5,51.7
Value,-220.32,0.00,2.0,60.0,3.5,55.6,94.5,51.7
Swift Shocker,-401.59,-1.92,3.5,33.3,4.7,58.3,91.8,52.3
Value,-401.59,0.00,3.5,33.3,4.7,58.3,91.8,52.3
Heavy Hunter,-103.78,-1.24,2.7,57.1,4.3,54.5,93.0,51.7
Value,-103.78,0.00,2.7,57.1,4.3,54.5,93.0,51.7
Destroyer,9.09,-0.98,1.2,33.3,2.7,71.4,96.1,51.6
Value,9.09,0.00,1.2,33.3,2.7,71.4,96.1,51.6
Raider,-769.37,-2.76,3.5,22.2,2.3,66.7,94.1,52.7
Value,-769.37,0.00,3.5,22.2,2.3,66.7,94.1,52.7
Turret,-233.49,-2.04,5.5,64.3,3.1,87.5,91.4,50.0
Value,-233.49,0.00,5.5,64.3,3.1,87.5,91.4,50.0
Heavy Ballista,-691.34,-1.79,2.7,42.9,3.1,62.5,94.1,51.9
Value,-691.34,0.00,2.7,42.9,3.1,62.5,94.1,51.9
Predator,-354.38,-1.81,1.6,50.0,4.3,63.6,94.1,51.5
Value,-354.38,0.00,1.6,50.0,4.3,63.6,94.1,51.5
Sniper,-68.45,-1.16,0.8,100.0,3.1,37.5,96.1,52.0
Value,-68.45,0.00,0.8,100.0,3.1,37.5,96.1,52.0
Advanced Blink,109.39,-0.37,1.2,100.0,1.2,33.3,97.7,51.6
Value,109.39,0.00,1.2,100.0,1.2,33.3,97.7,51.6
Assaultbot,10.29,-0.79,5.9,66.7,1.6,0.0,92.6,51.9
Value,10.29,0.00,5.9,66.7,1.6,0.0,92.6,51.9
Behemoth,224.08,-0.10,2.0,100.0,2.3,50.0,95.7,51.0
Value,224.08,0.00,2.0,100.0,2.3,50.0,95.7,51.0
Gargantua,189.50,-0.78,2.3,83.3,1.6,75.0,96.1,50.8
Value,189.50,0.00,2.3,83.3,1.6,75.0,96.1,50.8
Butterfly,-258.23,-1.59,5.5,50.0,4.3,63.6,90.2,51.5
Value,-258.23,0.00,5.5,50.0,4.3,63.6,90.2,51.5
Dragonfly,1.48,-1.00,3.9,60.0,5.9,40.0,90.2,52.4
Value,1.48,0.00,3.9,60.0,5.9,40.0,90.2,52.4
Falcon,75.71,-0.83,2.0,40.0,5.5,42.9,92.6,52.7
Value,75.71,0.00,2.0,40.0,5.5,42.9,92.6,52.7
Airship,-661.23,-2.51,2.7,42.9,5.9,66.7,91.4,51.3
Value,-661.23,0.00,2.7,42.9,5.9,66.7,91.4,51.3
Advanced Recall,-107.36,-1.61,2.3,66.7,2.3,83.3,95.3,50.8
Value,-107.36,0.00,2.3,66.7,2.3,83.3,95.3,50.8
Mammoth,-210.12,-1.48,5.9,40.0,4.3,63.6,89.8,52.2
Value,-210.12,0.00,5.9,40.0,4.3,63.6,89.8,52.2
Stinger,-278.26,-1.64,2.7,42.9,3.9,50.0,93.4,52.3
Value,-278.26,0.00,2.7,42.9,3.9,50.0,93.4,52.3
Flak Turret,-24.13,-1.05,3.5,66.7,5.1,30.8,91.4,52.6
Value,-24.13,0.00,3.5,66.7,5.1,30.8,91.4,52.6
Bulwark,478.75,-0.45,2.0,60.0,1.6,25.0,96.5,52.2
Value,478.75,0.00,2.0,60.0,1.6,25.0,96.5,52.2
Katbus,2214.28,1.53,2.0,60.0,0.8,50.0,97.3,51.8
Value,2214.28,0.00,2.0,60.0,0.8,50.0,97.3,51.8
Locust,-126.90,-1.73,1.2,66.7,2.0,80.0,96.9,51.2
Value,-126.90,0.00,1.2,66.7,2.0,80.0,96.9,51.2
Kraken,178.46,-0.98,1.6,50.0,2.3,33.3,96.1,52.4
Value,178.46,0.00,1.6,50.0,2.3,33.3,96.1,52.4
Valkyrie,-185.62,-1.42,3.5,66.7,0.4,0.0,96.1,51.6
Value,-185.62,0.00,3.5,66.7,0.4,0.0,96.1,51.6
Artillery,-60.41,-1.14,1.2,33.3,2.7,71.4,96.1,51.6
Value,-60.41,0.00,1.2,33.3,2.7,71.4,96.1,51.6
Advancedbot,-10.89,-1.22,2.7,85.7,2.3,50.0,94.9,51.0
Value,-10.89,0.00,2.7,85.7,2.3,50.0,94.9,51.0
Advanced Destroyer,-205.07,-1.47,2.3,50.0,2.0,0.0,95.7,53.1
