Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,60.00,60.00,,,,,,
Crab,47.98,-0.52,13.2,54.9,13.0,46.7,73.8,50.4
Value,47.98,0.00,13.2,54.9,13.0,46.7,73.8,50.4
Hunter,34.28,-0.75,13.5,50.7,12.7,49.9,73.8,50.6
Value,34.28,0.00,13.5,50.7,12.7,49.9,73.8,50.6
Recall,9.50,-0.90,13.3,44.6,13.1,51.9,73.6,51.3
Value,9.50,0.00,13.3,44.6,13.1,51.9,73.6,51.3
Recall Hunter,57.44,-0.58,13.2,55.2,14.2,46.5,72.6,50.4
Value,57.44,0.00,13.2,55.2,14.2,46.5,72.6,50.4
Scorpion,25.63,-0.49,13.6,53.8,12.8,48.3,73.6,50.2
Value,25.63,0.00,13.6,53.8,12.8,48.3,73.6,50.2
Beetle,64.25,-0.53,13.2,50.8,13.2,45.4,73.7,51.3
Value,64.25,0.00,13.2,50.8,13.2,45.4,73.7,51.3
Blink,23.02,-0.77,12.6,49.2,13.6,50.0,73.9,50.8
Value,23.02,0.00,12.6,49.2,13.6,50.0,73.9,50.8
Blink Hunter,53.98,-0.61,13.2,52.5,13.3,47.4,73.6,50.7
Value,53.98,0.00,13.2,52.5,13.3,47.4,73.6,50.7
Gunbot,6.63,-0.87,12.4,48.0,13.5,56.5,74.1,49.8
Value,6.63,0.00,12.4,48.0,13.5,56.5,74.1,49.8
Missilebot,54.43,-0.60,14.2,52.5,13.5,47.6,72.2,50.6
Value,54.43,0.00,14.2,52.5,13.5,47.6,72.2,50.6
Wasp,2.60,-0.90,12.7,44.5,13.0,55.0,74.3,50.7
Value,2.60,0.00,12.7,44.5,13.0,55.0,74.3,50.7
Hornet,43.62,-0.68,13.3,53.1,13.4,52.3,73.3,49.7
Value,43.62,0.00,13.3,53.1,13.4,52.3,73.3,49.7
Knight,-4.92,-1.02,13.2,43.8,14.0,57.1,72.8,50.4
Value,-4.92,0.00,13.2,43.8,14.0,57.1,72.8,50.4
Crossbow,13.81,-0.96,13.2,48.0,12.9,56.3,73.9,49.9
Value,13.81,0.00,13.2,48.0,12.9,56.3,73.9,49.9
Ballista,-66.96,-1.15,2.8,34.8,3.8,63.3,93.3,50.4
Value,-66.96,0.00,2.8,34.8,3.8,63.3,93.3,50.4
King Crab,-0.62,-1.00,3.2,44.4,3.4,65.2,93.4,50.2
Value,-0.62,0.00,3.2,44.4,3.4,65.2,93.4,50.2
Crusader,266.65,-0.39,4.1,43.8,4.0,57.3,91.9,50.5
Value,266.65,0.00,4.1,43.8,4.0,57.3,91.9,50.5
Bomber,101.52,-0.42,3.1,54.5,3.4,47.4,93.5,50.5
Value,101.52,0.00,3.1,54.5,3.4,47.4,93.5,50.5
Shocker,94.64,-0.78,4.0,52.5,3.8,59.3,92.2,50.0
Value,94.64,0.00,4.0,52.5,3.8,59.3,92.2,50.0
Recall Shocker,-118.04,-1.27,3.8,35.8,3.5,60.3,92.8,50.7
Value,-118.04,0.00,3.8,35.8,3.5,60.3,92.8,50.7
Mortar,59.24,-0.86,3.6,45.1,3.1,55.8,93.3,50.5
Value,59.24,0.00,3.6,45.1,3.1,55.8,93.3,50.5
Swift Shocker,-74.89,-1.17,3.6,25.0,3.5,67.2,93.0,50.8
Value,-74.89,0.00,3.6,25.0,3.5,67.2,93.0,50.8
Heavy Hunter,254.90,-0.42,7.3,58.9,7.6,43.3,85.1,50.4
Value,254.90,0.00,7.3,58.9,7.6,43.3,85.1,50.4
Destroyer,14.99,-0.97,3.1,43.1,3.9,65.2,92.9,50.1
Value,14.99,0.00,3.1,43.1,3.9,65.2,92.9,50.1
Raider,-274.53,-1.63,4.1,29.6,4.0,65.4,91.9,50.8
Value,-274.53,0.00,4.1,29.6,4.0,65.4,91.9,50.8
Turret,-7.85,-1.03,4.2,37.2,4.0,61.1,91.8,50.6
Value,-7.85,0.00,4.2,37.2,4.0,61.1,91.8,50.6
Heavy Ballista,251.85,-0.71,4.6,45.3,4.3,56.5,91.1,50.5
