Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,1216.35,1216.35,,,,,,
Crab,114.92,0.15,12.1,50.0,10.6,57.1,77.3,45.1
Value,114.92,0.00,12.1,50.0,10.6,57.1,77.3,45.1
Hunter,34.37,-0.75,18.2,25.0,6.1,50.0,75.8,52.0
Value,34.37,0.00,18.2,25.0,6.1,50.0,75.8,52.0
Recall,255.25,1.55,19.7,53.8,10.6,42.9,69.7,45.7
Value,255.25,0.00,19.7,53.8,10.6,42.9,69.7,45.7
Recall Hunter,-22.23,-1.16,10.6,57.1,13.6,33.3,75.8,48.0
Value,-22.23,0.00,10.6,57.1,13.6,33.3,75.8,48.0
Scorpion,56.69,0.13,13.6,44.4,15.2,60.0,71.2,44.7
Value,56.69,0.00,13.6,44.4,15.2,60.0,71.2,44.7
Beetle,147.84,0.08,16.7,54.5,15.2,30.0,68.2,48.9
Value,147.84,0.00,16.7,54.5,15.2,30.0,68.2,48.9
Blink,58.08,-0.42,16.7,63.6,10.6,42.9,72.7,43.8
Value,58.08,0.00,16.7,63.6,10.6,42.9,72.7,43.8
Blink Hunter,222.56,0.62,19.7,53.8,16.7,54.5,63.6,42.9
Value,222.56,0.00,19.7,53.8,16.7,54.5,63.6,42.9
Gunbot,26.16,-0.48,7.6,20.0,13.6,44.4,78.8,50.0
Value,26.16,0.00,7.6,20.0,13.6,44.4,78.8,50.0
Missilebot,347.58,1.53,9.1,83.3,13.6,44.4,77.3,43.1
Value,347.58,0.00,9.1,83.3,13.6,44.4,77.3,43.1
Wasp,14.96,-0.40,12.1,50.0,12.1,37.5,75.8,48.0
Value,14.96,0.00,12.1,50.0,12.1,37.5,75.8,48.0
Hornet,182.74,0.33,6.1,0.0,18.2,50.0,75.8,50.0
Value,182.74,0.00,6.1,0.0,18.2,50.0,75.8,50.0
Knight,288.70,0.44,13.6,33.3,9.1,66.7,77.3,47.1
Value,288.70,0.00,13.6,33.3,9.1,66.7,77.3,47.1
Crossbow,246.10,-0.30,10.6,42.9,19.7,46.2,69.7,47.8
Value,246.10,0.00,10.6,42.9,19.7,46.2,69.7,47.8
Ballista,517.50,0.18,12.1,37.5,6.1,75.0,81.8,46.3
Value,517.50,0.00,12.1,37.5,6.1,75.0,81.8,46.3
King Crab,511.74,0.17,47.0,35.5,53.0,57.1,0.0,0.0
Value,511.74,0.00,47.0,35.5,53.0,57.1,0.0,0.0
Crusader,461.04,0.05,4.5,66.7,9.1,16.7,86.4,49.1
Value,461.04,0.00,4.5,66.7,9.1,16.7,86.4,49.1
Bomber,207.89,0.19,7.6,60.0,7.6,40.0,84.8,46.4
Value,207.89,0.00,7.6,60.0,7.6,40.0,84.8,46.4
Shocker,-1948.88,-5.45,4.5,33.3,0.0,0.0,95.5,47.6
Value,-1948.88,0.00,4.5,33.3,0.0,0.0,95.5,47.6
Recall Shocker,-4992.94,-12.41,3.0,0.0,0.0,0.0,97.0,48.4
Value,-4992.94,0.00,3.0,0.0,0.0,0.0,97.0,48.4
Mortar,482.35,0.10,7.6,20.0,10.6,42.9,81.8,50.0
Value,482.35,0.00,7.6,20.0,10.6,42.9,81.8,50.0
Swift Shocker,50.63,-0.88,7.6,40.0,4.5,66.7,87.9,46.6
Value,50.63,0.00,7.6,40.0,4.5,66.7,87.9,46.6
Heavy Hunter,654.46,0.50,3.0,50.0,4.5,0.0,92.4,49.2
Value,654.46,0.00,3.0,50.0,4.5,0.0,92.4,49.2
Destroyer,1679.94,2.84,4.5,33.3,4.5,33.3,90.9,48.3
Value,1679.94,0.00,4.5,33.3,4.5,33.3,90.9,48.3
Raider,-520.48,-2.19,4.5,0.0,6.1,100.0,89.4,45.8
Value,-520.48,0.00,4.5,0.0,6.1,100.0,89.4,45.8
Turret,488.29,1.17,7.6,40.0,3.0,100.0,89.4,45.8
Value,488.29,0.00,7.6,40.0,3.0,100.0,89.4,45.8
Heavy Ballista,1440.01,0.65,9.1,50.0,3.0,50.0,87.9,46.6
Value,1440.01,0.00,9.1,50.0,3.0,50.0,87.9,46.6
Predator,-92.13,-1.21,3.0,50.0,6.1,25.0,90.9,48.3
Value,-92.13,0.00,3.0,50.0,6.1,25.0,90.9,48.3
Sniper,926.89,1.12,3.0,50.0,6.1,0.0,90.9,50.0
Value,926.89,0.00,3.0,50.0,6.1,0.0,90.9,50.0
Advanced Blink,1314.67,6.51,6.1,50.0,4.5,66.7,89.4,45.8
Value,1314.67,0.00,6.1,50.0,4.5,66.7,89.4,45.8
Assaultbot,-48.24,-1.96,4.5,33.3,4.5,0.0,90.9,50.0
Value,-48.24,0.00,4.5,33.3,4.5,0.0,90.9,50.0
Behemoth,-3738.11,-15.95,0.0,0.0,3.0,0.0,97.0,48.4
Value,-3738.11,0.00,0.0,0.0,3.0,0.0,97.0,48.4
Gargantua,220.99,-0.75,3.0,0.0,1.5,100.0,95.5,47.6
Value,220.99,0.00,3.0,0.0,1.5,100.0,95.5,47.6
Butterfly,-47164.38,-108.80,3.0,50.0,1.5,100.0,95.5,46.0
Value,-47164.38,0.00,3.0,50.0,1.5,100.0,95.5,46.0
Dragonfly,1336.05,2.05,3.0,50.0,3.0,0.0,93.9,48.4
Value,1336.05,0.00,3.0,50.0,3.0,0.0,93.9,48.4
Falcon,458.87,0.05,4.5,66.7,6.1,50.0,89.4,45.8
Value,458.87,0.00,4.5,66.7,6.1,50.0,89.4,45.8
Airship,-9.97,-1.02,4.5,0.0,6.1,75.0,89.4,47.5
Value,-9.97,0.00,4.5,0.0,6.1,75.0,89.4,47.5
Advanced Recall,334.80,0.91,1.5,0.0,12.1,62.5,86.4,45.6
Value,334.80,0.00,1.5,0.0,12.1,62.5,86.4,45.6
Mammoth,1148.95,1.63,3.0,50.0,4.5,33.3,92.4,47.5
Value,1148.95,0.00,3.0,50.0,4.5,33.3,92.4,47.5
Stinger,-161.87,-1.37,1.5,100.0,4.5,0.0,93.9,48.4
Value,-161.87,0.00,1.5,100.0,4.5,0.0,93.9,48.4
Flak Turret,-50.23,-1.11,4.5,33.3,4.5,33.3,90.9,48.3
Value,-50.23,0.00,4.5,33.3,4.5,33.3,90.9,48.3
Bulwark,191811.19,218.21,1.5,100.0,3.0,0.0,95.5,47.6
Value,191811.19,0.00,1.5,100.0,3.0,0.0,95.5,47.6
Katbus,-186245.46,-213.85,0.0,0.0,3.0,0.0,97.0,48.4
Value,-186245.46,0.00,0.0,0.0,3.0,0.0,97.0,48.4
Locust,11839.75,66.66,1.5,0.0,1.5,0.0,97.0,48.4
Value,11839.75,0.00,1.5,0.0,1.5,0.0,97.0,48.4
Kraken,-414244.82,-40.45,1.5,100.0,0.0,0.0,98.5,46.2
Value,-414244.82,0.00,1.5,100.0,0.0,0.0,98.5,46.2
Valkyrie,281.01,-0.36,4.5,0.0,3.0,0.0,92.4,50.8
Value,281.01,0.00,4.5,0.0,3.0,0.0,92.4,50.8
Artillery,-19078.19,-44.61,0.0,0.0,1.5,0.0,98.5,47.7
Value,-19078.19,0.00,0.0,0.0,1.5,0.0,98.5,47.7
Advancedbot,19143.37,381.87,0.0,0.0,1.5,0.0,98.5,47.7
Value,19143.37,0.00,0.0,0.0,1.5,0.0,98.5,47.7
Advanced Destroyer,1306.13,1.99,3.0,0.0,4.5,0.0,92.4,50.8
Value,1306.13,0.00,3.0,0.0,4.5,0.0,92.4,50.8
Skill,0.05,0.05,60.6,52.5,39.4,38.5,0.0,0.0
