Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,-350.72,-350.72,,,,,,
Crab,8.17,-0.92,8.8,60.9,11.5,46.7,79.7,50.5
Value,8.17,0.00,8.8,60.9,11.5,46.7,79.7,50.5
Hunter,-15.84,-1.12,10.7,50.0,11.5,66.7,77.8,48.8
Value,-15.84,0.00,10.7,50.0,11.5,66.7,77.8,48.8
Recall,21.64,-0.78,6.5,52.9,10.0,30.8,83.5,53.2
Value,21.64,0.00,6.5,52.9,10.0,30.8,83.5,53.2
Recall Hunter,-34.01,-1.25,9.2,45.8,12.6,66.7,78.2,49.0
Value,-34.01,0.00,9.2,45.8,12.6,66.7,78.2,49.0
Scorpion,10.29,-0.79,11.9,67.7,15.3,37.5,72.8,51.1
Value,10.29,0.00,11.9,67.7,15.3,37.5,72.8,51.1
Beetle,-0.71,-1.01,10.7,53.6,9.2,58.3,80.1,49.8
Value,-0.71,0.00,10.7,53.6,9.2,58.3,80.1,49.8
Blink,-0.44,-1.00,13.0,44.1,10.7,28.6,76.2,55.3
Value,-0.44,0.00,13.0,44.1,10.7,28.6,76.2,55.3
Blink Hunter,-13.38,-1.10,9.6,32.0,10.0,50.0,80.5,53.3
Value,-13.38,0.00,9.6,32.0,10.0,50.0,80.5,53.3
Gunbot,13.87,-0.72,8.8,65.2,11.1,37.9,80.1,51.2
Value,13.87,0.00,8.8,65.2,11.1,37.9,80.1,51.2
Missilebot,-30.02,-1.22,12.6,39.4,10.0,65.4,77.4,51.0
Value,-30.02,0.00,12.6,39.4,10.0,65.4,77.4,51.0
Wasp,8.88,-0.64,13.8,63.9,9.2,29.2,77.0,51.2
Value,8.88,0.00,13.8,63.9,9.2,29.2,77.0,51.2
Hornet,-64.72,-1.47,10.7,28.6,11.5,63.3,77.8,52.2
Value,-64.72,0.00,10.7,28.6,11.5,63.3,77.8,52.2
Knight,-50.82,-1.25,52.1,49.3,47.9,52.8,0.0,0.0
Value,-50.82,0.00,52.1,49.3,47.9,52.8,0.0,0.0
Crossbow,-159.28,-1.46,10.0,53.8,12.6,72.7,77.4,47.0
Value,-159.28,0.00,10.0,53.8,12.6,72.7,77.4,47.0
Ballista,-77.56,-1.18,1.9,60.0,2.7,42.9,95.4,51.0
Value,-77.56,0.00,1.9,60.0,2.7,42.9,95.4,51.0
King Crab,118.64,-0.73,2.7,42.9,3.1,50.0,94.3,51.2
Value,118.64,0.00,2.7,42.9,3.1,50.0,94.3,51.2
Crusader,-155.22,-1.35,3.1,37.5,3.1,75.0,93.9,50.6
Value,-155.22,0.00,3.1,37.5,3.1,75.0,93.9,50.6
Bomber,121.84,-0.30,2.7,71.4,2.3,66.7,95.0,50.0
Value,121.84,0.00,2.7,71.4,2.3,66.7,95.0,50.0
Shocker,106.02,-0.76,1.1,33.3,4.2,63.6,94.6,50.6
Value,106.02,0.00,1.1,33.3,4.2,63.6,94.6,50.6
Recall Shocker,-356.05,-1.81,1.1,66.7,1.9,80.0,96.9,50.2
Value,-356.05,0.00,1.1,66.7,1.9,80.0,96.9,50.2
Mortar,-61.53,-1.14,2.3,66.7,2.7,57.1,95.0,50.4
Value,-61.53,0.00,2.3,66.7,2.7,57.1,95.0,50.4
Swift Shocker,-344.46,-1.79,3.1,62.5,3.4,88.9,93.5,49.2
Value,-344.46,0.00,3.1,62.5,3.4,88.9,93.5,49.2
Heavy Hunter,-398.99,-1.91,2.7,71.4,4.6,58.3,92.7,50.0
Value,-398.99,0.00,2.7,71.4,4.6,58.3,92.7,50.0
Destroyer,-18.02,-1.04,0.8,50.0,3.8,50.0,95.4,51.0
Value,-18.02,0.00,0.8,50.0,3.8,50.0,95.4,51.0
Raider,-751.66,-2.72,2.7,14.3,3.1,75.0,94.3,51.2
Value,-751.66,0.00,2.7,14.3,3.1,75.0,94.3,51.2
Turret,-48.74,-1.22,3.4,44.4,2.3,50.0,94.3,51.2
Value,-48.74,0.00,3.4,44.4,2.3,50.0,94.3,51.2
Heavy Ballista,-646.28,-1.74,2.3,66.7,0.8,100.0,96.9,50.2
Value,-646.28,0.00,2.3,66.7,0.8,100.0,96.9,50.2
Predator,-410.08,-1.94,1.9,0.0,3.1,62.5,95.0,51.6
Value,-410.08,0.00,1.9,0.0,3.1,62.5,95.0,51.6
Sniper,-198.73,-1.45,0.8,50.0,1.1,33.3,98.1,51.2
Value,-198.73,0.00,0.8,50.0,1.1,33.3,98.1,51.2
Advanced Blink,79.11,-0.55,0.4,100.0,1.9,40.0,97.7,51.0
Value,79.11,0.00,0.4,100.0,1.9,40.0,97.7,51.0
Assaultbot,38.21,-0.24,2.3,66.7,2.3,50.0,95.4,50.6
Value,38.21,0.00,2.3,66.7,2.3,50.0,95.4,50.6
Behemoth,-335.29,-2.34,1.5,50.0,0.8,0.0,97.7,51.4
Value,-335.29,0.00,1.5,50.0,0.8,0.0,97.7,51.4
