Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,-89.66,-89.66,,,,,,
Crab,63.03,-0.37,13.2,53.1,13.2,50.6,73.6,48.2
Value,63.03,0.00,13.2,53.1,13.2,50.6,73.6,48.2
Hunter,36.48,-0.73,13.7,45.7,12.0,53.2,74.2,49.2
Value,36.48,0.00,13.7,45.7,12.0,53.2,74.2,49.2
Recall,-4.75,-1.05,13.8,39.6,12.9,56.0,73.3,49.8
Value,-4.75,0.00,13.8,39.6,12.9,56.0,73.3,49.8
Recall Hunter,57.92,-0.58,12.3,51.0,14.3,48.0,73.4,49.1
Value,57.92,0.00,12.3,51.0,14.3,48.0,73.4,49.1
Scorpion,32.56,-0.35,13.6,50.5,13.7,47.0,72.6,49.3
Value,32.56,0.00,13.6,50.5,13.7,47.0,72.6,49.3
Beetle,148.51,0.08,12.0,58.1,13.2,39.4,74.8,49.4
Value,148.51,0.00,12.0,58.1,13.2,39.4,74.8,49.4
Blink,3.39,-0.97,12.4,44.1,13.2,57.3,74.4,48.6
Value,3.39,0.00,12.4,44.1,13.2,57.3,74.4,48.6
Blink Hunter,69.34,-0.50,14.1,46.1,13.6,50.2,72.3,49.6
Value,69.34,0.00,14.1,46.1,13.6,50.2,72.3,49.6
Gunbot,-4.22,-1.08,12.9,46.0,13.7,57.3,73.4,48.2
Value,-4.22,0.00,12.9,46.0,13.7,57.3,73.4,48.2
Missilebot,71.66,-0.48,13.5,49.4,13.1,45.6,73.4,49.8
Value,71.66,0.00,13.5,49.4,13.1,45.6,73.4,49.8
Wasp,10.15,-0.59,12.9,42.7,13.0,51.6,74.1,49.8
Value,10.15,0.00,12.9,42.7,13.0,51.6,74.1,49.8
Hornet,114.31,-0.17,13.2,50.1,12.4,48.7,74.4,49.1
Value,114.31,0.00,13.2,50.1,12.4,48.7,74.4,49.1
Knight,-22.95,-1.11,13.3,39.4,13.4,55.1,73.4,49.8
Value,-22.95,0.00,13.3,39.4,13.4,55.1,73.4,49.8
Crossbow,160.40,-0.54,13.7,55.0,13.2,47.6,73.0,48.3
Value,160.40,0.00,13.7,55.0,13.2,47.6,73.0,48.3
Ballista,-66.91,-1.15,3.5,30.7,3.4,65.9,93.1,49.2
Value,-66.91,0.00,3.5,30.7,3.4,65.9,93.1,49.2
King Crab,28.62,-0.93,3.3,30.8,4.0,58.8,92.8,49.4
Value,28.62,0.00,3.3,30.8,4.0,58.8,92.8,49.4
Crusader,187.33,-0.57,3.9,37.2,3.5,60.8,92.6,49.2
Value,187.33,0.00,3.9,37.2,3.5,60.8,92.6,49.2
Bomber,18.98,-0.89,3.5,37.1,3.4,55.1,93.1,49.4
Value,18.98,0.00,3.5,37.1,3.4,55.1,93.1,49.4
Shocker,-22.19,-1.05,3.8,27.6,3.6,66.7,92.6,49.3
Value,-22.19,0.00,3.8,27.6,3.6,66.7,92.6,49.3
Recall Shocker,-86.16,-1.20,3.4,34.3,3.6,65.1,93.0,49.1
Value,-86.16,0.00,3.4,34.3,3.6,65.1,93.0,49.1
Mortar,-69.96,-1.16,3.7,35.1,3.6,64.1,92.8,49.1
Value,-69.96,0.00,3.7,35.1,3.6,64.1,92.8,49.1
Swift Shocker,-72.71,-1.17,3.4,35.5,3.3,66.2,93.3,49.1
Value,-72.71,0.00,3.4,35.5,3.3,66.2,93.3,49.1
Heavy Hunter,513.27,0.17,7.3,66.0,7.1,34.9,85.6,48.9
Value,513.27,0.00,7.3,66.0,7.1,34.9,85.6,48.9
Destroyer,-53.57,-1.12,3.7,31.3,3.6,59.0,92.7,49.5
Value,-53.57,0.00,3.7,31.3,3.6,59.0,92.7,49.5
Raider,-98.08,-1.22,3.3,34.1,3.7,67.1,93.0,49.0
Value,-98.08,0.00,3.3,34.1,3.7,67.1,93.0,49.0
