Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,-76.76,-76.76,,,,,,
Crab,50.96,-0.49,12.9,50.2,12.5,47.0,74.6,49.8
Value,50.96,0.00,12.9,50.2,12.5,47.0,74.6,49.8
Hunter,56.25,-0.59,14.1,50.5,13.2,50.8,72.7,49.0
Value,56.25,0.00,14.1,50.5,13.2,50.8,72.7,49.0
Recall,26.34,-0.74,13.6,48.3,13.9,52.9,72.5,49.0
Value,26.34,0.00,13.6,48.3,13.9,52.9,72.5,49.0
Recall Hunter,71.08,-0.48,12.4,56.3,13.3,44.1,74.3,49.3
Value,71.08,0.00,12.4,56.3,13.3,44.1,74.3,49.3
Scorpion,40.41,-0.19,13.3,51.5,12.6,41.0,74.0,50.6
Value,40.41,0.00,13.3,51.5,12.6,41.0,74.0,50.6
Beetle,87.08,-0.37,12.8,55.6,13.0,44.3,74.2,49.3
Value,87.08,0.00,12.8,55.6,13.0,44.3,74.2,49.3
Blink,17.04,-0.83,12.7,43.0,13.1,52.4,74.3,50.1
Value,17.04,0.00,12.7,43.0,13.1,52.4,74.3,50.1
Blink Hunter,68.81,-0.50,13.6,50.5,13.0,48.6,73.4,49.4
Value,68.81,0.00,13.6,50.5,13.0,48.6,73.4,49.4
Gunbot,8.60,-0.83,13.3,45.0,13.1,58.3,73.6,48.7
Value,8.60,0.00,13.3,45.0,13.1,58.3,73.6,48.7
Missilebot,67.51,-0.51,14.6,52.9,13.6,44.8,71.8,49.7
Value,67.51,0.00,14.6,52.9,13.6,44.8,71.8,49.7
Wasp,8.01,-0.68,12.8,46.3,13.6,54.8,73.6,49.0
Value,8.01,0.00,12.8,46.3,13.6,54.8,73.6,49.0
Hornet,58.87,-0.57,13.3,51.9,13.7,49.7,73.0,49.0
Value,58.87,0.00,13.3,51.9,13.7,49.7,73.0,49.0
Knight,8.55,-0.96,13.2,41.7,13.7,53.6,73.1,50.1
Value,8.55,0.00,13.2,41.7,13.7,53.6,73.1,50.1
Crossbow,39.27,-0.89,12.3,45.6,12.8,53.4,74.9,49.5
Value,39.27,0.00,12.3,45.6,12.8,53.4,74.9,49.5
Ballista,-72.87,-1.17,3.5,43.5,3.5,58.4,93.0,49.4
Value,-72.87,0.00,3.5,43.5,3.5,58.4,93.0,49.4
King Crab,111.81,-0.74,3.0,46.2,3.3,50.4,93.7,49.6
Value,111.81,0.00,3.0,46.2,3.3,50.4,93.7,49.6
Crusader,322.62,-0.26,3.6,47.2,3.8,45.7,92.5,49.7
Value,322.62,0.00,3.6,47.2,3.8,45.7,92.5,49.7
Bomber,65.41,-0.63,3.3,45.0,3.2,41.9,93.5,49.9
Value,65.41,0.00,3.3,45.0,3.2,41.9,93.5,49.9
Shocker,12.59,-0.97,3.8,40.4,3.7,56.2,92.4,49.6
Value,12.59,0.00,3.8,40.4,3.7,56.2,92.4,49.6
Recall Shocker,-70.18,-1.16,3.4,39.8,2.9,56.1,93.7,49.6
Value,-70.18,0.00,3.4,39.8,2.9,56.1,93.7,49.6
Mortar,196.49,-0.55,3.1,51.2,3.7,49.7,93.1,49.4
Value,196.49,0.00,3.1,51.2,3.7,49.7,93.1,49.4
Swift Shocker,-51.95,-1.12,3.6,35.9,3.3,57.4,93.1,49.7
Value,-51.95,0.00,3.6,35.9,3.3,57.4,93.1,49.7
Heavy Hunter,172.92,-0.60,7.7,53.6,7.8,45.1,84.5,49.5
Value,172.92,0.00,7.7,53.6,7.8,45.1,84.5,49.5
Destroyer,58.64,-0.87,2.9,44.2,3.2,54.3,93.9,49.5
Value,58.64,0.00,2.9,44.2,3.2,54.3,93.9,49.5
Raider,-263.04,-1.60,3.7,32.2,3.4,64.2,92.9,49.6
Value,-263.04,0.00,3.7,32.2,3.4,64.2,92.9,49.6
Turret,10.17,-0.95,4.0,46.5,3.3,56.5,92.7,49.4
Value,10.17,0.00,4.0,46.5,3.3,56.5,92.7,49.4
Heavy Ballista,173.96,-0.80,4.4,43.7,4.4,54.7,91.2,49.5
Value,173.96,0.00,4.4,43.7,4.4,54.7,91.2,49.5
Predator,16.24,-0.96,4.7,38.7,4.2,52.4,91.1,49.9
Value,16.24,0.00,4.7,38.7,4.2,52.4,91.1,49.9
Sniper,157.80,-0.64,4.1,48.8,4.0,46.5,91.8,49.6
Value,157.80,0.00,4.1,48.8,4.0,46.5,91.8,49.6
Advanced Blink,249.16,0.42,4.8,61.4,4.3,27.8,90.9,49.9
Value,249.16,0.00,4.8,61.4,4.3,27.8,90.9,49.9
Assaultbot,36.22,-0.28,4.3,52.4,4.3,49.4,91.4,49.3
Value,36.22,0.00,4.3,52.4,4.3,49.4,91.4,49.3
Behemoth,259.12,0.04,4.4,52.6,4.1,48.4,91.6,49.4
Value,259.12,0.00,4.4,52.6,4.1,48.4,91.6,49.4
Gargantua,795.43,-0.09,4.4,52.6,4.4,40.7,91.2,49.7
Value,795.43,0.00,4.4,52.6,4.4,40.7,91.2,49.7
Butterfly,-82.37,-1.19,7.5,41.6,6.9,57.4,85.6,49.5
Value,-82.37,0.00,7.5,41.6,6.9,57.4,85.6,49.5
Dragonfly,170.27,-0.61,7.7,55.1,7.3,47.2,85.0,49.2
Value,170.27,0.00,7.7,55.1,7.3,47.2,85.0,49.2
Falcon,118.78,-0.73,7.5,52.4,7.8,45.6,84.8,49.6
Value,118.78,0.00,7.5,52.4,7.8,45.6,84.8,49.6
Airship,201.59,-0.54,6.4,52.6,7.3,46.3,86.3,49.5
Value,201.59,0.00,6.4,52.6,7.3,46.3,86.3,49.5
Advanced Recall,58.48,-0.67,8.0,49.1,6.8,46.6,85.1,49.7
Value,58.48,0.00,8.0,49.1,6.8,46.6,85.1,49.7
Mammoth,210.38,-0.52,7.1,55.7,7.9,49.5,85.0,49.0
Value,210.38,0.00,7.1,55.7,7.9,49.5,85.0,49.0
Stinger,-113.10,-1.26,7.0,36.6,7.6,57.6,85.4,49.8
Value,-113.10,0.00,7.0,36.6,7.6,57.6,85.4,49.8
Flak Turret,46.57,-0.90,8.2,50.2,7.8,46.6,84.0,49.7
Value,46.57,0.00,8.2,50.2,7.8,46.6,84.0,49.7
Bulwark,535.26,-0.39,6.9,52.4,6.8,45.1,86.3,49.6
Value,535.26,0.00,6.9,52.4,6.8,45.1,86.3,49.6
Katbus,643.07,-0.27,6.8,57.5,6.3,48.2,86.8,48.9
Value,643.07,0.00,6.8,57.5,6.3,48.2,86.8,48.9
Locust,64.62,-0.63,50.8,53.2,49.2,45.7,0.0,0.0
Value,64.62,0.00,50.8,53.2,49.2,45.7,0.0,0.0
Kraken,9771.69,-0.07,6.6,73.0,6.9,28.9,86.5,49.3
Value,9771.69,0.00,6.6,73.0,6.9,28.9,86.5,49.3
Valkyrie,337.51,-0.23,6.8,52.8,6.2,44.9,87.0,49.5
Value,337.51,0.00,6.8,52.8,6.2,44.9,87.0,49.5
Artillery,94.98,-0.78,5.9,46.4,6.6,56.9,87.5,49.1
Value,94.98,0.00,5.9,46.4,6.6,56.9,87.5,49.1
Advancedbot,76.19,0.52,7.1,66.3,6.6,37.3,86.3,49.0
Value,76.19,0.00,7.1,66.3,6.6,37.3,86.3,49.0
Advanced Destroyer,298.61,-0.32,6.7,51.0,6.5,44.3,86.8,49.8
Value,298.61,0.00,6.7,51.0,6.5,44.3,86.8,49.8
Skill,-0.03,-0.03,48.9,48.8,51.1,50.1,0.0,0.0
