Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,13.72,13.72,,,,,,
Crab,61.47,-0.39,13.0,53.9,12.9,45.9,74.1,48.8
Value,61.47,0.00,13.0,53.9,12.9,45.9,74.1,48.8
Hunter,24.49,-0.82,14.1,45.4,13.4,54.4,72.5,48.9
Value,24.49,0.00,14.1,45.4,13.4,54.4,72.5,48.9
Recall,53.31,-0.47,13.3,51.9,13.7,45.2,73.0,49.3
Value,53.31,0.00,13.3,51.9,13.7,45.2,73.0,49.3
Recall Hunter,49.81,-0.64,13.3,50.7,12.8,49.1,73.8,48.8
Value,49.81,0.00,13.3,50.7,12.8,49.1,73.8,48.8
Scorpion,42.14,-0.16,12.7,57.3,13.7,40.7,73.6,49.3
Value,42.14,0.00,12.7,57.3,13.7,40.7,73.6,49.3
Beetle,50.87,-0.63,13.2,49.3,13.5,46.8,73.4,49.5
Value,50.87,0.00,13.2,49.3,13.5,46.8,73.4,49.5
Blink,48.80,-0.51,13.7,48.4,12.8,44.2,73.5,50.1
Value,48.80,0.00,13.7,48.4,12.8,44.2,73.5,50.1
Blink Hunter,42.21,-0.69,12.9,50.0,12.9,50.9,74.1,48.7
Value,42.21,0.00,12.9,50.0,12.9,50.9,74.1,48.7
Gunbot,30.22,-0.40,12.5,51.9,13.5,44.8,73.9,49.4
Value,30.22,0.00,12.5,51.9,13.5,44.8,73.9,49.4
Missilebot,43.52,-0.68,13.3,49.5,13.6,48.8,73.2,49.1
Value,43.52,0.00,13.3,49.5,13.6,48.8,73.2,49.1
Wasp,12.88,-0.48,13.6,49.2,13.2,48.8,73.2,49.2
Value,12.88,0.00,13.6,49.2,13.2,48.8,73.2,49.2
Hornet,26.02,-0.81,13.1,44.9,13.3,54.3,73.6,48.9
Value,26.02,0.00,13.1,44.9,13.3,54.3,73.6,48.9
Knight,14.47,-0.93,12.9,44.7,12.8,55.2,74.3,48.8
Value,14.47,0.00,12.9,44.7,12.8,55.2,74.3,48.8
Crossbow,-62.12,-1.18,13.6,37.3,13.1,61.2,73.2,49.2
Value,-62.12,0.00,13.6,37.3,13.1,61.2,73.2,49.2
Ballista,-3.36,-1.01,4.1,39.1,4.1,59.3,91.8,49.1
Value,-3.36,0.00,4.1,39.1,4.1,59.3,91.8,49.1
King Crab,98.77,-0.77,4.2,45.7,4.1,60.0,91.7,48.8
Value,98.77,0.00,4.2,45.7,4.1,60.0,91.7,48.8
Crusader,316.31,-0.28,3.9,47.9,4.0,48.6,92.1,49.2
Value,316.31,0.00,3.9,47.9,4.0,48.6,92.1,49.2
Bomber,85.91,-0.51,4.1,51.2,4.0,41.5,92.0,49.4
Value,85.91,0.00,4.1,51.2,4.0,41.5,92.0,49.4
Shocker,122.09,-0.72,4.0,41.8,3.7,55.2,92.3,49.2
Value,122.09,0.00,4.0,41.8,3.7,55.2,92.3,49.2
Recall Shocker,-82.99,-1.19,3.9,38.2,4.0,63.0,92.1,49.0
Value,-82.99,0.00,3.9,38.2,4.0,63.0,92.1,49.0
Mortar,247.62,-0.43,3.9,54.5,4.0,54.3,92.1,48.7
Value,247.62,0.00,3.9,54.5,4.0,54.3,92.1,48.7
Swift Shocker,-48.22,-1.11,4.1,37.2,3.6,61.5,92.2,49.2
Value,-48.22,0.00,4.1,37.2,3.6,61.5,92.2,49.2
Heavy Hunter,-21.16,-1.05,6.9,43.4,6.7,53.9,86.4,49.2
Value,-21.16,0.00,6.9,43.4,6.7,53.9,86.4,49.2
Destroyer,272.97,-0.38,4.0,46.2,3.8,48.6,92.1,49.3
Value,272.97,0.00,4.0,46.2,3.8,48.6,92.1,49.3
Raider,-275.67,-1.63,4.0,31.2,4.1,69.5,91.8,49.0
Value,-275.67,0.00,4.0,31.2,4.1,69.5,91.8,49.0
Turret,19.43,-0.91,4.1,42.2,4.3,57.1,91.6,49.1
Value,19.43,0.00,4.1,42.2,4.3,57.1,91.6,49.1
Heavy Ballista,160.02,-0.82,2.4,40.8,2.5,54.6,95.1,49.2
Value,160.02,0.00,2.4,40.8,2.5,54.6,95.1,49.2
Predator,-126.30,-1.29,2.2,32.8,2.5,55.3,95.2,49.3
Value,-126.30,0.00,2.2,32.8,2.5,55.3,95.2,49.3
Sniper,303.43,-0.31,2.2,56.0,2.4,47.0,95.4,49.0
Value,303.43,0.00,2.2,56.0,2.4,47.0,95.4,49.0
Advanced Blink,216.95,0.24,2.3,53.1,2.8,42.9,94.9,49.2
Value,216.95,0.00,2.3,53.1,2.8,42.9,94.9,49.2
Assaultbot,80.52,0.61,2.3,60.4,2.2,38.0,95.5,49.1
Value,80.52,0.00,2.3,60.4,2.2,38.0,95.5,49.1
Behemoth,258.02,0.03,2.1,50.0,2.3,46.4,95.6,49.2
Value,258.02,0.00,2.1,50.0,2.3,46.4,95.6,49.2
Gargantua,1101.66,0.26,2.3,60.3,2.2,38.8,95.5,49.1
