Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,-172.13,-172.13,,,,,,
Crab,89.03,-0.11,8.9,60.9,8.6,36.4,82.5,48.6
Value,89.03,0.00,8.9,60.9,8.6,36.4,82.5,48.6
Hunter,15.39,-0.89,11.7,50.0,9.7,68.0,78.6,46.0
Value,15.39,0.00,11.7,50.0,9.7,68.0,78.6,46.0
Recall,41.16,-0.59,8.9,56.5,11.3,44.8,79.8,48.3
Value,41.16,0.00,8.9,56.5,11.3,44.8,79.8,48.3
Recall Hunter,45.25,-0.67,10.5,37.0,10.5,37.0,79.0,51.7
Value,45.25,0.00,10.5,37.0,10.5,37.0,79.0,51.7
Scorpion,43.67,-0.13,8.6,63.6,14.4,32.4,77.0,50.0
Value,43.67,0.00,8.6,63.6,14.4,32.4,77.0,50.0
Beetle,83.29,-0.39,15.2,46.2,9.3,45.8,75.5,49.5
Value,83.29,0.00,15.2,46.2,9.3,45.8,75.5,49.5
Blink,98.60,-0.01,10.1,53.8,11.7,30.0,78.2,50.7
Value,98.60,0.00,10.1,53.8,11.7,30.0,78.2,50.7
Blink Hunter,47.21,-0.66,7.4,21.1,14.4,48.6,78.2,51.2
Value,47.21,0.00,7.4,21.1,14.4,48.6,78.2,51.2
Gunbot,15.57,-0.69,8.9,60.9,10.1,50.0,80.9,47.1
Value,15.57,0.00,8.9,60.9,10.1,50.0,80.9,47.1
Missilebot,35.92,-0.74,51.4,41.7,48.6,56.0,0.0,0.0
Value,35.92,0.00,51.4,41.7,48.6,56.0,0.0,0.0
Wasp,25.08,0.00,12.5,68.8,10.1,38.5,77.4,46.7
Value,25.08,0.00,12.5,68.8,10.1,38.5,77.4,46.7
Hornet,8.41,-0.94,10.5,51.9,8.9,56.5,80.5,47.3
Value,8.41,0.00,10.5,51.9,8.9,56.5,80.5,47.3
Knight,51.78,-0.74,12.1,51.6,10.9,50.0,77.0,48.0
Value,51.78,0.00,12.1,51.6,10.9,50.0,77.0,48.0
Crossbow,56.57,-0.84,8.9,47.8,9.3,66.7,81.7,46.7
Value,56.57,0.00,8.9,47.8,9.3,66.7,81.7,46.7
Ballista,387.90,-0.11,3.1,25.0,1.6,0.0,95.3,50.2
Value,387.90,0.00,3.1,25.0,1.6,0.0,95.3,50.2
King Crab,-240.90,-1.55,2.7,42.9,3.1,75.0,94.2,47.9
Value,-240.90,0.00,2.7,42.9,3.1,75.0,94.2,47.9
Crusader,-33.10,-1.08,3.5,77.8,4.3,81.8,92.2,46.0
Value,-33.10,0.00,3.5,77.8,4.3,81.8,92.2,46.0
Bomber,174.28,-0.00,1.9,60.0,2.7,14.3,95.3,49.4
Value,174.28,0.00,1.9,60.0,2.7,14.3,95.3,49.4
Shocker,514.00,0.17,1.6,50.0,4.7,66.7,93.8,47.7
Value,514.00,0.00,1.6,50.0,4.7,66.7,93.8,47.7
Recall Shocker,-70.90,-1.16,2.3,50.0,2.7,42.9,94.9,48.8
Value,-70.90,0.00,2.3,50.0,2.7,42.9,94.9,48.8
Mortar,349.94,-0.20,1.6,50.0,2.3,50.0,96.1,48.6
Value,349.94,0.00,1.6,50.0,2.3,50.0,96.1,48.6
Swift Shocker,70.21,-0.84,3.5,33.3,2.7,42.9,93.8,49.4
Value,70.21,0.00,3.5,33.3,2.7,42.9,93.8,49.4
Heavy Hunter,-178.46,-1.41,3.9,60.0,2.3,50.0,93.8,48.1
Value,-178.46,0.00,3.9,60.0,2.3,50.0,93.8,48.1
Destroyer,580.75,0.33,2.7,14.3,2.7,14.3,94.6,50.6
Value,580.75,0.00,2.7,14.3,2.7,14.3,94.6,50.6
Raider,-225.91,-1.52,3.9,20.0,1.6,75.0,94.6,49.4
Value,-225.91,0.00,3.9,20.0,1.6,75.0,94.6,49.4
Turret,152.22,-0.32,5.1,46.2,2.3,33.3,92.6,49.2
Value,152.22,0.00,5.1,46.2,2.3,33.3,92.6,49.2
Heavy Ballista,533.64,-0.39,3.5,44.4,1.2,66.7,95.3,48.6
Value,533.64,0.00,3.5,44.4,1.2,66.7,95.3,48.6
Predator,-213.20,-1.49,3.1,25.0,1.6,50.0,95.3,49.4
Value,-213.20,0.00,3.1,25.0,1.6,50.0,95.3,49.4
Sniper,354.97,-0.19,1.2,0.0,0.4,0.0,98.4,49.4
Value,354.97,0.00,1.2,0.0,0.4,0.0,98.4,49.4
Advanced Blink,-157.18,-1.90,1.9,40.0,1.6,75.0,96.5,48.4
Value,-157.18,0.00,1.9,40.0,1.6,75.0,96.5,48.4
Assaultbot,85.57,0.71,1.6,75.0,3.1,25.0,95.3,49.0
Value,85.57,0.00,1.6,75.0,3.1,25.0,95.3,49.0
Behemoth,363.54,0.45,1.6,75.0,1.9,40.0,96.5,48.4
Value,363.54,0.00,1.6,75.0,1.9,40.0,96.5,48.4
