Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,159.23,159.23,,,,,,
Crab,3.09,-0.97,12.8,52.4,13.1,46.6,74.1,51.1
Value,3.09,0.00,12.8,52.4,13.1,46.6,74.1,51.1
Hunter,-49.90,-1.36,13.3,48.3,13.0,56.6,73.6,50.0
Value,-49.90,0.00,13.3,48.3,13.0,56.6,73.6,50.0
Recall,-3.38,-1.03,13.2,54.4,13.3,45.9,73.5,50.8
Value,-3.38,0.00,13.2,54.4,13.3,45.9,73.5,50.8
Recall Hunter,-37.89,-1.28,13.7,52.4,13.5,50.9,72.9,50.3
Value,-37.89,0.00,13.7,52.4,13.5,50.9,72.9,50.3
Scorpion,6.10,-0.88,14.4,56.3,13.0,43.8,72.7,50.8
Value,6.10,0.00,14.4,56.3,13.0,43.8,72.7,50.8
Beetle,-23.51,-1.17,13.0,51.9,13.1,51.0,73.9,50.3
Value,-23.51,0.00,13.0,51.9,13.1,51.0,73.9,50.3
Blink,-4.42,-1.04,12.8,52.8,13.6,46.8,73.6,51.0
Value,-4.42,0.00,12.8,52.8,13.6,46.8,73.6,51.0
Blink Hunter,-41.09,-1.30,13.0,46.6,13.9,52.0,73.1,51.1
Value,-41.09,0.00,13.0,46.6,13.9,52.0,73.1,51.1
Gunbot,-0.27,-1.01,13.2,57.6,12.8,46.2,74.0,50.2
Value,-0.27,0.00,13.2,57.6,12.8,46.2,74.0,50.2
Missilebot,-24.18,-1.18,13.4,51.5,12.8,48.7,73.8,50.8
Value,-24.18,0.00,13.4,51.5,12.8,48.7,73.8,50.8
Wasp,-1.80,-1.07,12.7,48.1,13.5,51.3,73.8,51.0
Value,-1.80,0.00,12.7,48.1,13.5,51.3,73.8,51.0
Hornet,-55.80,-1.41,14.0,46.7,13.6,56.8,72.4,50.3
Value,-55.80,0.00,14.0,46.7,13.6,56.8,72.4,50.3
Knight,-68.57,-1.34,12.5,46.8,12.5,53.1,75.0,50.9
Value,-68.57,0.00,12.5,46.8,12.5,53.1,75.0,50.9
Crossbow,-181.41,-1.52,13.4,41.9,13.5,58.8,73.1,50.7
Value,-181.41,0.00,13.4,41.9,13.5,58.8,73.1,50.7
Ballista,-250.30,-1.57,5.5,46.6,5.7,55.6,88.9,50.6
Value,-250.30,0.00,5.5,46.6,5.7,55.6,88.9,50.6
King Crab,-153.49,-1.35,5.9,47.9,5.7,56.1,88.5,50.5
Value,-153.49,0.00,5.9,47.9,5.7,56.1,88.5,50.5
Crusader,155.17,-0.65,4.8,59.6,5.2,41.5,90.0,50.7
Value,155.17,0.00,4.8,59.6,5.2,41.5,90.0,50.7
Bomber,-32.88,-1.19,5.5,55.3,5.5,46.0,89.1,50.6
Value,-32.88,0.00,5.5,55.3,5.5,46.0,89.1,50.6
Shocker,-160.09,-1.37,5.6,49.6,5.6,60.5,88.9,50.1
Value,-160.09,0.00,5.6,49.6,5.6,60.5,88.9,50.1
Recall Shocker,-129.57,-1.30,6.0,45.1,5.6,53.3,88.4,50.9
Value,-129.57,0.00,6.0,45.1,5.6,53.3,88.4,50.9
Mortar,12.33,-0.97,50.1,53.7,49.9,47.6,0.0,0.0
Value,12.33,0.00,50.1,53.7,49.9,47.6,0.0,0.0
Swift Shocker,-278.90,-1.64,5.9,38.9,5.7,56.2,88.4,51.1
Value,-278.90,0.00,5.9,38.9,5.7,56.2,88.4,51.1
Heavy Hunter,-228.30,-1.52,5.1,50.3,4.9,52.7,90.0,50.5
Value,-228.30,0.00,5.1,50.3,4.9,52.7,90.0,50.5
Destroyer,48.94,-0.89,5.4,51.5,5.0,44.0,89.6,51.0
Value,48.94,0.00,5.4,51.5,5.0,44.0,89.6,51.0
Raider,-406.68,-1.93,5.9,32.8,5.5,65.3,88.6,50.9
Value,-406.68,0.00,5.9,32.8,5.5,65.3,88.6,50.9
Turret,-85.10,-1.38,5.5,49.1,5.7,49.7,88.8,50.8
Value,-85.10,0.00,5.5,49.1,5.7,49.7,88.8,50.8
Heavy Ballista,-271.99,-1.31,4.3,48.8,4.0,51.5,91.7,50.7
Value,-271.99,0.00,4.3,48.8,4.0,51.5,91.7,50.7
Predator,-318.66,-1.73,3.9,41.8,4.3,58.3,91.9,50.7
Value,-318.66,0.00,3.9,41.8,4.3,58.3,91.9,50.7
Sniper,148.70,-0.66,4.0,58.7,4.5,38.9,91.5,50.9
Value,148.70,0.00,4.0,58.7,4.5,38.9,91.5,50.9
Advanced Blink,89.38,-0.49,4.6,63.8,3.7,36.4,91.7,50.6
Value,89.38,0.00,4.6,63.8,3.7,36.4,91.7,50.6
Assaultbot,25.08,-0.50,4.0,66.8,3.9,38.2,92.0,50.5
Value,25.08,0.00,4.0,66.8,3.9,38.2,92.0,50.5
Behemoth,135.95,-0.46,4.1,65.0,4.0,39.6,91.8,50.5
Value,135.95,0.00,4.1,65.0,4.0,39.6,91.8,50.5
Gargantua,747.21,-0.15,4.0,66.8,4.0,34.7,92.0,50.6
Value,747.21,0.00,4.0,66.8,4.0,34.7,92.0,50.6
Butterfly,-233.69,-1.53,5.4,50.8,5.3,53.2,89.3,50.5
Value,-233.69,0.00,5.4,50.8,5.3,53.2,89.3,50.5
Dragonfly,-55.30,-1.13,5.4,55.0,5.1,43.9,89.5,50.8
Value,-55.30,0.00,5.4,55.0,5.1,43.9,89.5,50.8
Falcon,161.67,-0.63,4.6,61.8,4.9,35.5,90.5,50.9
Value,161.67,0.00,4.6,61.8,4.9,35.5,90.5,50.9
Airship,-99.29,-1.23,4.8,52.8,5.0,46.0,90.3,50.8
Value,-99.29,0.00,4.8,52.8,5.0,46.0,90.3,50.8
Advanced Recall,14.13,-0.92,4.8,49.7,5.0,43.2,90.2,51.1
Value,14.13,0.00,4.8,49.7,5.0,43.2,90.2,51.1
Mammoth,78.52,-0.82,5.2,60.3,4.5,47.5,90.3,50.2
Value,78.52,0.00,5.2,60.3,4.5,47.5,90.3,50.2
Stinger,-301.96,-1.69,5.1,41.2,4.9,58.3,90.0,50.8
Value,-301.96,0.00,5.1,41.2,4.9,58.3,90.0,50.8
