Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,-67.94,-67.94,,,,,,
Crab,87.21,-0.13,13.2,55.7,13.0,44.2,73.9,48.8
Value,87.21,0.00,13.2,55.7,13.0,44.2,73.9,48.8
Hunter,52.91,-0.62,14.2,45.0,13.4,54.2,72.4,49.0
Value,52.91,0.00,14.2,45.0,13.4,54.2,72.4,49.0
Recall,83.65,-0.16,13.5,51.5,13.4,41.1,73.1,50.1
Value,83.65,0.00,13.5,51.5,13.4,41.1,73.1,50.1
Recall Hunter,70.18,-0.49,13.6,51.7,13.8,50.6,72.6,48.3
Value,70.18,0.00,13.6,51.7,13.8,50.6,72.6,48.3
Scorpion,48.34,-0.03,13.6,53.6,12.8,45.4,73.6,48.9
Value,48.34,0.00,13.6,53.6,12.8,45.4,73.6,48.9
Beetle,79.85,-0.42,12.9,48.6,13.1,48.5,73.9,49.3
Value,79.85,0.00,12.9,48.6,13.1,48.5,73.9,49.3
Blink,71.55,-0.28,12.6,54.7,12.7,47.7,74.7,48.4
Value,71.55,0.00,12.6,54.7,12.7,47.7,74.7,48.4
Blink Hunter,71.84,-0.48,12.9,48.7,13.7,48.6,73.3,49.3
Value,71.84,0.00,12.9,48.7,13.7,48.6,73.3,49.3
Gunbot,40.36,-0.19,13.7,52.4,13.4,45.5,72.9,49.1
Value,40.36,0.00,13.7,52.4,13.4,45.5,72.9,49.1
Missilebot,66.00,-0.52,12.6,49.0,12.7,52.0,74.7,48.6
Value,66.00,0.00,12.6,49.0,12.7,52.0,74.7,48.6
Wasp,13.27,-0.47,13.1,45.3,13.3,49.4,73.6,49.7
Value,13.27,0.00,13.1,45.3,13.3,49.4,73.6,49.7
Hornet,52.30,-0.62,14.4,45.1,12.2,53.4,73.4,49.2
Value,52.30,0.00,14.4,45.1,12.2,53.4,73.4,49.2
Knight,65.14,-0.67,12.9,45.3,14.2,48.2,72.9,50.0
Value,65.14,0.00,12.9,45.3,14.2,48.2,72.9,50.0
Crossbow,26.51,-0.92,12.3,44.3,13.0,55.8,74.7,48.7
Value,26.51,0.00,12.3,44.3,13.0,55.8,74.7,48.7
Ballista,207.79,-0.53,6.3,44.3,5.7,53.1,87.9,49.2
Value,207.79,0.00,6.3,44.3,5.7,53.1,87.9,49.2
King Crab,207.20,-0.53,5.8,41.5,6.5,54.0,87.6,49.2
Value,207.20,0.00,5.8,41.5,6.5,54.0,87.6,49.2
Crusader,481.81,0.10,6.3,51.9,6.2,48.6,87.5,48.9
Value,481.81,0.00,6.3,51.9,6.2,48.6,87.5,48.9
Bomber,112.00,-0.36,5.6,47.8,6.2,49.5,88.2,49.2
Value,112.00,0.00,5.6,47.8,6.2,49.5,88.2,49.2
Shocker,188.54,-0.57,6.4,47.4,6.1,52.9,87.5,49.0
Value,188.54,0.00,6.4,47.4,6.1,52.9,87.5,49.0
Recall Shocker,129.48,-0.70,6.3,40.9,6.2,56.3,87.5,49.2
Value,129.48,0.00,6.3,40.9,6.2,56.3,87.5,49.2
Mortar,332.48,-0.24,5.5,57.6,6.6,44.5,87.9,48.9
Value,332.48,0.00,5.5,57.6,6.6,44.5,87.9,48.9
Swift Shocker,42.66,-0.90,6.1,42.3,5.2,62.8,88.6,48.8
Value,42.66,0.00,6.1,42.3,5.2,62.8,88.6,48.8
Heavy Hunter,106.51,-0.76,4.7,58.1,4.3,43.9,91.0,48.9
Value,106.51,0.00,4.7,58.1,4.3,43.9,91.0,48.9
Destroyer,322.38,-0.26,6.5,49.2,6.0,47.4,87.6,49.2
Value,322.38,0.00,6.5,49.2,6.0,47.4,87.6,49.2
Raider,-125.33,-1.29,6.6,31.7,6.4,62.4,87.1,49.4
Value,-125.33,0.00,6.6,31.7,6.4,62.4,87.1,49.4
Turret,53.43,-0.76,5.8,45.1,6.4,55.6,87.7,48.9
Value,53.43,0.00,5.8,45.1,6.4,55.6,87.7,48.9
Heavy Ballista,640.67,-0.27,7.8,39.3,7.4,58.3,84.9,49.2
Value,640.67,0.00,7.8,39.3,7.4,58.3,84.9,49.2
Predator,54.86,-0.87,49.6,36.3,50.4,61.7,0.0,0.0
Value,54.86,0.00,49.6,36.3,50.4,61.7,0.0,0.0
Sniper,489.83,0.12,7.7,45.0,8.1,47.3,84.2,49.6
Value,489.83,0.00,7.7,45.0,8.1,47.3,84.2,49.6
Advanced Blink,245.59,0.40,7.9,55.1,7.8,46.6,84.3,48.8
Value,245.59,0.00,7.9,55.1,7.8,46.6,84.3,48.8
Assaultbot,82.16,0.64,7.0,48.9,7.8,47.6,85.1,49.3
Value,82.16,0.00,7.0,48.9,7.8,47.6,85.1,49.3
Behemoth,372.58,0.49,7.5,56.0,7.7,50.7,84.8,48.3
Value,372.58,0.00,7.5,56.0,7.7,50.7,84.8,48.3
Gargantua,1160.49,0.33,8.5,49.5,7.5,40.8,84.0,49.8
Value,1160.49,0.00,8.5,49.5,7.5,40.8,84.0,49.8
Butterfly,159.04,-0.64,4.4,50.7,4.1,43.0,91.5,49.3
Value,159.04,0.00,4.4,50.7,4.1,43.0,91.5,49.3
Dragonfly,156.31,-0.64,4.2,53.1,4.4,39.2,91.4,49.4
Value,156.31,0.00,4.2,53.1,4.4,39.2,91.4,49.4
Falcon,460.89,0.05,4.3,60.7,4.7,29.0,91.0,49.6
Value,460.89,0.00,4.3,60.7,4.7,29.0,91.0,49.6
Airship,195.80,-0.55,4.1,60.6,4.3,36.4,91.5,49.2
Value,195.80,0.00,4.1,60.6,4.3,36.4,91.5,49.2
Advanced Recall,140.32,-0.20,3.7,58.0,4.2,36.3,92.1,49.3
Value,140.32,0.00,3.7,58.0,4.2,36.3,92.1,49.3
Mammoth,416.26,-0.05,4.5,55.9,4.2,32.6,91.4,49.5
Value,416.26,0.00,4.5,55.9,4.2,32.6,91.4,49.5
Stinger,16.97,-0.96,4.0,45.1,4.5,43.2,91.5,49.6
Value,16.97,0.00,4.0,45.1,4.5,43.2,91.5,49.6
Flak Turret,135.64,-0.70,4.2,52.4,4.4,43.7,91.4,49.2
Value,135.64,0.00,4.2,52.4,4.4,43.7,91.4,49.2
Bulwark,802.02,-0.08,3.7,53.8,3.8,38.6,92.5,49.3
Value,802.02,0.00,3.7,53.8,3.8,38.6,92.5,49.3
Katbus,960.17,0.10,4.1,60.2,3.7,35.3,92.3,49.2
Value,960.17,0.00,4.1,60.2,3.7,35.3,92.3,49.2
Locust,91.25,-0.48,4.1,48.4,3.6,41.5,92.3,49.4
Value,91.25,0.00,4.1,48.4,3.6,41.5,92.3,49.4
Kraken,12842.37,0.22,3.9,77.5,4.2,21.1,91.9,49.2
Value,12842.37,0.00,3.9,77.5,4.2,21.1,91.9,49.2
