Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,606.27,606.27,,,,,,
Crab,363.28,2.63,8.8,83.3,19.1,53.8,72.1,49.0
Value,363.28,0.00,8.8,83.3,19.1,53.8,72.1,49.0
Hunter,226.29,0.65,10.3,14.3,11.8,62.5,77.9,56.6
Value,226.29,0.00,10.3,14.3,11.8,62.5,77.9,56.6
Recall,194.98,0.95,14.7,80.0,7.4,20.0,77.9,50.9
Value,194.98,0.00,14.7,80.0,7.4,20.0,77.9,50.9
Recall Hunter,458.81,2.34,13.2,44.4,13.2,55.6,73.5,54.0
Value,458.81,0.00,13.2,44.4,13.2,55.6,73.5,54.0
Scorpion,132.53,1.65,13.2,66.7,5.9,25.0,80.9,52.7
Value,132.53,0.00,13.2,66.7,5.9,25.0,80.9,52.7
Beetle,369.90,1.69,13.2,44.4,14.7,40.0,72.1,57.1
Value,369.90,0.00,13.2,44.4,14.7,40.0,72.1,57.1
Blink,396.98,2.97,7.4,80.0,22.1,53.3,70.6,50.0
Value,396.98,0.00,7.4,80.0,22.1,53.3,70.6,50.0
Blink Hunter,472.61,2.44,11.8,37.5,8.8,16.7,79.4,59.3
Value,472.61,0.00,11.8,37.5,8.8,16.7,79.4,59.3
Gunbot,104.19,1.08,14.7,60.0,5.9,50.0,79.4,51.9
Value,104.19,0.00,14.7,60.0,5.9,50.0,79.4,51.9
Missilebot,410.00,1.98,8.8,33.3,11.8,37.5,79.4,57.4
Value,410.00,0.00,8.8,33.3,11.8,37.5,79.4,57.4
Wasp,64.59,1.58,23.5,56.2,8.8,50.0,67.6,52.2
Value,64.59,0.00,23.5,56.2,8.8,50.0,67.6,52.2
Hornet,331.68,1.41,5.9,75.0,23.5,68.8,70.6,45.8
Value,331.68,0.00,5.9,75.0,23.5,68.8,70.6,45.8
Knight,454.19,1.27,10.3,42.9,11.8,50.0,77.9,54.7
Value,454.19,0.00,10.3,42.9,11.8,50.0,77.9,54.7
Crossbow,979.43,1.80,20.6,42.9,13.2,77.8,66.2,51.1
Value,979.43,0.00,20.6,42.9,13.2,77.8,66.2,51.1
Ballista,1408.15,2.22,2.9,50.0,7.4,60.0,89.7,52.5
Value,1408.15,0.00,2.9,50.0,7.4,60.0,89.7,52.5
King Crab,1011.33,1.31,2.9,50.0,7.4,60.0,89.7,52.5
Value,1011.33,0.00,2.9,50.0,7.4,60.0,89.7,52.5
Crusader,1249.61,1.86,5.9,0.0,4.4,66.7,89.7,55.7
Value,1249.61,0.00,5.9,0.0,4.4,66.7,89.7,55.7
Bomber,911.14,4.21,7.4,40.0,2.9,50.0,89.7,54.1
Value,911.14,0.00,7.4,40.0,2.9,50.0,89.7,54.1
Shocker,2222.31,4.08,2.9,0.0,10.3,85.7,86.8,50.8
Value,2222.31,0.00,2.9,0.0,10.3,85.7,86.8,50.8
Recall Shocker,2064.21,3.72,4.4,33.3,5.9,25.0,89.7,55.7
Value,2064.21,0.00,4.4,33.3,5.9,25.0,89.7,55.7
Mortar,1153.87,1.64,7.4,60.0,4.4,33.3,88.2,53.3
Value,1153.87,0.00,7.4,60.0,4.4,33.3,88.2,53.3
