Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,5.71,5.71,,,,,,
Crab,81.96,-0.18,10.5,59.6,10.4,41.7,79.2,49.7
Value,81.96,0.00,10.5,59.6,10.4,41.7,79.2,49.7
Hunter,48.31,-0.65,10.9,41.3,10.7,57.6,78.3,50.0
Value,48.31,0.00,10.9,41.3,10.7,57.6,78.3,50.0
Recall,81.55,-0.18,10.8,58.6,10.8,37.6,78.4,50.3
Value,81.55,0.00,10.8,58.6,10.8,37.6,78.4,50.3
Recall Hunter,69.49,-0.49,49.9,48.3,50.1,51.4,0.0,0.0
Value,69.49,0.00,49.9,48.3,50.1,51.4,0.0,0.0
Scorpion,46.81,-0.06,10.8,62.1,10.7,37.9,78.4,49.8
Value,46.81,0.00,10.8,62.1,10.7,37.9,78.4,49.8
Beetle,82.35,-0.40,10.6,50.2,10.3,49.0,79.1,49.9
Value,82.35,0.00,10.6,50.2,10.3,49.0,79.1,49.9
Blink,71.21,-0.29,10.7,56.6,10.5,42.4,78.7,49.9
Value,71.21,0.00,10.7,56.6,10.5,42.4,78.7,49.9
Blink Hunter,65.61,-0.52,10.7,47.5,10.9,53.6,78.4,49.7
Value,65.61,0.00,10.7,47.5,10.9,53.6,78.4,49.7
Gunbot,38.03,-0.24,10.3,61.7,11.0,39.9,78.7,49.7
Value,38.03,0.00,10.3,61.7,11.0,39.9,78.7,49.7
Missilebot,75.30,-0.45,10.6,50.9,10.4,50.4,79.0,49.7
Value,75.30,0.00,10.6,50.9,10.4,50.4,79.0,49.7
Wasp,18.89,-0.24,10.6,53.7,10.7,45.0,78.7,50.0
Value,18.89,0.00,10.6,53.7,10.7,45.0,78.7,50.0
Hornet,40.77,-0.70,10.9,38.2,10.6,60.6,78.5,50.0
Value,40.77,0.00,10.9,38.2,10.6,60.6,78.5,50.0
Knight,51.58,-0.74,10.5,48.0,10.4,50.3,79.0,50.0
Value,51.58,0.00,10.5,48.0,10.4,50.3,79.0,50.0
Crossbow,-24.43,-1.07,10.7,29.8,10.9,70.0,78.4,49.8
Value,-24.43,0.00,10.7,29.8,10.9,70.0,78.4,49.8
Ballista,119.27,-0.73,3.5,44.7,3.4,60.2,93.1,49.7
Value,119.27,0.00,3.5,44.7,3.4,60.2,93.1,49.7
King Crab,161.32,-0.63,3.5,43.9,3.6,57.6,92.9,49.8
Value,161.32,0.00,3.5,43.9,3.6,57.6,92.9,49.8
Crusader,331.34,-0.24,3.3,51.2,3.5,47.5,93.2,49.9
Value,331.34,0.00,3.3,51.2,3.5,47.5,93.2,49.9
Bomber,114.85,-0.34,3.5,54.3,3.4,47.6,93.1,49.8
Value,114.85,0.00,3.5,54.3,3.4,47.6,93.1,49.8
Shocker,201.74,-0.54,3.4,50.1,3.6,53.5,93.0,49.7
Value,201.74,0.00,3.4,50.1,3.6,53.5,93.0,49.7
Recall Shocker,1.52,-1.00,3.4,38.0,3.3,67.0,93.2,49.7
Value,1.52,0.00,3.4,38.0,3.3,67.0,93.2,49.7
Mortar,373.14,-0.15,3.5,57.1,3.4,46.2,93.1,49.7
Value,373.14,0.00,3.5,57.1,3.4,46.2,93.1,49.7
Swift Shocker,63.76,-0.85,3.5,39.9,3.3,58.9,93.2,49.9
Value,63.76,0.00,3.5,39.9,3.3,58.9,93.2,49.9
Heavy Hunter,61.65,-0.86,4.3,41.4,4.3,58.9,91.5,49.8
Value,61.65,0.00,4.3,41.4,4.3,58.9,91.5,49.8
Destroyer,225.39,-0.48,3.3,46.7,3.5,53.1,93.2,49.9
Value,225.39,0.00,3.3,46.7,3.5,53.1,93.2,49.9
Raider,-186.17,-1.43,3.5,30.5,3.5,69.2,92.9,49.9
Value,-186.17,0.00,3.5,30.5,3.5,69.2,92.9,49.9
Turret,90.13,-0.60,3.7,44.3,3.4,52.8,92.9,50.0
Value,90.13,0.00,3.7,44.3,3.4,52.8,92.9,50.0
Heavy Ballista,560.68,-0.36,2.3,48.1,2.4,50.0,95.3,49.9
Value,560.68,0.00,2.3,48.1,2.4,50.0,95.3,49.9
Predator,21.57,-0.95,2.3,38.5,2.4,63.5,95.3,49.8
Value,21.57,0.00,2.3,38.5,2.4,63.5,95.3,49.8
Sniper,461.62,0.06,2.2,55.5,2.5,45.2,95.3,49.9
Value,461.62,0.00,2.2,55.5,2.5,45.2,95.3,49.9
Advanced Blink,236.90,0.35,2.4,58.7,2.3,40.9,95.3,49.9
Value,236.90,0.00,2.4,58.7,2.3,40.9,95.3,49.9
Assaultbot,74.32,0.49,2.1,61.7,2.3,36.8,95.6,49.9
Value,74.32,0.00,2.1,61.7,2.3,36.8,95.6,49.9
Behemoth,303.93,0.22,2.3,56.6,2.3,45.9,95.4,49.8
Value,303.93,0.00,2.3,56.6,2.3,45.9,95.4,49.8
Gargantua,1262.45,0.44,2.3,63.6,2.3,37.5,95.4,49.8
Value,1262.45,0.00,2.3,63.6,2.3,37.5,95.4,49.8
Butterfly,34.89,-0.92,4.2,40.1,4.3,58.3,91.5,49.9
Value,34.89,0.00,4.2,40.1,4.3,58.3,91.5,49.9
Dragonfly,186.21,-0.57,4.4,46.8,4.2,52.4,91.3,49.9
Value,186.21,0.00,4.4,46.8,4.2,52.4,91.3,49.9
Falcon,357.83,-0.18,4.1,56.5,4.3,41.0,91.6,50.0
Value,357.83,0.00,4.1,56.5,4.3,41.0,91.6,50.0
Airship,147.68,-0.66,4.2,45.3,4.0,53.2,91.8,49.9
Value,147.68,0.00,4.2,45.3,4.0,53.2,91.8,49.9
Advanced Recall,153.43,-0.12,4.2,53.1,3.9,46.4,91.8,49.9
Value,153.43,0.00,4.2,53.1,3.9,46.4,91.8,49.9
Mammoth,400.07,-0.09,4.1,55.3,4.0,44.3,91.8,49.9
Value,400.07,0.00,4.1,55.3,4.0,44.3,91.8,49.9
Stinger,-12.27,-1.03,4.0,35.4,4.2,60.5,91.8,50.0
Value,-12.27,0.00,4.0,35.4,4.2,60.5,91.8,50.0
Flak Turret,93.59,-0.79,4.3,44.7,4.1,55.4,91.6,49.9
Value,93.59,0.00,4.3,44.7,4.1,55.4,91.6,49.9
Bulwark,752.09,-0.14,2.1,53.5,2.0,45.1,95.8,49.9
Value,752.09,0.00,2.1,53.5,2.0,45.1,95.8,49.9
Katbus,938.70,0.07,2.1,58.9,2.0,42.1,95.9,49.8
Value,938.70,0.00,2.1,58.9,2.0,42.1,95.9,49.8
Locust,87.99,-0.50,2.0,47.9,1.8,52.3,96.2,49.9
Value,87.99,0.00,2.0,47.9,1.8,52.3,96.2,49.9
Kraken,12054.89,0.15,2.0,71.7,2.0,26.6,96.0,49.9
Value,12054.89,0.00,2.0,71.7,2.0,26.6,96.0,49.9
Valkyrie,280.03,-0.36,2.0,50.9,1.9,50.3,96.1,49.8
Value,280.03,0.00,2.0,50.9,1.9,50.3,96.1,49.8
Artillery,211.08,-0.52,2.1,49.4,1.9,52.8,96.1,49.8
Value,211.08,0.00,2.1,49.4,1.9,52.8,96.1,49.8
Advancedbot,77.79,0.56,2.1,65.0,1.9,38.6,96.0,49.8
Value,77.79,0.00,2.1,65.0,1.9,38.6,96.0,49.8
Advanced Destroyer,275.01,-0.37,1.9,44.7,2.0,46.4,96.1,50.0
Value,275.01,0.00,1.9,44.7,2.0,46.4,96.1,50.0
Skill,-0.01,-0.01,49.8,49.6,50.2,50.1,0.0,0.0
