Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,46.75,46.75,,,,,,
Crab,70.78,-0.29,13.4,54.8,13.0,44.8,73.6,50.3
Value,70.78,0.00,13.4,54.8,13.0,44.8,73.6,50.3
Hunter,36.87,-0.73,13.5,49.7,13.1,51.5,73.4,50.1
Value,36.87,0.00,13.5,49.7,13.1,51.5,73.4,50.1
Recall,57.16,-0.43,13.6,52.5,13.8,45.8,72.6,50.6
Value,57.16,0.00,13.6,52.5,13.8,45.8,72.6,50.6
Recall Hunter,61.15,-0.56,13.3,54.1,13.5,50.6,73.2,49.5
Value,61.15,0.00,13.3,54.1,13.5,50.6,73.2,49.5
Scorpion,40.64,-0.19,13.5,55.3,13.4,41.3,73.1,50.9
Value,40.64,0.00,13.5,55.3,13.4,41.3,73.1,50.9
Beetle,62.53,-0.55,13.4,49.4,12.8,48.4,73.8,50.7
Value,62.53,0.00,13.4,49.4,12.8,48.4,73.8,50.7
Blink,47.86,-0.52,12.9,51.7,12.8,49.4,74.3,50.1
Value,47.86,0.00,12.9,51.7,12.8,49.4,74.3,50.1
Blink Hunter,50.23,-0.63,13.3,50.7,13.5,52.8,73.2,49.7
Value,50.23,0.00,13.3,50.7,13.5,52.8,73.2,49.7
Gunbot,29.07,-0.42,12.6,54.6,12.9,49.1,74.5,49.7
Value,29.07,0.00,12.6,54.6,12.9,49.1,74.5,49.7
Missilebot,57.20,-0.58,13.6,51.0,13.6,47.7,72.8,50.5
Value,57.20,0.00,13.6,51.0,13.6,47.7,72.8,50.5
Wasp,12.01,-0.52,13.0,47.1,12.6,52.9,74.4,50.3
Value,12.01,0.00,13.0,47.1,12.6,52.9,74.4,50.3
Hornet,33.74,-0.75,13.4,47.1,13.2,54.2,73.4,50.1
Value,33.74,0.00,13.4,47.1,13.2,54.2,73.4,50.1
Knight,48.98,-0.76,12.6,48.1,13.3,50.7,74.2,50.5
Value,48.98,0.00,12.6,48.1,13.3,50.7,74.2,50.5
Crossbow,-39.22,-1.11,13.1,40.0,13.7,60.1,73.2,50.2
Value,-39.22,0.00,13.1,40.0,13.7,60.1,73.2,50.2
Ballista,0.13,-1.00,5.4,43.8,5.2,55.0,89.4,50.3
Value,0.13,0.00,5.4,43.8,5.2,55.0,89.4,50.3
King Crab,83.88,-0.81,5.5,46.3,5.7,59.8,88.8,49.8
Value,83.88,0.00,5.5,46.3,5.7,59.8,88.8,49.8
Crusader,300.12,-0.31,5.6,52.8,5.7,49.2,88.7,50.1
Value,300.12,0.00,5.6,52.8,5.7,49.2,88.7,50.1
Bomber,89.56,-0.49,5.6,52.5,5.7,43.8,88.7,50.5
Value,89.56,0.00,5.6,52.5,5.7,43.8,88.7,50.5
Shocker,141.94,-0.68,5.5,47.0,5.6,53.1,88.9,50.2
Value,141.94,0.00,5.5,47.0,5.6,53.1,88.9,50.2
Recall Shocker,-2.34,-1.01,50.5,38.8,49.5,61.9,0.0,0.0
Value,-2.34,0.00,50.5,38.8,49.5,61.9,0.0,0.0
Mortar,317.20,-0.27,6.0,53.1,5.7,44.8,88.3,50.4
Value,317.20,0.00,6.0,53.1,5.7,44.8,88.3,50.4
Swift Shocker,22.05,-0.95,5.2,43.6,5.1,57.0,89.7,50.2
Value,22.05,0.00,5.2,43.6,5.1,57.0,89.7,50.2
Heavy Hunter,33.83,-0.92,4.7,48.1,5.2,52.3,90.1,50.2
Value,33.83,0.00,4.7,48.1,5.2,52.3,90.1,50.2
Destroyer,211.62,-0.52,4.9,48.6,5.7,49.9,89.4,50.3
Value,211.62,0.00,4.9,48.6,5.7,49.9,89.4,50.3
Raider,-251.55,-1.57,5.2,27.8,5.5,68.8,89.3,50.4
Value,-251.55,0.00,5.2,27.8,5.5,68.8,89.3,50.4
Turret,46.71,-0.79,5.7,49.9,5.6,53.9,88.7,50.0
Value,46.71,0.00,5.7,49.9,5.6,53.9,88.7,50.0
Heavy Ballista,398.83,-0.54,4.2,43.1,3.8,50.8,92.0,50.5
Value,398.83,0.00,4.2,43.1,3.8,50.8,92.0,50.5
Predator,-41.96,-1.10,4.1,36.3,4.3,60.3,91.5,50.4
Value,-41.96,0.00,4.1,36.3,4.3,60.3,91.5,50.4
Sniper,474.35,0.08,4.1,56.1,4.3,42.6,91.5,50.3
Value,474.35,0.00,4.1,56.1,4.3,42.6,91.5,50.3
Advanced Blink,230.74,0.32,4.4,59.9,4.2,38.5,91.3,50.3
Value,230.74,0.00,4.4,59.9,4.2,38.5,91.3,50.3
Assaultbot,85.67,0.71,3.7,64.4,4.2,42.8,92.1,50.0
Value,85.67,0.00,3.7,64.4,4.2,42.8,92.1,50.0
Behemoth,304.92,0.22,4.0,57.0,4.1,44.2,91.8,50.2
Value,304.92,0.00,4.0,57.0,4.1,44.2,91.8,50.2
Gargantua,1089.59,0.25,4.0,63.5,3.8,38.4,92.1,50.1
