Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,-113.10,-113.10,,,,,,
Crab,30.28,-0.70,8.2,61.9,10.9,64.3,80.9,48.1
Value,30.28,0.00,8.2,61.9,10.9,64.3,80.9,48.1
Hunter,0.59,-1.00,9.7,48.0,14.0,66.7,76.3,48.5
Value,0.59,0.00,9.7,48.0,14.0,66.7,76.3,48.5
Recall,36.53,-0.63,47.5,58.2,52.5,44.4,0.0,0.0
Value,36.53,0.00,47.5,58.2,52.5,44.4,0.0,0.0
Recall Hunter,65.58,-0.52,10.5,55.6,7.8,50.0,81.7,50.5
Value,65.58,0.00,10.5,55.6,7.8,50.0,81.7,50.5
Scorpion,13.34,-0.73,15.2,51.3,12.1,45.2,72.8,51.9
Value,13.34,0.00,15.2,51.3,12.1,45.2,72.8,51.9
Beetle,40.03,-0.71,11.7,50.0,13.6,57.1,74.7,50.0
Value,40.03,0.00,11.7,50.0,13.6,57.1,74.7,50.0
Blink,-22.55,-1.23,9.3,37.5,11.3,51.7,79.4,52.5
Value,-22.55,0.00,9.3,37.5,11.3,51.7,79.4,52.5
Blink Hunter,14.14,-0.90,10.9,42.9,10.1,46.2,79.0,52.7
Value,14.14,0.00,10.9,42.9,10.1,46.2,79.0,52.7
Gunbot,23.81,-0.52,10.1,61.5,10.5,29.6,79.4,52.5
Value,23.81,0.00,10.1,61.5,10.5,29.6,79.4,52.5
Missilebot,26.71,-0.81,9.7,48.0,10.5,51.9,79.8,51.2
Value,26.71,0.00,9.7,48.0,10.5,51.9,79.8,51.2
Wasp,7.50,-0.70,11.7,56.7,14.0,55.6,74.3,49.2
Value,7.50,0.00,11.7,56.7,14.0,55.6,74.3,49.2
Hornet,5.26,-0.96,9.7,48.0,6.6,64.7,83.7,50.2
Value,5.26,0.00,9.7,48.0,6.6,64.7,83.7,50.2
Knight,8.99,-0.96,10.1,34.6,6.6,47.1,83.3,53.3
