Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,71.32,71.32,,,,,,
Crab,20.62,-0.79,12.5,55.6,13.3,46.7,74.2,50.3
Value,20.62,0.00,12.5,55.6,13.3,46.7,74.2,50.3
Hunter,-20.78,-1.15,13.8,45.3,13.8,53.8,72.5,50.9
Value,-20.78,0.00,13.8,45.3,13.8,53.8,72.5,50.9
Recall,19.32,-0.81,13.7,56.1,13.2,43.7,73.1,50.7
Value,19.32,0.00,13.7,56.1,13.2,43.7,73.1,50.7
Recall Hunter,-4.12,-1.03,13.7,54.4,13.3,49.2,73.0,50.0
Value,-4.12,0.00,13.7,54.4,13.3,49.2,73.0,50.0
Scorpion,13.99,-0.72,13.4,58.3,13.3,45.5,73.3,50.0
Value,13.99,0.00,13.4,58.3,13.3,45.5,73.3,50.0
Beetle,2.29,-0.98,13.8,51.8,12.9,50.6,73.3,50.3
Value,2.29,0.00,13.8,51.8,12.9,50.6,73.3,50.3
Blink,11.19,-0.89,13.1,53.0,12.9,47.5,74.0,50.6
Value,11.19,0.00,13.1,53.0,12.9,47.5,74.0,50.6
Blink Hunter,-13.28,-1.10,12.8,47.5,13.9,52.6,73.3,50.6
Value,-13.28,0.00,12.8,47.5,13.9,52.6,73.3,50.6
Gunbot,10.70,-0.79,13.6,55.6,13.4,42.1,73.0,51.1
Value,10.70,0.00,13.6,55.6,13.4,42.1,73.0,51.1
Missilebot,-10.61,-1.08,13.4,48.5,13.5,50.8,73.1,50.8
Value,-10.61,0.00,13.4,48.5,13.5,50.8,73.1,50.8
Wasp,0.52,-0.98,12.5,47.9,13.2,51.0,74.3,50.9
Value,0.52,0.00,12.5,47.9,13.2,51.0,74.3,50.9
Hornet,-31.89,-1.23,13.9,45.2,13.2,56.8,72.8,50.4
Value,-31.89,0.00,13.9,45.2,13.2,56.8,72.8,50.4
Knight,-43.87,-1.22,13.2,44.6,12.3,53.5,74.5,51.1
Value,-43.87,0.00,13.2,44.6,12.3,53.5,74.5,51.1
Crossbow,-130.82,-1.37,12.7,45.7,13.3,58.9,74.0,49.8
Value,-130.82,0.00,12.7,45.7,13.3,58.9,74.0,49.8
Ballista,-89.66,-1.20,5.6,49.4,5.5,60.7,88.9,50.0
Value,-89.66,0.00,5.6,49.4,5.5,60.7,88.9,50.0
King Crab,-51.91,-1.12,5.6,45.9,5.3,51.4,89.1,50.8
Value,-51.91,0.00,5.6,45.9,5.3,51.4,89.1,50.8
Crusader,184.00,-0.58,5.2,57.2,5.5,45.1,89.3,50.5
Value,184.00,0.00,5.2,57.2,5.5,45.1,89.3,50.5
Bomber,-7.19,-1.04,5.0,54.9,5.8,46.5,89.2,50.5
Value,-7.19,0.00,5.0,54.9,5.8,46.5,89.2,50.5
Shocker,-26.60,-1.06,50.3,46.7,49.7,54.4,0.0,0.0
Value,-26.60,0.00,50.3,46.7,49.7,54.4,0.0,0.0
Recall Shocker,-129.95,-1.30,5.4,40.9,5.4,59.2,89.2,50.6
Value,-129.95,0.00,5.4,40.9,5.4,59.2,89.2,50.6
Mortar,33.02,-0.92,5.1,54.9,5.9,55.2,89.1,50.0
Value,33.02,0.00,5.1,54.9,5.9,55.2,89.1,50.0
Swift Shocker,-166.00,-1.38,5.4,36.2,5.4,58.0,89.1,50.9
Value,-166.00,0.00,5.4,36.2,5.4,58.0,89.1,50.9
Heavy Hunter,-76.12,-1.17,5.0,48.8,5.5,51.2,89.4,50.6
Value,-76.12,0.00,5.0,48.8,5.5,51.2,89.4,50.6
Destroyer,76.57,-0.82,5.6,51.9,5.2,49.6,89.2,50.5
Value,76.57,0.00,5.6,51.9,5.2,49.6,89.2,50.5
Raider,-343.08,-1.78,5.1,34.4,5.6,70.9,89.3,50.1
Value,-343.08,0.00,5.1,34.4,5.6,70.9,89.3,50.1
Turret,-27.49,-1.12,6.1,51.4,5.6,50.0,88.3,50.5
Value,-27.49,0.00,6.1,51.4,5.6,50.0,88.3,50.5
Heavy Ballista,-140.10,-1.16,4.0,45.9,3.8,53.3,92.2,50.6
Value,-140.10,0.00,4.0,45.9,3.8,53.3,92.2,50.6
Predator,-203.29,-1.46,4.1,41.8,4.2,58.1,91.7,50.6
Value,-203.29,0.00,4.1,41.8,4.2,58.1,91.7,50.6
Sniper,243.64,-0.44,3.9,59.4,4.3,47.3,91.8,50.3
Value,243.64,0.00,3.9,59.4,4.3,47.3,91.8,50.3
Advanced Blink,138.30,-0.21,4.2,66.2,4.1,38.7,91.7,50.3
Value,138.30,0.00,4.2,66.2,4.1,38.7,91.7,50.3
Assaultbot,43.44,-0.13,3.8,61.0,4.1,38.7,92.1,50.6
Value,43.44,0.00,3.8,61.0,4.1,38.7,92.1,50.6
Behemoth,217.34,-0.13,4.4,65.8,4.0,40.9,91.6,50.2
Value,217.34,0.00,4.4,65.8,4.0,40.9,91.6,50.2
Gargantua,808.46,-0.08,3.9,65.9,3.9,34.3,92.2,50.5
Value,808.46,0.00,3.9,65.9,3.9,34.3,92.2,50.5
Butterfly,-157.37,-1.36,4.9,47.2,5.4,55.0,89.7,50.4
Value,-157.37,0.00,4.9,47.2,5.4,55.0,89.7,50.4
Dragonfly,31.30,-0.93,5.4,56.8,5.2,41.3,89.4,50.7
Value,31.30,0.00,5.4,56.8,5.2,41.3,89.4,50.7
Falcon,226.05,-0.48,5.1,63.9,5.3,34.7,89.6,50.7
Value,226.05,0.00,5.1,63.9,5.3,34.7,89.6,50.7
Airship,65.36,-0.85,5.5,58.2,4.8,41.0,89.7,50.6
Value,65.36,0.00,5.5,58.2,4.8,41.0,89.7,50.6
Advanced Recall,57.51,-0.67,4.8,55.3,4.7,43.9,90.5,50.6
Value,57.51,0.00,4.8,55.3,4.7,43.9,90.5,50.6
