Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,-2.16,-2.16,,,,,,
Crab,85.57,-0.14,12.7,55.9,12.5,42.4,74.8,49.5
Value,85.57,0.00,12.7,55.9,12.5,42.4,74.8,49.5
Hunter,44.92,-0.67,13.4,45.0,12.5,54.3,74.1,49.4
Value,44.92,0.00,13.4,45.0,12.5,54.3,74.1,49.4
Recall,70.78,-0.29,12.8,50.6,13.0,45.2,74.1,50.0
Value,70.78,0.00,12.8,50.6,13.0,45.2,74.1,50.0
Recall Hunter,57.79,-0.58,13.7,51.3,13.6,48.9,72.6,49.2
Value,57.79,0.00,13.7,51.3,13.6,48.9,72.6,49.2
Scorpion,44.02,-0.12,13.0,57.0,13.1,44.7,73.9,48.9
Value,44.02,0.00,13.0,57.0,13.1,44.7,73.9,48.9
Beetle,63.85,-0.54,14.0,52.5,13.0,48.7,73.0,49.0
Value,63.85,0.00,14.0,52.5,13.0,48.7,73.0,49.0
Blink,59.29,-0.41,13.8,50.2,12.8,49.6,73.5,49.2
Value,59.29,0.00,13.8,50.2,12.8,49.6,73.5,49.2
Blink Hunter,54.99,-0.60,13.2,49.0,12.6,52.2,74.2,49.0
Value,54.99,0.00,13.2,49.0,12.6,52.2,74.2,49.0
Gunbot,37.71,-0.25,14.2,54.9,13.9,46.1,71.9,49.0
Value,37.71,0.00,14.2,54.9,13.9,46.1,71.9,49.0
Missilebot,59.91,-0.56,13.8,43.7,13.6,48.6,72.6,50.7
Value,59.91,0.00,13.8,43.7,13.6,48.6,72.6,50.7
Wasp,15.65,-0.37,12.5,48.2,14.1,47.4,73.4,50.0
Value,15.65,0.00,12.5,48.2,14.1,47.4,73.4,50.0
Hornet,36.04,-0.74,13.1,44.2,13.3,53.8,73.6,49.6
Value,36.04,0.00,13.1,44.2,13.3,53.8,73.6,49.6
Knight,57.45,-0.71,12.8,45.7,13.6,50.4,73.6,49.9
Value,57.45,0.00,12.8,45.7,13.6,50.4,73.6,49.9
Crossbow,0.15,-1.00,12.5,42.0,14.1,60.3,73.3,48.6
Value,0.15,0.00,12.5,42.0,14.1,60.3,73.3,48.6
Ballista,97.71,-0.78,5.8,47.7,6.0,52.2,88.2,49.3
Value,97.71,0.00,5.8,47.7,6.0,52.2,88.2,49.3
King Crab,123.59,-0.72,6.1,48.2,6.5,57.1,87.5,48.9
Value,123.59,0.00,6.1,48.2,6.5,57.1,87.5,48.9
Crusader,371.11,-0.15,6.0,55.3,6.6,46.5,87.4,49.2
Value,371.11,0.00,6.0,55.3,6.6,46.5,87.4,49.2
Bomber,120.24,-0.31,6.6,51.0,6.2,44.1,87.1,49.7
Value,120.24,0.00,6.6,51.0,6.2,44.1,87.1,49.7
Shocker,199.23,-0.54,6.0,54.4,6.4,51.7,87.7,48.9
Value,199.23,0.00,6.0,54.4,6.4,51.7,87.7,48.9
Recall Shocker,14.58,-0.97,6.7,42.2,5.7,57.5,87.6,49.4
