Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,-877.60,-877.60,,,,,,
Crab,-95.18,-1.95,12.1,50.0,10.6,57.1,77.3,49.0
Value,-95.18,0.00,12.1,50.0,10.6,57.1,77.3,49.0
Hunter,-129.49,-1.94,10.6,42.9,15.2,50.0,74.2,51.0
Value,-129.49,0.00,10.6,42.9,15.2,50.0,74.2,51.0
Recall,22.56,-0.77,13.6,66.7,12.1,25.0,74.2,51.0
Value,22.56,0.00,13.6,66.7,12.1,25.0,74.2,51.0
Recall Hunter,-58.04,-1.42,12.1,50.0,13.6,44.4,74.2,51.0
Value,-58.04,0.00,12.1,50.0,13.6,44.4,74.2,51.0
Scorpion,27.58,-0.45,18.2,66.7,19.7,38.5,62.1,48.8
Value,27.58,0.00,18.2,66.7,19.7,38.5,62.1,48.8
Beetle,-43.43,-1.32,7.6,20.0,16.7,63.6,75.8,50.0
Value,-43.43,0.00,7.6,20.0,16.7,63.6,75.8,50.0
Blink,-23.05,-1.23,12.1,25.0,15.2,40.0,72.7,56.2
Value,-23.05,0.00,12.1,25.0,15.2,40.0,72.7,56.2
Blink Hunter,105.94,-0.23,9.1,33.3,10.6,71.4,80.3,49.1
Value,105.94,0.00,9.1,33.3,10.6,71.4,80.3,49.1
Gunbot,19.04,-0.62,19.7,53.8,12.1,37.5,68.2,51.1
Value,19.04,0.00,19.7,53.8,12.1,37.5,68.2,51.1
Missilebot,138.00,0.00,10.6,57.1,9.1,50.0,80.3,49.1
Value,138.00,0.00,10.6,57.1,9.1,50.0,80.3,49.1
Wasp,34.76,0.39,13.6,66.7,15.2,40.0,71.2,48.9
Value,34.76,0.00,13.6,66.7,15.2,40.0,71.2,48.9
Hornet,83.07,-0.40,10.6,42.9,7.6,60.0,81.8,50.0
Value,83.07,0.00,10.6,42.9,7.6,60.0,81.8,50.0
Knight,-127.85,-1.64,12.1,50.0,12.1,50.0,75.8,50.0
Value,-127.85,0.00,12.1,50.0,12.1,50.0,75.8,50.0
Crossbow,-61.20,-1.17,18.2,41.7,10.6,71.4,71.2,48.9
Value,-61.20,0.00,18.2,41.7,10.6,71.4,71.2,48.9
Ballista,-387.93,-1.89,6.1,25.0,3.0,50.0,90.9,51.7
Value,-387.93,0.00,6.1,25.0,3.0,50.0,90.9,51.7
King Crab,-148.83,-1.34,3.0,0.0,3.0,50.0,93.9,51.6
Value,-148.83,0.00,3.0,0.0,3.0,50.0,93.9,51.6
Crusader,-1469.10,-4.36,7.6,60.0,1.5,100.0,90.9,48.3
Value,-1469.10,0.00,7.6,60.0,1.5,100.0,90.9,48.3
Bomber,-75.55,-1.43,1.5,0.0,1.5,0.0,97.0,51.6
Value,-75.55,0.00,1.5,0.0,1.5,0.0,97.0,51.6
Shocker,-115.35,-1.26,1.5,0.0,4.5,66.7,93.9,50.0
Value,-115.35,0.00,1.5,0.0,4.5,66.7,93.9,50.0
Recall Shocker,-1020.36,-3.33,3.0,0.0,4.5,66.7,92.4,50.8
Value,-1020.36,0.00,3.0,0.0,4.5,66.7,92.4,50.8
Mortar,233.96,-0.47,0.0,0.0,4.5,33.3,95.5,50.8
Value,233.96,0.00,0.0,0.0,4.5,33.3,95.5,50.8
Swift Shocker,-203.88,-1.47,3.0,50.0,4.5,66.7,92.4,49.2
Value,-203.88,0.00,3.0,50.0,4.5,66.7,92.4,49.2
Heavy Hunter,-251.30,-1.57,7.6,60.0,3.0,100.0,89.4,47.5
Value,-251.30,0.00,7.6,60.0,3.0,100.0,89.4,47.5
Destroyer,-484.32,-2.11,9.1,66.7,1.5,0.0,89.4,49.2
Value,-484.32,0.00,9.1,66.7,1.5,0.0,89.4,49.2
Raider,380.66,-0.13,4.5,33.3,4.5,100.0,90.9,48.3
Value,380.66,0.00,4.5,33.3,4.5,100.0,90.9,48.3
Turret,-196.84,-1.87,6.1,0.0,4.5,33.3,89.4,54.2
Value,-196.84,0.00,6.1,0.0,4.5,33.3,89.4,54.2
Heavy Ballista,5689.14,5.50,3.0,50.0,1.5,0.0,95.5,50.8
Value,5689.14,0.00,3.0,50.0,1.5,0.0,95.5,50.8
Predator,-480.08,-2.10,1.5,0.0,1.5,100.0,97.0,50.0
Value,-480.08,0.00,1.5,0.0,1.5,100.0,97.0,50.0
Sniper,1387.52,2.17,0.0,0.0,4.5,33.3,95.5,50.8
Value,1387.52,0.00,0.0,0.0,4.5,33.3,95.5,50.8
Advanced Blink,171.26,-0.02,4.5,100.0,0.0,0.0,95.5,47.6
Value,171.26,0.00,4.5,100.0,0.0,0.0,95.5,47.6
