Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,7.84,7.84,,,,,,
Crab,50.97,-0.49,13.6,55.7,13.1,42.7,73.3,49.7
Value,50.97,0.00,13.6,55.7,13.1,42.7,73.3,49.7
Hunter,9.75,-0.93,14.1,46.4,12.8,52.4,73.1,49.7
Value,9.75,0.00,14.1,46.4,12.8,52.4,73.1,49.7
Recall,35.84,-0.64,14.1,51.6,12.6,45.5,73.3,49.9
Value,35.84,0.00,14.1,51.6,12.6,45.5,73.3,49.9
Recall Hunter,22.33,-0.84,12.9,49.3,13.5,49.0,73.7,49.8
Value,22.33,0.00,12.9,49.3,13.5,49.0,73.7,49.8
Scorpion,30.38,-0.39,13.3,59.9,13.0,39.7,73.7,49.5
Value,30.38,0.00,13.3,59.9,13.0,39.7,73.7,49.5
Beetle,34.40,-0.75,13.2,50.8,13.6,49.6,73.2,49.4
Value,34.40,0.00,13.2,50.8,13.6,49.6,73.2,49.4
Blink,32.34,-0.68,12.9,50.4,12.5,46.9,74.6,49.9
Value,32.34,0.00,12.9,50.4,12.5,46.9,74.6,49.9
Blink Hunter,16.48,-0.88,13.7,49.8,14.1,49.1,72.2,49.7
Value,16.48,0.00,13.7,49.8,14.1,49.1,72.2,49.7
Gunbot,19.22,-0.62,12.8,53.9,13.9,44.5,73.3,49.8
Value,19.22,0.00,12.8,53.9,13.9,44.5,73.3,49.8
Missilebot,23.19,-0.83,13.5,50.7,12.5,50.6,73.9,49.2
Value,23.19,0.00,13.5,50.7,12.5,50.6,73.9,49.2
Wasp,8.20,-0.67,12.6,48.5,13.4,50.8,74.0,49.6
Value,8.20,0.00,12.6,48.5,13.4,50.8,74.0,49.6
Hornet,-1.97,-1.01,13.1,46.5,13.5,55.3,73.4,49.1
Value,-1.97,0.00,13.1,46.5,13.5,55.3,73.4,49.1
Knight,0.40,-1.00,12.3,42.8,13.4,51.1,74.2,50.5
Value,0.40,0.00,12.3,42.8,13.4,51.1,74.2,50.5
Crossbow,-96.49,-1.28,13.1,42.9,13.4,62.1,73.5,48.6
Value,-96.49,0.00,13.1,42.9,13.4,62.1,73.5,48.6
Ballista,-20.83,-1.05,5.1,43.9,5.7,61.3,89.1,49.2
Value,-20.83,0.00,5.1,43.9,5.7,61.3,89.1,49.2
King Crab,69.54,-0.84,5.3,48.9,5.4,53.8,89.3,49.4
Value,69.54,0.00,5.3,48.9,5.4,53.8,89.3,49.4
Crusader,256.17,-0.41,5.1,58.7,5.4,45.8,89.5,49.3
Value,256.17,0.00,5.1,58.7,5.4,45.8,89.5,49.3
Bomber,47.31,-0.73,5.6,50.7,5.5,45.8,88.8,49.8
Value,47.31,0.00,5.6,50.7,5.5,45.8,88.8,49.8
Shocker,73.97,-0.83,5.6,42.3,5.4,52.0,89.0,49.9
Value,73.97,0.00,5.6,42.3,5.4,52.0,89.0,49.9
Recall Shocker,-87.87,-1.20,5.4,39.3,4.8,62.3,89.8,49.5
Value,-87.87,0.00,5.4,39.3,4.8,62.3,89.8,49.5
Mortar,175.90,-0.60,5.8,49.4,5.7,45.5,88.5,49.9
Value,175.90,0.00,5.8,49.4,5.7,45.5,88.5,49.9
Swift Shocker,-39.72,-1.09,50.7,39.9,49.3,59.6,0.0,0.0
Value,-39.72,0.00,50.7,39.9,49.3,59.6,0.0,0.0
Heavy Hunter,-17.10,-1.04,4.8,48.2,4.7,45.8,90.5,49.9
Value,-17.10,0.00,4.8,48.2,4.7,45.8,90.5,49.9
Destroyer,92.86,-0.79,5.7,45.0,5.2,50.3,89.1,49.9
Value,92.86,0.00,5.7,45.0,5.2,50.3,89.1,49.9
Raider,-311.90,-1.71,5.7,29.3,5.4,71.8,88.9,49.6
Value,-311.90,0.00,5.7,29.3,5.4,71.8,88.9,49.6
Turret,8.00,-0.96,5.2,43.6,5.5,51.5,89.3,49.9
Value,8.00,0.00,5.2,43.6,5.5,51.5,89.3,49.9
Heavy Ballista,115.44,-0.87,4.3,48.5,4.1,54.3,91.6,49.5
Value,115.44,0.00,4.3,48.5,4.1,54.3,91.6,49.5
Predator,-121.85,-1.28,3.9,42.4,3.7,61.4,92.4,49.4
Value,-121.85,0.00,3.9,42.4,3.7,61.4,92.4,49.4
Sniper,338.89,-0.23,3.8,52.1,4.3,42.5,91.9,49.8
Value,338.89,0.00,3.8,52.1,4.3,42.5,91.9,49.8
Advanced Blink,185.24,0.06,3.8,62.6,3.9,36.8,92.3,49.6
Value,185.24,0.00,3.8,62.6,3.9,36.8,92.3,49.6
Assaultbot,67.71,0.35,4.4,66.0,4.2,36.7,91.4,49.4
Value,67.71,0.00,4.4,66.0,4.2,36.7,91.4,49.4
Behemoth,253.27,0.01,4.1,63.6,4.0,38.7,91.8,49.5
Value,253.27,0.00,4.1,63.6,4.0,38.7,91.8,49.5
Gargantua,1182.43,0.35,4.2,62.6,3.6,35.4,92.2,49.6
Value,1182.43,0.00,4.2,62.6,3.6,35.4,92.2,49.6
Butterfly,-68.77,-1.16,5.1,41.9,4.8,47.7,90.1,50.2
Value,-68.77,0.00,5.1,41.9,4.8,47.7,90.1,50.2
Dragonfly,210.00,-0.52,4.7,57.0,5.2,37.5,90.1,49.9
Value,210.00,0.00,4.7,57.0,5.2,37.5,90.1,49.9
Falcon,288.21,-0.34,5.0,65.4,5.7,32.1,89.2,49.8
Value,288.21,0.00,5.0,65.4,5.7,32.1,89.2,49.8
Airship,110.74,-0.75,5.0,55.4,5.1,45.3,89.9,49.5
Value,110.74,0.00,5.0,55.4,5.1,45.3,89.9,49.5
Advanced Recall,98.41,-0.44,5.5,54.0,5.0,41.0,89.5,49.8
Value,98.41,0.00,5.5,54.0,5.0,41.0,89.5,49.8
Mammoth,382.42,-0.13,5.0,60.6,4.4,34.7,90.6,49.7
Value,382.42,0.00,5.0,60.6,4.4,34.7,90.6,49.7
Stinger,-116.80,-1.27,4.8,45.5,4.5,56.3,90.7,49.5
Value,-116.80,0.00,4.8,45.5,4.5,56.3,90.7,49.5
Flak Turret,-8.30,-1.02,5.0,50.6,5.0,48.0,89.9,49.6
Value,-8.30,0.00,5.0,50.6,5.0,48.0,89.9,49.6
Bulwark,505.14,-0.42,2.3,58.1,1.8,35.2,95.9,49.7
Value,505.14,0.00,2.3,58.1,1.8,35.2,95.9,49.7
Katbus,838.46,-0.04,2.0,65.9,2.1,26.8,95.9,49.8
Value,838.46,0.00,2.0,65.9,2.1,26.8,95.9,49.8
Locust,71.49,-0.59,2.1,60.3,1.8,29.6,96.0,49.8
Value,71.49,0.00,2.1,60.3,1.8,29.6,96.0,49.8
Kraken,10153.55,-0.03,1.9,86.4,2.0,16.5,96.0,49.6
Value,10153.55,0.00,1.9,86.4,2.0,16.5,96.0,49.6
Valkyrie,141.87,-0.68,1.8,60.0,2.5,36.4,95.6,49.8
Value,141.87,0.00,1.8,60.0,2.5,36.4,95.6,49.8
Artillery,176.11,-0.60,1.8,56.3,2.1,32.6,96.1,49.8
Value,176.11,0.00,1.8,56.3,2.1,32.6,96.1,49.8
Advancedbot,43.00,-0.14,2.1,63.1,2.0,33.3,95.9,49.7
Value,43.00,0.00,2.1,63.1,2.0,33.3,95.9,49.7
Advanced Destroyer,98.48,-0.77,2.0,55.1,2.0,41.6,96.0,49.7
Value,98.48,0.00,2.0,55.1,2.0,41.6,96.0,49.7
Skill,-0.02,-0.02,49.3,49.8,50.7,49.5,0.0,0.0
