Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,-19.39,-19.39,,,,,,
Crab,68.95,-0.31,12.9,54.5,13.0,46.5,74.1,49.2
Value,68.95,0.00,12.9,54.5,13.0,46.5,74.1,49.2
Hunter,55.38,-0.60,13.2,45.5,13.3,53.6,73.5,49.5
Value,55.38,0.00,13.2,45.5,13.3,53.6,73.5,49.5
Recall,83.34,-0.17,13.1,56.1,13.1,41.2,73.8,49.9
Value,83.34,0.00,13.1,56.1,13.1,41.2,73.8,49.9
Recall Hunter,67.28,-0.51,13.4,47.7,13.8,49.1,72.8,50.0
Value,67.28,0.00,13.4,47.7,13.8,49.1,72.8,50.0
Scorpion,43.42,-0.13,12.5,57.5,13.1,39.1,74.4,50.1
Value,43.42,0.00,12.5,57.5,13.1,39.1,74.4,50.1
Beetle,76.77,-0.44,13.5,50.9,13.0,51.4,73.5,49.0
Value,76.77,0.00,13.5,50.9,13.0,51.4,73.5,49.0
Blink,63.42,-0.37,13.0,51.4,13.2,47.5,73.9,49.6
Value,63.42,0.00,13.0,51.4,13.2,47.5,73.9,49.6
Blink Hunter,63.37,-0.54,13.1,48.5,14.0,50.3,72.9,49.6
Value,63.37,0.00,13.1,48.5,14.0,50.3,72.9,49.6
Gunbot,37.93,-0.24,13.3,57.6,13.1,45.0,73.6,48.9
Value,37.93,0.00,13.3,57.6,13.1,45.0,73.6,48.9
Missilebot,62.29,-0.55,13.7,47.6,13.4,49.5,72.9,49.9
Value,62.29,0.00,13.7,47.6,13.4,49.5,72.9,49.9
Wasp,15.06,-0.40,13.7,50.5,12.8,48.2,73.5,49.6
Value,15.06,0.00,13.7,50.5,12.8,48.2,73.5,49.6
Hornet,35.31,-0.74,13.3,43.0,13.4,54.0,73.3,49.9
Value,35.31,0.00,13.3,43.0,13.4,54.0,73.3,49.9
Knight,51.18,-0.74,13.0,45.8,12.6,53.1,74.4,49.6
Value,51.18,0.00,13.0,45.8,12.6,53.1,74.4,49.6
Crossbow,25.78,-0.93,12.8,37.7,13.9,61.0,73.3,49.4
Value,25.78,0.00,12.8,37.7,13.9,61.0,73.3,49.4
Ballista,148.58,-0.66,5.3,45.0,5.3,62.4,89.3,49.1
Value,148.58,0.00,5.3,45.0,5.3,62.4,89.3,49.1
King Crab,189.45,-0.57,5.5,46.5,5.2,50.4,89.3,49.7
Value,189.45,0.00,5.5,46.5,5.2,50.4,89.3,49.7
Crusader,364.20,-0.17,5.2,52.5,5.6,50.6,89.2,49.3
Value,364.20,0.00,5.2,52.5,5.6,50.6,89.2,49.3
Bomber,123.16,-0.30,5.8,59.6,5.5,44.6,88.7,49.2
Value,123.16,0.00,5.8,59.6,5.5,44.6,88.7,49.2
Shocker,196.82,-0.55,6.1,50.0,5.5,51.6,88.4,49.4
Value,196.82,0.00,6.1,50.0,5.5,51.6,88.4,49.4
Recall Shocker,40.77,-0.91,5.5,41.0,5.4,63.0,89.1,49.3
Value,40.77,0.00,5.5,41.0,5.4,63.0,89.1,49.3
Mortar,410.86,-0.06,5.3,61.2,5.6,38.4,89.1,49.6
Value,410.86,0.00,5.3,61.2,5.6,38.4,89.1,49.6
Swift Shocker,85.66,-0.80,5.7,39.1,4.8,57.8,89.5,49.8
Value,85.66,0.00,5.7,39.1,4.8,57.8,89.5,49.8
Heavy Hunter,101.92,-0.77,5.0,40.3,5.1,53.6,89.8,49.8
Value,101.92,0.00,5.0,40.3,5.1,53.6,89.8,49.8
Destroyer,304.11,-0.30,5.6,47.9,5.8,45.7,88.7,49.9
Value,304.11,0.00,5.6,47.9,5.8,45.7,88.7,49.9
Raider,-161.11,-1.37,5.3,33.1,5.4,69.9,89.2,49.3
Value,-161.11,0.00,5.3,33.1,5.4,69.9,89.2,49.3
Turret,95.65,-0.57,50.5,45.6,49.5,53.6,0.0,0.0
Value,95.65,0.00,50.5,45.6,49.5,53.6,0.0,0.0
Heavy Ballista,594.78,-0.32,4.0,50.0,4.2,47.3,91.8,49.6
Value,594.78,0.00,4.0,50.0,4.2,47.3,91.8,49.6
Predator,87.16,-0.80,3.8,38.9,4.2,61.2,92.0,49.5
Value,87.16,0.00,3.8,38.9,4.2,61.2,92.0,49.5
Sniper,444.20,0.02,4.2,59.3,4.3,41.2,91.5,49.5
Value,444.20,0.00,4.2,59.3,4.3,41.2,91.5,49.5
Advanced Blink,260.55,0.49,4.4,61.3,4.1,38.4,91.5,49.5
Value,260.55,0.00,4.4,61.3,4.1,38.4,91.5,49.5
Assaultbot,83.91,0.68,4.2,63.4,4.6,39.1,91.2,49.4
Value,83.91,0.00,4.2,63.4,4.6,39.1,91.2,49.4
Behemoth,346.52,0.39,4.1,60.9,4.1,42.2,91.8,49.4
Value,346.52,0.00,4.1,60.9,4.1,42.2,91.8,49.4
Gargantua,1390.46,0.59,4.2,62.0,4.0,40.6,91.8,49.4
Value,1390.46,0.00,4.2,62.0,4.0,40.6,91.8,49.4
Butterfly,91.75,-0.79,5.0,42.7,5.2,57.0,89.8,49.5
Value,91.75,0.00,5.0,42.7,5.2,57.0,89.8,49.5
Dragonfly,276.12,-0.37,4.7,53.8,4.6,49.7,90.7,49.3
