Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,125.76,125.76,,,,,,
Crab,62.47,-0.38,12.4,50.1,12.9,45.8,74.7,51.3
Value,62.47,0.00,12.4,50.1,12.9,45.8,74.7,51.3
Hunter,59.13,-0.57,13.5,54.0,13.0,50.7,73.5,49.7
Value,59.13,0.00,13.5,54.0,13.0,50.7,73.5,49.7
Recall,34.64,-0.65,13.8,44.7,12.9,52.9,73.3,51.1
Value,34.64,0.00,13.8,44.7,12.9,52.9,73.3,51.1
Recall Hunter,91.98,-0.33,12.5,57.9,13.2,43.8,74.3,50.4
Value,91.98,0.00,12.5,57.9,13.2,43.8,74.3,50.4
Scorpion,39.10,-0.22,13.8,56.4,13.4,47.4,72.8,49.9
Value,39.10,0.00,13.8,56.4,13.4,47.4,72.8,49.9
Beetle,117.34,-0.15,12.4,59.0,12.8,43.9,74.8,50.1
Value,117.34,0.00,12.4,59.0,12.8,43.9,74.8,50.1
Blink,33.75,-0.66,13.5,47.9,13.0,55.5,73.5,50.0
Value,33.75,0.00,13.5,47.9,13.0,55.5,73.5,50.0
Blink Hunter,84.58,-0.38,12.4,52.2,13.7,47.6,74.0,50.7
Value,84.58,0.00,12.4,52.2,13.7,47.6,74.0,50.7
Gunbot,15.21,-0.70,14.3,42.4,13.4,57.5,72.3,50.7
Value,15.21,0.00,14.3,42.4,13.4,57.5,72.3,50.7
Missilebot,74.80,-0.46,13.0,56.2,13.5,43.7,73.4,50.6
Value,74.80,0.00,13.0,56.2,13.5,43.7,73.4,50.6
Wasp,8.84,-0.65,13.5,46.5,13.0,51.3,73.5,51.0
Value,8.84,0.00,13.5,46.5,13.0,51.3,73.5,51.0
Hornet,54.65,-0.60,13.3,50.6,12.3,55.2,74.3,49.6
Value,54.65,0.00,13.3,50.6,12.3,55.2,74.3,49.6
Knight,35.45,-0.82,13.3,45.0,13.6,53.4,73.1,50.9
Value,35.45,0.00,13.3,45.0,13.6,53.4,73.1,50.9
Crossbow,49.77,-0.86,13.1,42.6,14.3,58.3,72.6,50.3
Value,49.77,0.00,13.1,42.6,14.3,58.3,72.6,50.3
Ballista,44.04,-0.90,2.9,42.4,3.3,57.3,93.8,50.5
Value,44.04,0.00,2.9,42.4,3.3,57.3,93.8,50.5
King Crab,122.37,-0.72,3.8,41.8,3.3,54.1,92.9,50.7
Value,122.37,0.00,3.8,41.8,3.3,54.1,92.9,50.7
Crusader,389.06,-0.11,3.6,50.7,3.8,47.4,92.6,50.6
Value,389.06,0.00,3.6,50.7,3.8,47.4,92.6,50.6
Bomber,115.93,-0.34,4.3,51.1,3.5,41.4,92.2,50.7
Value,115.93,0.00,4.3,51.1,3.5,41.4,92.2,50.7
Shocker,175.38,-0.60,3.1,42.9,3.5,52.5,93.4,50.6
Value,175.38,0.00,3.1,42.9,3.5,52.5,93.4,50.6
Recall Shocker,-8.76,-1.02,3.7,40.9,3.2,60.8,93.0,50.5
Value,-8.76,0.00,3.7,40.9,3.2,60.8,93.0,50.5
Mortar,216.68,-0.50,3.8,53.3,3.7,59.3,92.5,50.0
Value,216.68,0.00,3.8,53.3,3.7,59.3,92.5,50.0
Swift Shocker,48.61,-0.89,4.2,38.9,3.3,55.7,92.6,50.8
Value,48.61,0.00,4.2,38.9,3.3,55.7,92.6,50.8
Heavy Hunter,190.23,-0.57,7.3,48.8,7.8,47.0,84.9,50.9
Value,190.23,0.00,7.3,48.8,7.8,47.0,84.9,50.9
Destroyer,68.36,-0.84,3.9,39.4,3.4,61.6,92.7,50.5
Value,68.36,0.00,3.9,39.4,3.4,61.6,92.7,50.5
Raider,-174.33,-1.40,3.7,31.3,3.8,64.9,92.5,50.6
Value,-174.33,0.00,3.7,31.3,3.8,64.9,92.5,50.6
Turret,58.95,-0.74,3.7,44.9,3.7,56.5,92.7,50.4
Value,58.95,0.00,3.7,44.9,3.7,56.5,92.7,50.4
