Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,180.25,180.25,,,,,,
Crab,56.13,-0.44,12.8,36.1,11.4,53.1,75.8,54.5
Value,56.13,0.00,12.8,36.1,11.4,53.1,75.8,54.5
Hunter,3.39,-0.98,9.6,37.0,9.3,61.5,81.1,52.6
Value,3.39,0.00,9.6,37.0,9.3,61.5,81.1,52.6
Recall,61.68,-0.38,12.5,57.1,11.0,54.8,76.5,50.7
Value,61.68,0.00,12.5,57.1,11.0,54.8,76.5,50.7
Recall Hunter,126.75,-0.08,9.3,46.2,8.5,45.8,82.2,53.2
Value,126.75,0.00,9.3,46.2,8.5,45.8,82.2,53.2
Scorpion,48.77,-0.02,12.1,64.7,10.7,40.0,77.2,51.6
Value,48.77,0.00,12.1,64.7,10.7,40.0,77.2,51.6
Beetle,31.57,-0.77,8.9,40.0,12.8,47.2,78.3,54.1
Value,31.57,0.00,8.9,40.0,12.8,47.2,78.3,54.1
Blink,42.60,-0.57,8.2,56.5,11.7,57.6,80.1,50.7
Value,42.60,0.00,8.2,56.5,11.7,57.6,80.1,50.7
Blink Hunter,95.77,-0.30,11.0,48.4,11.4,59.4,77.6,51.4
Value,95.77,0.00,11.0,48.4,11.4,59.4,77.6,51.4
Gunbot,54.46,0.09,12.1,55.9,10.0,32.1,77.9,53.9
Value,54.46,0.00,12.1,55.9,10.0,32.1,77.9,53.9
Missilebot,81.68,-0.41,11.7,42.4,8.9,72.0,79.4,51.1
Value,81.68,0.00,11.7,42.4,8.9,72.0,79.4,51.1
Wasp,20.61,-0.18,52.3,60.5,47.7,42.5,0.0,0.0
Value,20.61,0.00,52.3,60.5,47.7,42.5,0.0,0.0
Hornet,40.39,-0.71,9.3,42.3,11.0,67.7,79.7,50.9
Value,40.39,0.00,9.3,42.3,11.0,67.7,79.7,50.9
Knight,141.79,-0.29,12.1,50.0,9.3,50.0,78.6,52.5
Value,141.79,0.00,12.1,50.0,9.3,50.0,78.6,52.5
Crossbow,122.53,-0.65,9.6,55.6,14.6,63.4,75.8,49.3
Value,122.53,0.00,9.6,55.6,14.6,63.4,75.8,49.3
Ballista,159.53,-0.64,2.1,50.0,1.8,80.0,96.1,51.5
Value,159.53,0.00,2.1,50.0,1.8,80.0,96.1,51.5
King Crab,206.43,-0.53,3.2,44.4,2.5,42.9,94.3,52.5
Value,206.43,0.00,3.2,44.4,2.5,42.9,94.3,52.5
Crusader,166.32,-0.62,3.9,54.5,2.1,66.7,94.0,51.5
Value,166.32,0.00,3.9,54.5,2.1,66.7,94.0,51.5
Bomber,38.05,-0.78,3.6,50.0,3.9,45.5,92.5,52.3
Value,38.05,0.00,3.6,50.0,3.9,45.5,92.5,52.3
Shocker,273.51,-0.37,2.8,37.5,5.3,93.3,91.8,50.0
Value,273.51,0.00,2.8,37.5,5.3,93.3,91.8,50.0
Recall Shocker,21.29,-0.95,3.9,54.5,2.5,71.4,93.6,51.3
Value,21.29,0.00,3.9,54.5,2.5,71.4,93.6,51.3
Mortar,267.36,-0.39,1.8,60.0,2.1,66.7,96.1,51.5
Value,267.36,0.00,1.8,60.0,2.1,66.7,96.1,51.5
Swift Shocker,103.11,-0.76,3.9,54.5,3.2,66.7,92.9,51.3
Value,103.11,0.00,3.9,54.5,3.2,66.7,92.9,51.3
Heavy Hunter,520.77,0.19,3.2,77.8,4.6,53.8,92.2,51.0
Value,520.77,0.00,3.2,77.8,4.6,53.8,92.2,51.0
Destroyer,259.35,-0.41,1.4,50.0,4.6,61.5,94.0,51.5
Value,259.35,0.00,1.4,50.0,4.6,61.5,94.0,51.5
Raider,-38.65,-1.09,4.3,33.3,3.6,80.0,92.2,51.7
Value,-38.65,0.00,4.3,33.3,3.6,80.0,92.2,51.7
Turret,35.19,-0.84,4.6,46.2,2.8,62.5,92.5,51.9
Value,35.19,0.00,4.6,46.2,2.8,62.5,92.5,51.9
Heavy Ballista,408.86,-0.53,2.5,57.1,1.8,60.0,95.7,51.7
