Name,Score,StdDev,AvgScore,AvgStdDev
Crab,1540.68,0.00,1540.68,0.00
Hunter,2640.97,0.00,2640.97,0.00
Guardian Shield,360.05,0.00,360.05,0.00
Recall,2829.51,0.00,2829.51,0.00
Recall Hunter,2354.53,0.00,2354.53,0.00
Scorpion,1629.40,0.00,1629.40,0.00
Beetle,2761.54,0.00,2761.54,0.00
Blink,2588.91,0.00,2588.91,0.00
Blink Hunter,1789.52,0.00,1789.52,0.00
Gunbot,2580.81,0.00,2580.81,0.00
Missilebot,2635.29,0.00,2635.29,0.00
Wasp,976.16,0.00,976.16,0.00
Hornet,2211.55,0.00,2211.55,0.00
Knight,2856.44,0.00,2856.44,0.00
Crossbow,2500.36,0.00,2500.36,0.00
Ballista,2981.71,0.00,2981.71,0.00
King Crab,2267.87,0.00,2267.87,0.00
Crusader,2522.63,0.00,2522.63,0.00
Bomber,3024.66,0.00,3024.66,0.00
Shocker,3528.42,0.00,3528.42,0.00
Recall Shocker,4087.01,0.00,4087.01,0.00
Mortar,5826.42,0.00,5826.42,0.00
Swift Shocker,3015.73,0.00,3015.73,0.00
Heavy Hunter,2530.50,0.00,2530.50,0.00
Destroyer,3440.85,0.00,3440.85,0.00
Raider,188.76,0.00,188.76,0.00
Turret,2795.30,0.00,2795.30,0.00
Heavy Ballista,4831.22,0.00,4831.22,0.00
Gargantua,5867.40,0.00,5867.40,0.00
Sniper,5449.80,0.00,5449.80,0.00
Advanced Blink,3131.22,0.00,3131.22,0.00
Assaultbot,4577.98,0.00,4577.98,0.00
Advancedbot,5564.84,0.00,5564.84,0.00
Behemoth,3420.36,0.00,3420.36,0.00
Advanced Mortar,6933.38,0.00,6933.38,0.00
Blaster,6398.06,0.00,6398.06,0.00
Butterfly,3192.50,0.00,3192.50,0.00
Dragonfly,3168.93,0.00,3168.93,0.00
Falcon,4430.30,0.00,4430.30,0.00
Airship,3033.58,0.00,3033.58,0.00
Advanced Recall,4085.94,0.00,4085.94,0.00
Mammoth,3365.23,0.00,3365.23,0.00
Stinger,1789.12,0.00,1789.12,0.00
Flak Turret,798.56,0.00,798.56,0.00
Bulwark,5352.01,0.00,5352.01,0.00
Katbus,5234.94,0.00,5234.94,0.00
Locust,3405.62,0.00,3405.62,0.00
Kraken,20085.78,0.00,20085.78,0.00
Predator,2884.04,0.00,2884.04,0.00
Valkyrie,3285.49,0.00,3285.49,0.00
Artillery,4950.15,0.00,4950.15,0.00
Advanced Destroyer,4353.11,0.00,4353.11,0.00
Shade,4930.85,0.00,4930.85,0.00
