Net,P1Score,P2Score
50,12462,12412
50,12462,12412
50,12462,12412
50,12462,12412
125,12538,12412
-188,12662,12850
-62,12788,12850
-325,12962,13288
-588,13138,13725
-600,13262,13862
-725,13412,14138
-1400,13588,14988
-1575,13688,15262
-1525,14012,15538
-1750,14225,15975
-1862,14825,16688
-2412,14825,17238
-2525,15400,17925
-1650,16550,18200
-2475,16550,19025
-2012,17425,19438
-2288,17425,19712
-3138,17425,20562
-2838,17862,20700
-3412,17862,21275
-3075,18300,21375
-1762,19612,21375
-1762,19612,21375
-888,20488,21375
-12,21362,21375
-12,21362,21375
862,22238,21375
1300,22675,21375
2175,23550,21375
2175,23550,21375
2612,23988,21375
3050,24425,21375
3050,24425,21375
3050,24425,21375
3050,24425,21375
3050,24425,21375
3050,24425,21375
3050,24425,21375
3050,24425,21375
3275,24650,21375
3275,24650,21375
3275,24650,21375
3275,24650,21375
3500,24875,21375
